优先档,键,键族,机械命中判据,机械细节,S1_defaults.json,S2_出厂模板,S3_CLI骨架,S4_合同schema,S5_代码兜底,S6_登记册,有值侧数
⑤仅跨侧异值（含同名异义嫌疑）,center,center,T1数值不等,"T1: S3={{""ra_deg"": 0.0, ""dec_deg"": 0.0}} ｜S5={0.0}",该侧无此项,该侧无此项,"值[{""ra_deg"": 0.0, ""dec_deg"": 0.0}] @lib/infrastructure/cli/session_commands.h#config_fields(export).center [export]",该侧无此项,值[0.0 ×1 (声明/赋值 k=) @lib/algorithms/noise_snr/cpp/src/snr_science.cpp:76] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,checksum,checksum,T1数值不等,"T1: S5={0.0,2166136261u} ｜S6={true}",该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[0 ×5 (声明/赋值 k=,成员/赋值 desc.k=) @lib/include/astrocs/core/block_flow.h:69; lib/include/astrocs/core/export_stream.h:87; lib/include/astrocs/core/mosaic_window.h:66; lib/include/astrocs/core/normalize_workflow.h:154 ## 2166136261u ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:4603] @6 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 desc.k=）；全量见 side5_位点.log","值[declared_default=""true"" ｜note默认值断言: 默认true] @eng/packaging/config/config_registry.json#plugin_knobs[69] field=checksum (doc docs/plugins/infrastructure/17_aio.md:39, module 17_aio, finding=none) [registered_at=docs/algorithms/PHASE3_FITS_IMPL.md:47]",2
⑤仅跨侧异值（含同名异义嫌疑）,crpix_px,blocks、crpix_px、export,T1数值不等,"T1: S2={[512.5,512.5]} ｜S3={[512.5,512.5]} ｜S6={中心}",该侧无此项,"值[[512.5,512.5]] @eng/packaging/config/templates/export.phase_config.json#blocks.[].crpix_px [phase=export]","值[[512.5,512.5]] @lib/infrastructure/cli/session_commands.h#config_fields(export).crpix_px [export]",该侧无此项,"值[""[512.5, 512.5]"" ×1 (value(""k"",d)) @lib/infrastructure/cli/session_commands.h:272] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log","值[declared_default=""中心""] @eng/packaging/config/config_registry.json#plugin_knobs[56] registered_key=export.config.wcs.crpix_px (doc docs/plugins/algorithms_phase3/14_projection.md:37, module 14_projection, finding=none) [registered_at=eng/contracts/schemas/phase_config_export.schema.json#/$defs/export_wcs/properties/crpix_px]",3
⑤仅跨侧异值（含同名异义嫌疑）,gaia_data_dir,blocks、star_detection、wcs,T1数值不等,T1: S2={path/to/gaia} ｜S3={path/to/gaia} ｜S6={无},该侧无此项,"值[""path/to/gaia""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].wcs.gaia_data_dir [phase=normalize；示例占位值]","值[""path/to/gaia""] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).wcs [normalize]",该侧无此项,该侧无此项,"值[declared_default=""无""] @eng/packaging/config/config_registry.json#plugin_knobs[112] registered_key=star_detection.gaia_data_dir (doc docs/plugins/algorithms_phase1/03_star_detection.md:63, module 03_star_detection, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/$defs/star_detection_config]",3
⑤仅跨侧异值（含同名异义嫌疑）,height_px,blocks、export_wcs、height_px,T1数值不等,T1: S2={1024.0} ｜S3={1024.0} ｜S5={0.0},该侧无此项,值[1024] @eng/packaging/config/templates/export.phase_config.json#blocks.[].height_px [phase=export],值[1024] @lib/infrastructure/cli/session_commands.h#config_fields(export).height_px [export],值[minimum=1;maximum=20000] @eng/contracts/schemas/phase_config_export.schema.json#/export_wcs/height_px,"值[0 ×8 (value(""k"",d),声明/赋值 k=) @lib/algorithms/projection/p3_proj_v6.h:134; lib/algorithms/projection/p3_projection.h:79; lib/algorithms/projection/p3_wcs.h:21; lib/include/astrocs/core/plan_estimator.h:94] @8 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,3
⑤仅跨侧异值（含同名异义嫌疑）,hips_paths,blocks、hips_paths,T1数值不等,"T1: S2={[""path/to/p1_hips_a"",""path/to/p1_hips_b""]} ｜S3={[]}",该侧无此项,"值[[""path/to/p1_hips_a"",""path/to/p1_hips_b""]] @eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].hips_paths [phase=mosaic]",值[[]] @lib/infrastructure/cli/session_commands.h#config_fields(mosaic).hips_paths [mosaic],该侧无此项,该侧无此项,该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,log_dir,log_dir,T1数值不等,T1: S5={run/logs/orchestrator} ｜S6={<output_dir>/logs},该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[nullptr ×3 (具名常量 log_dir,声明/赋值 k=,成员/赋值 dst.k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_types.h:281; lib/algorithms/platesolve/cpp/ipv/src/ipv_entry.cpp:131 ## ""run/logs/orchestrator"" ×1 (成员/赋值 config_.k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:573] @4 处 / 4 个位点（前 4: 具名常量 log_dir; 声明/赋值 k=; 成员/赋值 config_.k=; 成员/赋值 dst.k=）；全量见 side5_位点.log","值[declared_default=""<output_dir>/logs""] @eng/packaging/config/config_registry.json#plugin_knobs[84] field=log_dir (doc docs/plugins/infrastructure/21_observability.md:35, module 21_observability, finding=none) [registered_at=docs/plugins/infrastructure/21_observability.md:35]",2
⑤仅跨侧异值（含同名异义嫌疑）,lower_sigma,rejection,T1数值不等,"T1: S1={4.0,5.0} ｜S5={4.0}",值[4.0] @eng/packaging/config/defaults.json#fields[key=rejection.sigma.lower_sigma] ; eng/packaging/config/defaults.json#fields[key=rejection.winsorized.lower_sigma] ; eng/packaging/config/defaults.json#fields[key=rejection.averaged_sigma.lower_sigma] [authority_status=sourced] ||| 值[5.0] @eng/packaging/config/defaults.json#fields[key=rejection.linear_fit.lower_sigma] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,"值[4.0 ×8 (value(""k"",d),成员/赋值 p.averaged.k=,成员/赋值 p.median_sigma.k=,成员/赋值 p.sigma.k=,成员/赋值 p.winsorized.k=) @lib/algorithms/coverage/src/rejection.cpp:1246; lib/algorithms/coverage/src/rejection.cpp:1247; lib/algorithms/coverage/src/rejection.cpp:1249; lib/algorithms/coverage/src/rejection.cpp:1255] @8 处 / 5 个位点（前 4: value(""k"",d); 成员/赋值 p.averaged.k=; 成员/赋值 p.median_sigma.k=; 成员/赋值 p.sigma.k=）；全量见 side5_位点.log",该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,max_iter,max_iter、star_detection,T1数值不等,"T1: S5={100.0,20.0,256.0,5.0,64.0} ｜S6={4.0}",该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[5 ×3 (声明/赋值 k=) @lib/infrastructure/aio/healpix_db/archive/legacy/healpix_stack/gradient/corrected_stacker.h:69; lib/infrastructure/aio/healpix_db/archive/legacy/healpix_stack/hp_stack_api.cpp:464; lib/infrastructure/aio/healpix_db/archive/legacy/healpix_stack/hp_stack_hiss.cpp:122 ## 256 ×2 (具名常量 max_iter,声明/赋值 k=) @lib/infrastructure/acr/qualification/benchmark_driver.cpp:457 ## 100 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:2293 ## 20 ×1 (声明/赋值 k=) @lib/algorithms/star_detection/src/nls_lm.h:42 ## 64 ×1 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_wcs.h:81] @8 处 / 2 个位点（前 4: 具名常量 max_iter; 声明/赋值 k=）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[46] field=max_iter (doc docs/plugins/algorithms_phase2/11_upm.md:96, module 11_upm, finding=unregistered) ; eng/packaging/config/config_registry.json#plugin_knobs[50] field=max_iter (doc docs/plugins/algorithms_phase2/12_rejection.md:35, module 12_rejection, finding=unregistered) [registered_at=-] ||| 值[declared_default=""4"" ｜note默认值断言: 缺省ipv] @eng/packaging/config/config_registry.json#plugin_knobs[119] registered_key=star_detection.limiting_mag_max_iter (doc docs/plugins/algorithms_phase1/03_star_detection.md:70, module 03_star_detection, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/$defs/star_detection_config]",2
⑤仅跨侧异值（含同名异义嫌疑）,max_stars,platesolve、star_detection、star_detection_config,T1数值不等,"T1: S4={20000.0} ｜S5={2000.0,300.0,5000.0,kp1guidedmaxstarslo} ｜S6={20000.0}",该侧无此项,该侧无此项,该侧无此项,值[default=20000;minimum=20000;maximum=50000] @eng/contracts/schemas/phase_config_normalize.schema.json#/star_detection_config/max_stars ||| 值[minimum=1] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/platesolve/max_stars,"值[5000 ×2 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:4288; lib/infrastructure/scheduler/src/module_adapters.cpp:5532 ## kP1GuidedMaxStarsLo ×2 (value(""k"",d),声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:3309; lib/infrastructure/scheduler/src/module_adapters.cpp:3346 ## 2000 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:43 ## 300 ×1 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:44] @6 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log","值[declared_default=""20000"" ｜note默认值断言: 默认0] @eng/packaging/config/config_registry.json#plugin_knobs[113] registered_key=star_detection.max_stars (doc docs/plugins/algorithms_phase1/03_star_detection.md:64, module 03_star_detection, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/$defs/star_detection_config]",3
⑤仅跨侧异值（含同名异义嫌疑）,output_dir,blocks、output_dir,T1数值不等,"T1: S2={path/to/out/export,path/to/out/ha,path/to/out/mosaic,path/to/out/red} ｜S3={.,path/to/out/ha,path/to/out/red} ｜S5={run}",该侧无此项,"值[""path/to/out/export""] @eng/packaging/config/templates/export.phase_config.json#blocks.[].output_dir [phase=export；示例占位值] ||| 值[""path/to/out/mosaic""] @eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].output_dir [phase=mosaic；示例占位值] ||| 值[""path/to/out/red""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].output_dir [phase=normalize；示例占位值] ||| 值[""path/to/out/ha""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].output_dir [phase=normalize；示例占位值]","值["".""] @lib/infrastructure/cli/session_commands.h#config_fields(mosaic).output_dir ; lib/infrastructure/cli/session_commands.h#config_fields(export).output_dir [mosaic] ||| 值[""path/to/out/red""] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).output_dir [normalize] ||| 值[""path/to/out/ha""] @lib/infrastructure/cli/session_commands.h#config_second_block_overrides.output_dir [normalize第2块覆盖]",该侧无此项,"值[""run"" ×1 (成员/赋值 config_.k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:576] @1 处 / 1 个位点（前 4: 成员/赋值 config_.k=）；全量见 side5_位点.log",该侧无此项,3
⑤仅跨侧异值（含同名异义嫌疑）,parity,longitude_parity、star_detection_config,T1数值不等,"T1: S4={pos} ｜S5={east_left,pos}",该侧无此项,该侧无此项,值[该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)] @lib/infrastructure/cli/session_commands.h#config_fields(export).longitude_parity [export],"值[enum=[""east_left"",""east_right""]] @eng/contracts/schemas/phase_config_export.schema.json#/longitude_parity ||| 值[default=""pos"";enum=[""pos"",""neg""]] @eng/contracts/schemas/phase_config_normalize.schema.json#/star_detection_config/parity","值[""east_left"" ×4 (声明/赋值 k=) @lib/algorithms/projection/p3_proj_v6.cpp:446; lib/algorithms/projection/p3_projection.cpp:328; lib/algorithms/projection/p3_wcs.cpp:102; lib/infrastructure/scheduler/src/module_adapters.cpp:13524 ## ""pos"" ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:3315] @5 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,ra_deg,blocks、center、platesolve,T1数值不等,"T1: S2={0.0} ｜S3={0.0} ｜S5={-999.0,0.0}",该侧无此项,值[0.0] @eng/packaging/config/templates/export.phase_config.json#blocks.[].center.ra_deg [phase=export],值[0.0] @lib/infrastructure/cli/session_commands.h#config_fields(export).center [export],值[minimum=0;maximum=360] @eng/contracts/schemas/phase_config_export.schema.json#/center/ra_deg ||| 值[minimum=0;exclusiveMaximum=360] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/platesolve/initial_ra_deg,"值[-999.0 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:44] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log ||| 值[0.0 ×3 (value(""k"",d),声明/赋值 k=) @lib/algorithms/shared/healpix/healpix_core.cpp:249; lib/infrastructure/scheduler/src/module_adapters.cpp:9530; lib/infrastructure/scheduler/src/module_adapters.cpp:9551] @3 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,3
⑤仅跨侧异值（含同名异义嫌疑）,reference_flux,reference_flux,T1数值不等,"T1: S5={0.0} ｜S6={逐帧 `f_ref,k}",该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[0.0 ×5 (声明/赋值 k=,成员/赋值 rec.k=) @lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:268; lib/algorithms/photometry/cpp/src/pc_api.cpp:1024; lib/algorithms/photometry/cpp/src/pc_api.cpp:1138; lib/algorithms/photometry/cpp/src/pc_api.cpp:966] @5 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 rec.k=）；全量见 side5_位点.log","值[declared_default=""逐帧 `F_ref,k""] @eng/packaging/config/config_registry.json#plugin_knobs[28] field=reference_flux (doc docs/plugins/algorithms_phase1/07_noise_snr.md:179, module 07_noise_snr, finding=unregistered) [registered_at=-]",2
⑤仅跨侧异值（含同名异义嫌疑）,rotation_deg,blocks、export、rotation_deg、star_detection,T1数值不等,"T1: S2={0.0} ｜S3={0.0} ｜S5={0.0,crpix_px} ｜S6={0.0,无 / `pos}",该侧无此项,值[0.0] @eng/packaging/config/templates/export.phase_config.json#blocks.[].rotation_deg [phase=export],值[0.0] @lib/infrastructure/cli/session_commands.h#config_fields(export).rotation_deg [export],该侧无此项,"值[0.0 ×2 (value(""k"",d),声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:3313; lib/infrastructure/scheduler/src/module_adapters.cpp:3396 ## ""0.0"" ×1 (value(""k"",d)) @lib/infrastructure/cli/session_commands.h:269 ## ""crpix_px"" ×1 (value(""k"",d)) @lib/infrastructure/cli/parser.cpp:354] @4 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log","值[declared_default=""0"" ｜note默认值断言: 默认0] @eng/packaging/config/config_registry.json#plugin_knobs[59] registered_key=export.config.wcs.rotation_deg (doc docs/plugins/algorithms_phase3/14_projection.md:40, module 14_projection, finding=none) [registered_at=eng/contracts/schemas/phase_config_export.schema.json#/$defs/export_wcs/properties/rotation_deg] ||| 值[declared_default=""无 / `pos"" ｜note默认值断言: 默认pos] @eng/packaging/config/config_registry.json#plugin_knobs[115] registered_key=star_detection.rotation_deg (doc docs/plugins/algorithms_phase1/03_star_detection.md:66, module 03_star_detection, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/$defs/star_detection_config]",4
⑤仅跨侧异值（含同名异义嫌疑）,schema_version,artifact_manifest、covariance、effective_psf、legacy_v1、phase3、point_information、provenance、psf、psfsw、schema_version、signal、units、weight_mode,T1数值不等,"T1: S2={1.0} ｜S3={1.0} ｜S5={0.0,0ull,1.0,1.1,acr-operation-route-profile-2,inputs}",该侧无此项,"值[""1""] @eng/packaging/config/templates/export.phase_config.json#schema_version ; eng/packaging/config/templates/mosaic.phase_config.json#schema_version ; eng/packaging/config/templates/normalize.phase_config.json#schema_version [phase=export]","值[""1""] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).schema_version ; lib/infrastructure/cli/session_commands.h#config_fields(mosaic).schema_version ; lib/infrastructure/cli/session_commands.h#config_fields(export).schema_version [normalize]","值[const=1] @eng/contracts/config/cli_modules_list.schema.json#/schema_version ; eng/contracts/config/cli_selftest.schema.json#/schema_version ; eng/contracts/schemas/cpu_profile.schema.json#/schema_version ; eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/schema_version ; eng/contracts/schemas/hardware_inspect.schema.json#/schema_version ; eng/contracts/schemas/product_family_field_constraints.schema.json#/units/schema_version ; eng/contracts/schemas/product_family_field_constraints.schema.json#/si… ||| 值[minimum=1] @eng/contracts/data/artifact_manifest.schema.json#/schema_version ; eng/contracts/data/phase_product_exchange.schema.json#/schema_version ; eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/schema_version ; eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/product/schema_version ||| 值[const=""1""] @eng/contracts/schemas/jsonl_event_v1.schema.json#/schema_version ||| 值[const=""3""] @eng/contracts/schemas/projection_registry.schema.json#/schema_version ||| 值[const=""1.1""] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/schema_version","值[1 ×6 (声明/赋值 k=,成员/赋值 p.product.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:431; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:223; lib/infrastructure/aio/v6/include/astro/aio/v6_hips_manifest.h:50; lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:20 ## 0 ×3 (声明/赋值 k=) @lib/include/astrocs/core/artifact.h:100; lib/include/astrocs/core/artifact.h:88; lib/include/astrocs/core/artifact_store.h:46 ## ""1.1"" ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:22 ## ""acr-operation-route-profile-2"" ×1 (成员/赋值 out.k=) @lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.cpp:1396 ## ""inputs"" ×1 (value(""k"",d)) @lib/infrastructure/cli/parser.cpp:578 ## 0ULL ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/artifact_store.cpp:73] @13 处 / 4 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 out.k=; 成员/赋值 p.product.k=）；全量见 side5_位点.log",该侧无此项,3
⑤仅跨侧异值（含同名异义嫌疑）,source,source,T1数值不等,"T1: S3={{""hips_dir"": """"}} ｜S5={0.0,gaia_star_matcher_tukey_irls,hips_dir,measured,reason}",该侧无此项,该侧无此项,"值[{""hips_dir"": """"}] @lib/infrastructure/cli/session_commands.h#config_fields(export).source [export]",该侧无此项,"值["" + weight_source + "" ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:11607 ## ""gaia_star_matcher_tukey_irls"" ×1 (成员/赋值 sc.k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:5805 ## ""hips_dir"" ×1 (value(""k"",d)) @lib/infrastructure/cli/session_commands.h:91 ## ""measured"" ×1 (成员/赋值 c.k=) @lib/infrastructure/acr/qualification/profile_generator.cpp:405 ## ""reason"" ×1 (value(""k"",d)) @lib/infrastructure/cli/protocol.h:90 ## 0 ×1 (成员/赋值 out_model->k=) @lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1167] @6 处 / 5 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 c.k=; 成员/赋值 out_model->k=）；全量见 side5_位点.log",该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,spatial_field_enabled,noise、noise_config,T1数值不等,T1: S1={1.0} ｜S4={true},值[1] @eng/packaging/config/defaults.json#fields[key=noise.spatial_field_enabled] [authority_status=sourced],该侧无此项,该侧无此项,值[default=true] @eng/contracts/schemas/phase_config_normalize.schema.json#/noise_config/spatial_field_enabled,该侧无此项,该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,upper_sigma,rejection,T1数值不等,"T1: S1={3.0,3.5} ｜S5={3.0}",值[3.0] @eng/packaging/config/defaults.json#fields[key=rejection.sigma.upper_sigma] ; eng/packaging/config/defaults.json#fields[key=rejection.winsorized.upper_sigma] ; eng/packaging/config/defaults.json#fields[key=rejection.averaged_sigma.upper_sigma] [authority_status=sourced] ||| 值[3.5] @eng/packaging/config/defaults.json#fields[key=rejection.linear_fit.upper_sigma] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,"值[3.0 ×8 (value(""k"",d),成员/赋值 p.averaged.k=,成员/赋值 p.median_sigma.k=,成员/赋值 p.sigma.k=,成员/赋值 p.winsorized.k=) @lib/algorithms/coverage/src/rejection.cpp:1246; lib/algorithms/coverage/src/rejection.cpp:1247; lib/algorithms/coverage/src/rejection.cpp:1249; lib/algorithms/coverage/src/rejection.cpp:1255] @8 处 / 5 个位点（前 4: value(""k"",d); 成员/赋值 p.averaged.k=; 成员/赋值 p.median_sigma.k=; 成员/赋值 p.sigma.k=）；全量见 side5_位点.log",该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,wcs,product_content、wcs,T1数值不等,"T1: S3={{""gaia_data_dir"": ""path/to/gaia""}} ｜S5={psf}",该侧无此项,该侧无此项,"值[{""gaia_data_dir"": ""path/to/gaia""}] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).wcs [normalize]","值[const=""present""] @eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/fits/wcs","值[""psf"" ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:1872] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项,2
⑤仅跨侧异值（含同名异义嫌疑）,width_px,blocks、export_wcs、width_px,T1数值不等,T1: S2={1024.0} ｜S3={1024.0} ｜S5={0.0},该侧无此项,值[1024] @eng/packaging/config/templates/export.phase_config.json#blocks.[].width_px [phase=export],值[1024] @lib/infrastructure/cli/session_commands.h#config_fields(export).width_px [export],值[minimum=1;maximum=20000] @eng/contracts/schemas/phase_config_export.schema.json#/export_wcs/width_px,"值[0 ×8 (value(""k"",d),声明/赋值 k=) @lib/algorithms/projection/p3_proj_v6.h:133; lib/algorithms/projection/p3_projection.h:78; lib/algorithms/projection/p3_wcs.h:20; lib/include/astrocs/core/plan_estimator.h:93] @8 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,3
