class	path	type	tracked	bytes	files	dirs	mtime	sha256	git_last	decision	basis
A	astrocs_run_9154bb000abc.json	FILE	0	1115	1	0	2026-09-13 22:11:25	6ac7fb49ad29dd2150d876ed8ff75bb66a6fa4a0d4bd762f2a4cfbed46c71f22	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_9154d913321c.json	FILE	0	610	1	0	2026-09-13 22:11:26	3dbb5157e3b764c237c7bb0a3d541b85b542242fe914ff0a8373f8bc125e7b28	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_a92907fa9737.json	FILE	0	1115	1	0	2026-09-14 05:28:06	d40e8f32ef636716616733952ad9ea5c9c10a0688a328bf6775596bb5de418e8	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_a929266a85f1.json	FILE	0	610	1	0	2026-09-14 05:28:06	f53967f62b196dccde4cb24797dc078d045cbdf5e2d9e143bf840917ed934a2d	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
F	AstroCS.wiki	DIR	0	0	0	1	2026-08-21T21:43:26	-	—（untracked）	保留（待负责人裁决）	0 字节空目录；CS/ 疑为未加引号路径分词残留，worktrees/ 疑为历史 worktree 残留（AGENTS §5 禁止 worktree），AstroCS.wiki/ 被 evidence/refactor/tasks/BAS-001 记为「非有效 submodule 的普通目录」。来源无法完全确证 → F 类只登记不删
D	BASS DR3	DIR	0	59820332	367	3	2026-08-21T21:43:26	-	—（untracked）	原地保留登记	用户数据区（.gitignore 已覆盖：BASS DR3/ :7、GaiaDR3/ :3、GaiaDR3SP/ :4）；硬规则禁止移动/删除
B	build	DIR	0	6364625713	7080	3123	2026-09-16T02:32:59	-	—（untracked）	删除	CMake/ninja 构建树（可重建）。bin/obj 生成物；CMakeLists.txt + ci/steps/linux_build_root_graph.sh 可重建；GAP-022 列为构建/缓存残留
E	build.sh	FILE	1	2011	1	0	2026-08-28 13:25:52	1d4a591730cbe23e0c42dbaa7eac47a2a16e7cc18460c6a3f5e792f80246e137	ef19a5e0 2026-08-28 13:28:19 +0800	保留	§7 白名单
F	CHANGELOG.md	FILE	1	16478	1	0	2026-09-16 03:55:57	fa15b1a510a303660213b6f6c45fc925aec2229e843685916215711e0e211deb	46ca7573 2026-09-16 03:57:13 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单（GAP-001/017「仅作内部助记，不进入程序与发布产物」），处置归 DOC-001
E	ci	DIR	56	2216048	115	9	2026-09-16T02:16:04	-	0d8e98f1 2026-09-16 02:23:08 +0800	保留	§7 白名单
E	.clang-format	FILE	1	436	1	0	2026-08-21 21:43:26	e87deb303a93078ba9d99b4a99b45cfd47eaf6e2b5eb8fe434d19c139a6f9358	a0c92280 2026-08-13 18:34:01 +0800	保留	§7 白名单
F	cli	DIR	22	367299	22	1	2026-09-16T02:11:13	-	0d8e98f1 2026-09-16 02:23:08 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked（22 文件）但不在 §7 白名单（GAP-003/021）；源码根迁移归 ARCH-001
E	cmake	DIR	7	34754	7	3	2026-09-11T23:39:11	-	e6254d4d 2026-09-12 00:12:18 +0800	保留	§7 白名单
E	CMakeLists.txt	FILE	1	43614	1	0	2026-09-16 02:25:25	4719432c072c025c64fcee652ca6b8937a7846a4cd15dbd878d4e14b29440826	3e7fbc44 2026-09-16 02:30:54 +0800	保留	§7 白名单（唯一根 CMake）
E	CMakePresets.json	FILE	1	4833	1	0	2026-09-06 21:24:43	230daadc21b6cfe3052baa1c6a10104d937a0cc8f7e99e88c7101c32adc72839	63721d70 2026-09-06 21:29:31 +0800	保留	§7 白名单
E	contracts	DIR	62	462017	62	11	2026-09-16T00:48:15	-	2ac6b758 2026-09-16 00:51:00 +0800	保留	§7 白名单
E	CONTROL_PACK_SPEC.md	FILE	1	8195	1	0	2026-09-16 13:19:13	f46e85834477ee8484ec0eaf2fde38a2a64a80717f4c48d3c12ccec64787765c	a861d8f6 2026-09-16 13:19:42 +0800	保留	§7 白名单
F	CS	DIR	0	0	0	1	2026-09-13T14:55:36	-	—（untracked）	保留（待负责人裁决）	0 字节空目录；CS/ 疑为未加引号路径分词残留，worktrees/ 疑为历史 worktree 残留（AGENTS §5 禁止 worktree），AstroCS.wiki/ 被 evidence/refactor/tasks/BAS-001 记为「非有效 submodule 的普通目录」。来源无法完全确证 → F 类只登记不删
A	Database	DIR	0	48146	26	24	2026-09-15T01:57:13	-	—（untracked）	删除	未加引号路径 '/workspace/Astro CS Database/run/...' 被 shell 分词后误建；实测与 run/ 下同名文件 sha256 逐字节相同（fc99741a…），run/ 为唯一事实源
E	DEPENDENCIES.md	FILE	1	4783	1	0	2026-09-03 03:41:44	d20d48a8a6131dc53a3a1e00ae78b5eb40b3100e4902914a6e62fe452a2e6663	64a2f996 2026-09-03 03:41:55 +0800	保留	§7 白名单
E	docs	DIR	333	3614069	334	63	2026-09-16T13:19:13	-	a861d8f6 2026-09-16 13:19:42 +0800	保留	§7 白名单
E	.editorconfig	FILE	1	264	1	0	2026-08-21 21:43:26	51db027592986ac39e1c498419429d1c8dba4c62b45ab5797d3b2b10687257c5	a0c92280 2026-08-13 18:34:01 +0800	保留	§7 白名单
E	engineering	DIR	0	0	0	1	2026-09-16T13:19:13	-	—（untracked）	保留	§7 白名单（当前为空目录，0 条目）
E	ENGINEERING_SPEC.md	FILE	1	7416	1	0	2026-09-16 13:19:13	8664f18088cbcb845431922bf93eba8ac401e01712344ee8ae323a084d5df432	a861d8f6 2026-09-16 13:19:42 +0800	保留	§7 白名单
F	evidence	DIR	624	19680121	2799	449	2026-09-14T05:29:29	-	9690c1da 2026-09-09 19:23:00 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked（624 文件 / 19.7 MB）但不在 §7 白名单（§7 只列「证据 artifacts/」）；历史证据，处置需负责人裁决
F	FATDUCK_ACCESS.md	FILE	1	2153	1	0	2026-08-26 21:37:03	4e1d653a46143e478a5b0f9d1d2701d7e2930352936c2b4b9336ddecc17e373a	2f20a99d 2026-08-29 00:24:51 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单；凭据引用说明，处置归 GOV-001（禁读密钥内容）
D	GaiaDR3	DIR	0	43936859210	16	1	2026-09-09T16:38:27	-	—（untracked）	原地保留登记	用户数据区（.gitignore 已覆盖：BASS DR3/ :7、GaiaDR3/ :3、GaiaDR3SP/ :4）；硬规则禁止移动/删除
D	GaiaDR3SP	DIR	0	67834893663	20	1	2026-09-09T16:41:24	-	—（untracked）	原地保留登记	用户数据区（.gitignore 已覆盖：BASS DR3/ :7、GaiaDR3/ :3、GaiaDR3SP/ :4）；硬规则禁止移动/删除
E	.git	DIR	0	162184393	3331	407	2026-09-16T14:08:25	-	—（untracked）	保留	版本库本体；硬规则禁止触碰
E	.gitattributes	FILE	1	409	1	0	2026-08-21 21:43:26	dfee8a722364cd168c34fdcab6e34f35eb867f9881a920aab9bba82420f366b5	d459bb4f 2026-07-24 17:30:57 +0800	保留	§7 白名单
E	.github	DIR	4	30301	4	2	2026-09-13T22:00:31	-	c21eec50 2026-09-13 22:47:58 +0800	保留	§7 白名单（.github/）
E	.gitignore	FILE	1	2516	1	0	2026-09-13 15:26:56	dbf78b5740a0837ab1fac8624bf81cf7b0edad81d54e6013626e20c9440bfac2	3848fc61 2026-09-13 16:30:21 +0800	保留	§7 白名单
B	graph	DIR	0	5459	9	1	2026-09-13T16:15:09	-	—（untracked）	删除	tools/graph 生成的运行图产物（graph/*.dot|json|svg）；.gitignore:/graph/ 已兜底；ci/ci_repair_round.py:118 点名 'astrocs graph 落 graph/*.json' 为 CWD 误落
F	HANDOVER.md	FILE	1	9216	1	0	2026-09-11 02:12:11	bc7aa32c164b4c93a94bb0c1400405245f42b4bc9aac79efa758bc142cfa8d4b	eb315b20 2026-09-11 02:12:25 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单（GAP-001/019）；引用已删控制包路径，处置归 DOC-001
E	include	DIR	23	148620	23	6	2026-09-14T22:18:28	-	57c04256 2026-09-14 22:26:27 +0800	保留	§7 白名单
E	lib	DIR	1221	212345576	1327	254	2026-09-16T03:10:38	-	393db3fb 2026-09-16 01:48:06 +0800	保留	§7 白名单（目标源码根，GAP-003 待 ARCH-001 迁移）
E	logs	DIR	0	5798	5	1	2026-09-14T20:31:03	-	—（untracked）	保留	§7 白名单（logs/（gitignore））
E	memory.md	FILE	1	15373	1	0	2026-09-12 15:15:54	3bea1a8b2e511012536bb061a786d861398d005eafd18266674b75331fb6fdf0	327b6c30 2026-09-12 15:19:31 +0800	保留	§7 白名单
F	modules	DIR	16	144993	16	22	2026-09-06T23:31:01	-	f896d1bb 2026-09-06 23:35:10 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked（16 文件）但不在 §7 白名单（GAP-003/021）；模块映射归 MOD-001
A	out	DIR	0	661	1	1	2026-09-08T07:38:49	-	—（untracked）	删除	CLI 缺省 output_dir 兜底产物（含 1 个 astrocs_run_*.json）；ASTROCS_DESIGN §6.3 禁止以 CWD 作隐式缺省
F	p10-files.patch	FILE	0	21329	1	0	2026-09-14 22:18:28	ba1df961e836dabecfeca9619991171265581ba85e81b39a79c2d0232277a172	—（untracked）	保留（建议 .gitignore 登记）	本地生成的改动补丁（diff --git 格式，P8..P15a 批次）；内容已应用于工作区，属本地保留物；仓内 12~19 处历史账本引用其文件名。是否删除需负责人裁决 → 本次不删
F	p11-files.patch	FILE	0	13704	1	0	2026-09-14 21:54:10	061ed1d301b3050da2786d2e92adf2fc45b151b73e5657a84a3458611107061d	—（untracked）	保留（建议 .gitignore 登记）	本地生成的改动补丁（diff --git 格式，P8..P15a 批次）；内容已应用于工作区，属本地保留物；仓内 12~19 处历史账本引用其文件名。是否删除需负责人裁决 → 本次不删
F	p15a-files.patch	FILE	0	26485	1	0	2026-09-14 23:36:24	c97bd9c5a51c0df19ae94135207594f79727bc2e2bad1407f3b38343317cfeb8	—（untracked）	保留（建议 .gitignore 登记）	本地生成的改动补丁（diff --git 格式，P8..P15a 批次）；内容已应用于工作区，属本地保留物；仓内 12~19 处历史账本引用其文件名。是否删除需负责人裁决 → 本次不删
F	p8-files.patch	FILE	0	23533	1	0	2026-09-14 20:39:10	88707acacdb656df135897391134b033fd9c68cd7520f19ef2c8ed6967f656e4	—（untracked）	保留（建议 .gitignore 登记）	本地生成的改动补丁（diff --git 格式，P8..P15a 批次）；内容已应用于工作区，属本地保留物；仓内 12~19 处历史账本引用其文件名。是否删除需负责人裁决 → 本次不删
F	p9-files.patch	FILE	0	19878	1	0	2026-09-14 22:27:22	7e0bae40f501ffb18842e2a70be44426bac3a1bc25b2b82e1bd29c0699d261de	—（untracked）	保留（建议 .gitignore 登记）	本地生成的改动补丁（diff --git 格式，P8..P15a 批次）；内容已应用于工作区，属本地保留物；仓内 12~19 处历史账本引用其文件名。是否删除需负责人裁决 → 本次不删
E	packaging	DIR	17	62137	19	6	2026-09-11T23:47:24	-	e6254d4d 2026-09-12 00:12:18 +0800	保留	§7 白名单
F	providers	DIR	10	127412	10	23	2026-09-07T00:58:21	-	1938b7aa 2026-09-07 01:02:25 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked（10 文件）但不在 §7 白名单（GAP-003/021）；CPU provider 归 CPU-001
B	.pytest_cache	DIR	0	128974	6	3	2026-09-16T02:19:41	-	—（untracked）	删除	pytest 缓存（可重建）；tools/quality/ci_coverage_runner.py:130 明文要求禁止其落在工作区根
E	README.md	FILE	1	8831	1	0	2026-09-16 03:46:06	dfe13c5154dee66968676e1f7ed73a3977e8e340e6aaa4d5d4a162722a6540ef	46ca7573 2026-09-16 03:57:13 +0800	保留	§7 白名单
E	reports	DIR	686	7572484	734	74	2026-09-16T14:09:54	-	3ec798d3 2026-09-16 04:28:28 +0800	保留	§7 白名单
A	resource_samples.csv	FILE	0	351	1	0	2026-09-16 02:54:18	a82b434cdeeb21fcd95cc78816a7071740ce2f07dbbba6e226899d6d4d52d54c	—（untracked）	删除	MON-002/资源监控一次性运行产物（CWD 落盘）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷；ci/ci_repair_round.py:118 明文点名 alloc_report.json/alloc_samples.csv 为 CWD 误落
A	resource_summary.json	FILE	0	1237	1	0	2026-09-16 02:54:18	495d1f475e8f94caabe45faff5c157c6a1c0073d7cb57f3297c3a105dc0f6daf	—（untracked）	删除	MON-002/资源监控一次性运行产物（CWD 落盘）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷；ci/ci_repair_round.py:118 明文点名 alloc_report.json/alloc_samples.csv 为 CWD 误落
F	REVIEW.md	FILE	1	20936	1	0	2026-09-16 03:46:53	eea9c8400262a6d3ec152b6ec8bf214c3e47c12deff08da049f5d7e431862c51	46ca7573 2026-09-16 03:57:13 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单（GAP-001）；旧状态入口，处置归 DOC-001
E	run	DIR	1	106692246060	635019	151047	2026-09-16T14:10:53	-	896755de 2026-07-31 19:10:28 +0800	保留	§7 白名单（临时产物/日志；内部清运归 ROOT-003）
A	run_context.json	FILE	0	231	1	0	2026-09-16 02:54:17	0ff783873e4eb640909f1f254eb26d7bb87db9dcb5348913e8147684d72cfd82	—（untracked）	删除	CLI 一次性运行上下文（CWD 落盘）。生成=lib/core/src/module_adapters.cpp:6198-6214；消费方只读 output_dir 内副本（tests/unit/p3002_real_nodes_test.cpp:234 读 fx.out 下文件，非仓库根）
F	runtime	DIR	32	985683	50	16	2026-09-16T03:14:22	-	0d8e98f1 2026-09-16 02:23:08 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked（32 文件）但不在 §7 白名单（GAP-003/021）；基建收敛归 RT-001/ARCH-001
E	scripts	DIR	2	4087	2	1	2026-08-31T01:58:47	-	b840ed64 2026-08-31 01:59:23 +0800	保留	§7 白名单
D	testdata	DIR	1	31758220035	944	36	2026-09-11T21:34:17	-	9f6b72b5 2026-09-11 21:43:09 +0800	原地保留登记	§7 白名单内且属数据区（30G，944 文件）；按任务硬规则只登记、不删不移
B	Testing	DIR	0	125	2	2	2026-09-11T17:21:41	-	—（untracked）	删除	ctest 残留（Testing/Temporary）；ENGINEERING_SPEC §7 规定 ctest 残留归 run/Testing_archive/，本任务禁改 run/ 内部，故按 B 类删除并登记该口径差
E	tests	DIR	397	8102307	663	82	2026-09-16T14:03:27	-	b7c4f35e 2026-09-16 03:38:07 +0800	保留	§7 白名单
E	third_party	DIR	1	1040613	1	2	2026-08-28T23:01:31	-	d484f7c5 2026-08-28 23:13:30 +0800	保留	§7 白名单
E	toolchain.ps1	FILE	1	9334	1	0	2026-08-21 21:43:26	ac106fa00db90cd4de008cfca6b9b67c90ad245b08794a7bd7aac58d343f24a1	a53c97de 2026-08-04 18:46:37 +0800	保留	§7 白名单
E	tools	DIR	169	2672834	229	40	2026-09-16T14:03:27	-	0d8e98f1 2026-09-16 02:23:08 +0800	保留	§7 白名单
F	VERSION	FILE	1	15	1	0	2026-09-05 19:38:12	c42c9d58f54f29085af17d9f96fb3caf922a9abdac2f02dd10654174a5309a55	b4f923cc 2026-09-05 20:06:55 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单（GAP-001/017）；Alpha 前版本信息，处置归 GOV-001
F	VISUAL_CHECK_README.md	FILE	1	2271	1	0	2026-08-21 21:43:26	a121b3f9fbee6a67952a39b3c405f5df03d6acade51e0d7778bad213ac3a7377	42c801de 2026-08-12 18:21:39 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单；处置归 DOC-001
A	worker_balance.csv	FILE	0	82	1	0	2026-09-16 02:54:18	d7a2b6d9113fadccc457f7f4d243308e8071438ea56f0e695bd3f95c3290d044	—（untracked）	删除	MON-002/资源监控一次性运行产物（CWD 落盘）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷；ci/ci_repair_round.py:118 明文点名 alloc_report.json/alloc_samples.csv 为 CWD 误落
F	worktrees	DIR	0	0	0	2	2026-09-04T18:53:05	-	—（untracked）	保留（待负责人裁决）	0 字节空目录；CS/ 疑为未加引号路径分词残留，worktrees/ 疑为历史 worktree 残留（AGENTS §5 禁止 worktree），AstroCS.wiki/ 被 evidence/refactor/tasks/BAS-001 记为「非有效 submodule 的普通目录」。来源无法完全确证 → F 类只登记不删
