符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
extra_val,eng/tests/unit/cpu008_worker_advisor_test.cpp:47,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
FAKE,eng/tests/unit/cpu_features_test.cpp:51,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/cpu_lease_test.cpp:74,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
FAKE,eng/tests/unit/cpu_provider_test.cpp:63,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/drizzle_adapter_impl.cpp:208,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
NSIDE,eng/tests/unit/drizzle_adapter_impl.cpp:308,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/drizzle_adapter_impl.cpp:309,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/drizzle_precision_default_test.cpp:59,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kTasks,eng/tests/unit/executor_provider_race_test.cpp:44,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/export_stream_test.cpp:93,1024,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kThreads,eng/tests/unit/io_adapter_test.cpp:163,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kPer,eng/tests/unit/io_adapter_test.cpp:164,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/io_ownership_test.cpp:69,3,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kH,eng/tests/unit/io_ownership_test.cpp:70,2,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/ipv_platform_binding_test.cpp:47,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/master_flat_median_test.cpp:30,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
med,eng/tests/unit/master_flat_median_test.cpp:65,0.5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kPerNode,eng/tests/unit/mem_wire_test.cpp:222,1000,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kLimit,eng/tests/unit/mem_wire_test.cpp:223,2500,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kNodes,eng/tests/unit/mem_wire_test.cpp:224,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kNodes,eng/tests/unit/mem_wire_test.cpp:301,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kNodes,eng/tests/unit/mem_wire_test.cpp:387,6,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
expect_cache,eng/tests/unit/mon002_gate_test.cpp:379,2733805568,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kFrames,eng/tests/unit/mosaic_window_test.cpp:164,6,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/p1001_real_nodes_test.cpp:87,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
L,eng/tests/unit/p1001_real_nodes_test.cpp:1059,100.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
tl,eng/tests/unit/p1001_real_nodes_test.cpp:1060,300.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15Cover0,eng/tests/unit/p1001_real_nodes_test.cpp:1394,768,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15Cover1,eng/tests/unit/p1001_real_nodes_test.cpp:1395,255,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15Tile0Support,eng/tests/unit/p1001_real_nodes_test.cpp:1396,128,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15Tile1Support,eng/tests/unit/p1001_real_nodes_test.cpp:1397,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15SignalV,eng/tests/unit/p1001_real_nodes_test.cpp:1398,0.5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
nside,eng/tests/unit/p1001_real_nodes_test.cpp:1411,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15GhostParent0,eng/tests/unit/p1001_real_nodes_test.cpp:1569,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15GhostParent1,eng/tests/unit/p1001_real_nodes_test.cpp:1570,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15GhostOffset1,eng/tests/unit/p1001_real_nodes_test.cpp:1571,1024,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15GhostCover0,eng/tests/unit/p1001_real_nodes_test.cpp:1572,768,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15GhostCover1,eng/tests/unit/p1001_real_nodes_test.cpp:1573,255,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15GhostSup0,eng/tests/unit/p1001_real_nodes_test.cpp:1574,128,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA15GhostSup1,eng/tests/unit/p1001_real_nodes_test.cpp:1575,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
d2r,eng/tests/unit/p1001_real_nodes_test.cpp:1691,3.14159265358979323846,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
r2d,eng/tests/unit/p1001_real_nodes_test.cpp:1692,180.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kA17ExpectedSignal,eng/tests/unit/p1001_real_nodes_test.cpp:1708,1.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kPxScaleDeg,eng/tests/unit/p1001_real_nodes_test.cpp:1810,0.0002777777777777778,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
A,eng/tests/unit/p1001_real_nodes_test.cpp:1824,8.0e-5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
B,eng/tests/unit/p1001_real_nodes_test.cpp:1825,-8.0e-5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
Au,eng/tests/unit/p1001_real_nodes_test.cpp:1838,8.0e-5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
Bu,eng/tests/unit/p1001_real_nodes_test.cpp:1839,-8.0e-5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/p1001_real_nodes_test.cpp:1867,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kP21Nside,eng/tests/unit/p1001_real_nodes_test.cpp:2702,65536,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kP21CoverLeaves,eng/tests/unit/p1001_real_nodes_test.cpp:2706,256,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
norder,eng/tests/unit/p1001_real_nodes_test.cpp:2824,7,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIvarSupFull,eng/tests/unit/p1001_real_nodes_test.cpp:2908,255,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIvarCover,eng/tests/unit/p1001_real_nodes_test.cpp:2909,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIvarVarAdu2,eng/tests/unit/p1001_real_nodes_test.cpp:2910,4.0e-4,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
nside,eng/tests/unit/p1001_real_nodes_test.cpp:2935,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
nside,eng/tests/unit/p1001_real_nodes_test.cpp:3425,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kMaskW,eng/tests/unit/p1001_real_nodes_test.cpp:3665,256,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
alpha,eng/tests/unit/p1001_real_nodes_test.cpp:3681,1.0e-17,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kN,eng/tests/unit/p1001_real_nodes_test.cpp:4859,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
k,eng/tests/unit/p1_calibration_test.cpp:71,2.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_calibration_test.cpp:97,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/p1_hips_writer_test.cpp:63,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_ir_facade_test.cpp:63,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
FX_H,eng/tests/unit/p1_noise/adapter_test.cpp:260,96,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
FX_SIGMA,eng/tests/unit/p1_noise/adapter_test.cpp:261,5.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
signal,eng/tests/unit/p1_noise_test.cpp:60,500.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
n_pix,eng/tests/unit/p1_noise_test.cpp:61,65536,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
side,eng/tests/unit/p1_noise_test.cpp:62,256,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
leaf_nside,eng/tests/unit/p1_nside_test.cpp:26,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
nside,eng/tests/unit/p1_nside_test.cpp:64,1024,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_resource_test.cpp:29,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
frames,eng/tests/unit/p1_resource_test.cpp:37,6,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:47,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:66,96,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:100,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:141,48,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:154,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:170,40,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:184,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_stars_test.cpp:208,128,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
sigma_true,eng/tests/unit/p1_stars_test.cpp:209,10.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
n_stars,eng/tests/unit/p1_stars_test.cpp:210,25,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
scale,eng/tests/unit/p1_wcs_phot_test.cpp:39,0.5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_wcs_phot_test.cpp:63,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
bg,eng/tests/unit/p1_wcs_phot_test.cpp:64,100.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_wcs_phot_test.cpp:83,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_wcs_phot_test.cpp:95,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
bg,eng/tests/unit/p1_wcs_phot_test.cpp:96,50.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p1_wcs_phot_test.cpp:110,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/p1snr/p1snr_frame_parity_test.cpp:64,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:73,64,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kK1,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:113,6.272203e-17,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kK2,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:114,5.685037e-17,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kZPsyn,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:115,-14.269,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
tol,eng/tests/unit/p1snr/p1snr_linux_test.cpp:52,1e-12,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kPi,eng/tests/unit/p1snr/p1snr_linux_test.cpp:61,3.14159265358979323846,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kGaussFwhmFactor,eng/tests/unit/p1snr/p1snr_linux_test.cpp:64,2.3548200450309493,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kMoffat4FwhmFactor,eng/tests/unit/p1snr/p1snr_linux_test.cpp:67,1.230310,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
alpha2,eng/tests/unit/p1snr/p1snr_linux_test.cpp:100,2.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
t,eng/tests/unit/p1snr/p1snr_linux_test.cpp:105,1.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
v,eng/tests/unit/p1snr/p1snr_linux_test.cpp:106,1.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
t,eng/tests/unit/p1snr/p1snr_linux_test.cpp:116,1.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
v,eng/tests/unit/p1snr/p1snr_linux_test.cpp:117,1.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kRealSky,eng/tests/unit/p1snr/p1snr_linux_test.cpp:144,260.8590110604006,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kOracleMedian,eng/tests/unit/p1snr/p1snr_linux_test.cpp:156,16.04022427426992,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kOracleFlux5,eng/tests/unit/p1snr/p1snr_linux_test.cpp:157,3563.641141562232,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kGroupRefFlux,eng/tests/unit/p1snr/p1snr_linux_test.cpp:162,11581.213134765625,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
legacy_dex,eng/tests/unit/p1snr/p1snr_linux_test.cpp:296,1.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
F0,eng/tests/unit/p1snr/p1snr_linux_test.cpp:436,3000.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
sigma_true,eng/tests/unit/p1snr/p1snr_linux_test.cpp:511,1.25,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/p1snr/p1snr_noise_cfg_wiring_test.cpp:64,128,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
theta,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:91,0.05,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
N,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:104,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
px,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:109,32.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
py,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:110,32.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
theta,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:162,-0.03,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
N,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:177,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
px,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:182,32.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
py,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:183,32.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
theta,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:332,-0.03,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
N,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:349,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
