键,键族,语义路径样本,S1_defaults.json,S2_出厂模板,S3_CLI骨架,S4_合同schema,S5_代码兜底,S6_登记册
export_crop_pixels.y1,export_crop_pixels,export_crop_pixels.y1,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/phase_config_export.schema.json#/export_crop_pixels/y1,该侧无此项,该侧无此项
fallback,calibration,calibration.fallback,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""exposure_ratio"",""fail""]] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/calibration/fallback","值[false ×3 (声明/赋值 k=,成员/赋值 result.k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:90; lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:1116; lib/infrastructure/scheduler/src/module_adapters.cpp:11468 ## ""exposure_ratio"" ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:38 ## true ×1 (成员/赋值 result.k=) @lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:851] @5 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 result.k=）；全量见 side5_位点.log",该侧无此项
family,effective_psf、phase3、product_family、signal,effective_psf.formula_family；effective_psf.product_family；phase3.kernel_registry_entry.family；product_family；signal.product_family,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""phase1_drizzle_surface_brightness"",""phase2_mosaic_surface_brightness"",""phase2_mosaic_per_pixel_flux"",""phase3_plane_surface_brightness"",""phase3_plane_flux""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/product_family ; eng/contracts/schemas/unified/signal.schema.json#/product_family ||| 值[enum=[""phase1_point_information"",""phase2_point_source"",""phase2_surface_brightness"",""phase2_psfsw_integration"",""phase3_point_source_flux"",""phase3_surface_brightness""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/product_family ||| 值[enum=[""conventional_coadd"",""matched_filter_proper_coadd""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/formula_family ||| 值[enum=[""nearest"",""bilinear_4quad"",""higher_order""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/kernel_registry_entry/family ||| 值[enum=[""phase1_drizzle_surface_brightness"",""phase2_mosaic_surface_brightness"",""phase3_plane_surface_brightness""]] @eng/contracts/schemas/unified/signal.schema.json#/if/product_family ||| 值[enum=[""phase2_mosaic_per_pixel_flux"",""phase3_plane_flux""]] @eng/contracts/schemas/unified/signal.schema.json#/if/product_family","值[0 ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/profile_gen.cpp:53] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log ||| 值[""phase2_point_source"" ×2 (声明/赋值 k=,成员/赋值 as.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:1007; lib/algorithms/integration/v6/src/phase2_integrate.cpp:385] @2 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 as.k=）；全量见 side5_位点.log",该侧无此项
feature_bits,feature_bits,feature_bits,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/hardware_inspect.schema.json#/feature_bits,"值[0ull ×2 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/profile_gen.cpp:56; lib/infrastructure/cli/commands.cpp:632] @2 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
filter_name,filter_name,filter_name,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""Antlia V Pro Series B"",""Antlia V Pro Series G"",""Antlia V Pro Series R"",""Astrodon E-series B"",""Astrodon E-series G"",""Astrodon E-series R"",""Astrodon I-series B"",""Astrodon I-series G"",""Astrodon I-series R"",""Astronomik Deep Sky B"",""Astronomik Deep Sky G"",""Astronomik Deep Sky R"",""Astronomik Typ 2c B"",""Astronomik Typ 2c G"",""Astronomik Typ 2c R"",""Astronomik UV-IR Block L-1"",""Astronomik UV-IR Block L-2"",""Astronomik UV-IR Block L-3"",""Baader B"",""Baader G"",""Baader R"",""Baader UV/IR Cut / L CMOS Optimized"",""Baader 7nm H-alpha"",""Baader 8.5nm OIII"",""Chroma B"",""Chroma G"",""Chroma R"",""IDAS LPS P3 Light Pollution"",""Johnson B"",""Johnson I"",""Johnson R"",""Johnson U"",""Johnson V"",""Optolong B"",""Optolong G"",""OPTOLONG L-PRO Light Pollution"",""Optolong R"",""SDSS g"",""SDSS i"",""SDSS r"",""SDSS u"",""SDSS z"",""ZWO B"",""ZWO G"",""ZWO R""]] @eng/contracts/schemas/phase_config_export.schema.json#/filter_name ; eng/contracts/schemas/phase_config_mosaic.schema.json#/filter_name ; eng/contracts/schemas/phase_config_normalize.schema.json#/filter_name",该侧无此项,该侧无此项
filter_passband,blocks、filter_passband,blocks.filter_passband；filter_passband,该侧无此项,"值[""Baader R""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].filter_passband [phase=normalize] ||| 值[""Baader 7nm H-alpha""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].filter_passband [phase=normalize]","值[""Baader R""] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).filter_passband [normalize] ||| 值[""Baader 7nm H-alpha""] @lib/infrastructure/cli/session_commands.h#config_second_block_overrides.filter_passband [normalize第2块覆盖]","值[const=""""] @eng/contracts/schemas/phase_config_normalize.schema.json#/filter_passband","值["""" ×2 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:12720; lib/infrastructure/scheduler/src/module_adapters.cpp:9117] @2 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
fit_radius,psf,psf.fit_radius,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/psf/fit_radius,值[0 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:2292 ## 8 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:49] @2 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项
fit_residual.value,psf,psf.fit_residual.value,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fit_residual/value,该侧无此项,该侧无此项
flat_path,flat_path,flat_path,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[3] field=flat_path (doc docs/plugins/algorithms_phase1/01_calibration.md:47, module 01_calibration, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/properties/blocks[]]"
flux,units,units.bunit_semantics.pixel_area_power_defaults.flux,该侧无此项,该侧无此项,该侧无此项,值[const=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/flux,"值[0.0 ×17 (value(""k"",d),声明/赋值 k=,成员/赋值 c.k=) @lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:164; lib/algorithms/photometry/wrapper_phase1/photometer.h:15; lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:927; lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:1279 ## 0.0f ×2 (声明/赋值 k=,成员/赋值 rec.k=) @lib/algorithms/star_detection/src/sdet_api.cpp:1598; lib/algorithms/star_detection/src/sdet_detector.cpp:281 ## ""ADU"" ×1 (声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:35] @20 处 / 4 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 c.k=; 成员/赋值 rec.k=）；全量见 side5_位点.log",该侧无此项
flux_bias_loss,signal,signal.degradation.gates.power_loss_gate.flux_bias_loss,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/gates/power_loss_gate/flux_bias_loss,该侧无此项,该侧无此项
flux_conservation_factor,provenance、signal,provenance.flux_conservation_factor；signal.normalization.flux_conservation_factor,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/normalization/flux_conservation_factor ; eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/flux_conservation_factor,"值[0.0 ×3 (contains(""k"")?x:d,声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:374; lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:113; lib/infrastructure/aio/v6/src/v6_provenance.cpp:264 ## 1.0 ×3 (成员/赋值 p.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:470; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:273; lib/phase3_session/p3_v6_export.cpp:290 ## ""1.0"" ×1 (成员/赋值 cfg.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:1334 ## ""k_corr"" ×1 (value(""k"",d)) @lib/infrastructure/aio/v6/src/v6_provenance.cpp:58] @8 处 / 5 个位点（前 4: contains(""k"")?x:d; value(""k"",d); 声明/赋值 k=; 成员/赋值 cfg.k=）；全量见 side5_位点.log",该侧无此项
forbidden_variance_sources,covariance,covariance.forbidden_variance_sources,该侧无此项,该侧无此项,该侧无此项,"值[const=[""median_source_snr"",""median_snr"",""source_snr_median"",""support"",""coverage"",""fwhm"",""psf_residual"",""residual"",""weight"",""psfsw_robust_weight"",""psfsw"",""effective_psf"",""source_snr""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/forbidden_variance_sources",该侧无此项,该侧无此项
form_source,manifest_storage,manifest_storage.form_source,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""config"",""default""]] @eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage/form_source",该侧无此项,该侧无此项
formula,covariance、phase3、point_information,covariance.surface_gls_normal_equations.authoritative_formula；covariance.surface_gls_normal_equations.covariance_formula；phase3.kernel_registry_entry.resample_formula；phase3.qw_recompute.formula；point_information.authoritative_formula；point_information.white_noise_approximation.formula,该侧无此项,该侧无此项,该侧无此项,"值[const=""x_hat = (A^T C^-1 A)^-1 A^T C^-1 d""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/surface_gls_normal_equations/authoritative_formula ||| 值[const=""Cov(x_hat) = (A^T C^-1 A)^-1""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/surface_gls_normal_equations/covariance_formula ||| 值[const=""Q_k=a_k P_k^T C_k^-1 d_k; W_info,k=a_k^2 P_k^T C_k^-1 P_k; F_hat=Q/W; Var(F_hat)=1/W""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/authoritative_formula ||| 值[const=""W_info,k = a_k^2/(sigma_pix,k^2 * A_NEA,k), A_NEA,k = 1/Sum_p P_k,p^2""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/white_noise_approximation/formula ||| 值[const=""nearest: var_out = u_in; bilinear: var_out = Sum_k c_k^2 u_k (Sum c_k=1, Sum c_k^2 != 1)""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/kernel_registry_entry/resample_formula ||| 值[const=""Q=a*pi^T C_y^-1 f; W=a^2*pi^T C_y^-1 pi; F_hat=Q/W; Var=1/W""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/qw_recompute/formula",该侧无此项,该侧无此项
formula_ref,psfsw、signal,psfsw.composite.formula_ref；signal.formula_ref,该侧无此项,该侧无此项,该侧无此项,"值[const=""S_p = Sum_j B_j a_jp / Sum_j a_jp, B_j = x_j/A_pixel,j""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/formula_ref ||| 值[const=""Wt_k = C_norm * S_k^alpha * Conc_k^beta / (N_k^gamma * B_k^delta); W_psfsw,k = Wt_k / median_j(Wt_j)""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/composite/formula_ref","值[""P_eff = [Sum_k alpha_k a_k P_k] / [Sum_k alpha_k a_k P_k(0)]"" ×1 (成员/赋值 as.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:1008] @1 处 / 1 个位点（前 4: 成员/赋值 as.k=）；全量见 side5_位点.log",该侧无此项
frac,coverage_pair,coverage_pair.frac,该侧无此项,该侧无此项,该侧无此项,值[minimum=0;maximum=255] @eng/contracts/schemas/hips_storage_form.schema.json#/coverage_pair/frac,值[0.0 ×4 (声明/赋值 k=) @lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1152; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:697; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:738; lib/infrastructure/cli/memory_report.h:579 ## 0 ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/memory_pressure.cpp:61 ## 1.0 ×1 (声明/赋值 k=) @lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1153] @6 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项
frac_quant,subproduct,subproduct.coverage.frac_quant,该侧无此项,该侧无此项,该侧无此项,值[enum=[255]] @eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/coverage/frac_quant,该侧无此项,该侧无此项
frame,product_content,product_content.coordinate.frame,该侧无此项,该侧无此项,该侧无此项,"值[const=""icrs""] @eng/contracts/data/phase_product_exchange.schema.json#/product_content/coordinate/frame","值[""equatorial"" ×2 (声明/赋值 k=) @lib/infrastructure/aio/v6/include/astro/aio/v6_hips_manifest.h:26; lib/infrastructure/aio/v6/include/astro/aio/v6_hips_manifest.h:55 ## nullptr ×2 (contains(""k"")?x:d) @lib/infrastructure/cli/runtime_client.cpp:69; lib/infrastructure/scheduler/src/module_adapters.cpp:13547 ## "" + std::string(infos[i].frame_type) + "" ×1 (声明/赋值 k=) @lib/algorithms/coverage/tools/stage2.cpp:242 ## ""icrs"" ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:13528 ## NULL ×1 (声明/赋值 k=) @lib/algorithms/drizzle/src/module_entry.cpp:915] @7 处 / 2 个位点（前 4: contains(""k"")?x:d; 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
frame_id,frame_id,frame_id,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/scheduler_probe_event.schema.json#/frame_id,"值[0 ×6 (声明/赋值 k=) @lib/algorithms/coverage/src/sky_plane.cpp:184; lib/include/astrocs/core/mosaic_window.h:37; lib/include/astrocs/core/normalize_workflow.h:143; lib/include/astrocs/core/normalize_workflow.h:151 ## 0ull ×4 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:10206; lib/infrastructure/scheduler/src/module_adapters.cpp:11535; lib/infrastructure/scheduler/src/module_adapters.cpp:11566; lib/infrastructure/scheduler/src/module_adapters.cpp:9527 ## """" ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:9113] @11 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
frame_k_photo,reference_baseline,reference_baseline.frame_k_photo,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/unified/frame_snr.schema.json#/reference_baseline/frame_k_photo,该侧无此项,该侧无此项
frame_snr_value,frame_snr_value,frame_snr_value,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/unified/frame_snr.schema.json#/frame_snr_value,该侧无此项,该侧无此项
frame_unit,product_index,product_index.archive.frame_unit,该侧无此项,该侧无此项,该侧无此项,"值[const=""tar_member""] @eng/contracts/schemas/hips_storage_form.schema.json#/product_index/archive/frame_unit",该侧无此项,该侧无此项
freeze_id,units,units.bunit_semantics.freeze_id；units.quadratic_law.freeze_id,该侧无此项,该侧无此项,该侧无此项,"值[const=""FZ-P3-BUNIT-QUADRATIC""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/units/quadratic_law/freeze_id ||| 值[const=""FZ-BUNIT-SEMANTICS""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/freeze_id",该侧无此项,该侧无此项
frozen_set,frozen_set,frozen_set,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""TAN"",""SIN"",""CAR"",""AIT"",""STG"",""MOL"",""CEA"",""ZEA""]] @eng/contracts/schemas/projection_registry.schema.json#/frozen_set/items",该侧无此项,该侧无此项
fsync,fsync,fsync,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""true"" ｜note默认值断言: 默认true] @eng/packaging/config/config_registry.json#plugin_knobs[68] field=fsync (doc docs/plugins/infrastructure/17_aio.md:38, module 17_aio, finding=none) [registered_at=docs/algorithms/PHASE3_FITS_IMPL.md:23]"
fwhm.unit,psf,psf.fwhm.unit,该侧无此项,该侧无此项,该侧无此项,"值[const=""px""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fwhm/unit",该侧无此项,该侧无此项
fwhm.value,psf,psf.fwhm.value,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/fwhm/value,该侧无此项,该侧无此项
fwhm_from_effective.unit,effective_psf,effective_psf.fwhm_from_effective.unit,该侧无此项,该侧无此项,该侧无此项,"值[const=""px""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/fwhm_from_effective/unit",该侧无此项,该侧无此项
fwhm_from_effective.value,effective_psf,effective_psf.fwhm_from_effective.value,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/fwhm_from_effective/value,该侧无此项,该侧无此项
gaia_data_dir,blocks、star_detection、wcs,blocks.wcs.gaia_data_dir；star_detection.gaia_data_dir；wcs.gaia_data_dir,该侧无此项,"值[""path/to/gaia""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].wcs.gaia_data_dir [phase=normalize；示例占位值]","值[""path/to/gaia""] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).wcs [normalize]",该侧无此项,该侧无此项,"值[declared_default=""无""] @eng/packaging/config/config_registry.json#plugin_knobs[112] registered_key=star_detection.gaia_data_dir (doc docs/plugins/algorithms_phase1/03_star_detection.md:63, module 03_star_detection, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/$defs/star_detection_config]"
gaia_root,paths,paths.gaia_root,"值[""gaia""] @eng/packaging/config/defaults.json#fields[key=paths.gaia_root] [authority_status=owner_adjudicated]",该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项
gain,gain,gain,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[nullptr ×3 (具名常量 gain,声明/赋值 k=,成员/赋值 in.k=) @lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:222; lib/infrastructure/scheduler/src/module_adapters.cpp:11543 ## 0.0 ×2 (声明/赋值 k=) @lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:74; lib/infrastructure/aio/include/hiss_format.h:320 ## 1.0 ×2 (声明/赋值 k=) @lib/algorithms/coverage/tools/stage2.cpp:1166; lib/algorithms/coverage/tools/stage2.cpp:1522] @7 处 / 3 个位点（前 4: 具名常量 gain; 声明/赋值 k=; 成员/赋值 in.k=）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[4] field=gain (doc docs/plugins/algorithms_phase1/01_calibration.md:48, module 01_calibration, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/properties/blocks[]]"
gamma,psfsw,psfsw.composite.exponents.gamma,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/composite/exponents/gamma,值[kCompositeGamma ×1 (声明/赋值 k=) @lib/algorithms/photometry/include/astrocs/v6/psfsw.h:172] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项
geometry.format,product_content,product_content.geometry.format,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""hips"",""fits""]] @eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/format",该侧无此项,该侧无此项
granularity.unit,coverage_index,coverage_index.granularity.unit,该侧无此项,该侧无此项,该侧无此项,"值[const=""hips_leaf_tile""] @eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index/granularity/unit",该侧无此项,该侧无此项
group_normalized,psfsw,psfsw.weight.group_normalized,该侧无此项,该侧无此项,该侧无此项,值[const=true] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/weight/group_normalized,"值[false ×3 (value(""k"",d),声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:162; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1111; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1231 ## true ×1 (声明/赋值 k=) @lib/algorithms/photometry/include/astrocs/v6/psfsw.h:399] @4 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
height_px,blocks、export_wcs、height_px,blocks.height_px；export_wcs.height_px；height_px,该侧无此项,值[1024] @eng/packaging/config/templates/export.phase_config.json#blocks.[].height_px [phase=export],值[1024] @lib/infrastructure/cli/session_commands.h#config_fields(export).height_px [export],值[minimum=1;maximum=20000] @eng/contracts/schemas/phase_config_export.schema.json#/export_wcs/height_px,"值[0 ×8 (value(""k"",d),声明/赋值 k=) @lib/algorithms/projection/p3_proj_v6.h:134; lib/algorithms/projection/p3_projection.h:79; lib/algorithms/projection/p3_wcs.h:21; lib/include/astrocs/core/plan_estimator.h:94] @8 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
help,help,help,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[true ×5 (成员/赋值 args.k=,成员/赋值 out.k=) @lib/infrastructure/acr/qualification/focused/acr_benchmark_focused_main.cpp:30; lib/infrastructure/acr/tools/acr_benchmark/main.cpp:44; lib/infrastructure/acr/tools/acr_classic_runner/main.cpp:109; lib/infrastructure/acr/tools/acr_report/main.cpp:40] @5 处 / 2 个位点（前 4: 成员/赋值 args.k=; 成员/赋值 out.k=）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[73] field=help (doc docs/plugins/infrastructure/18_cli.md:42, module 18_cli, finding=none) [registered_at=docs/plugins/infrastructure/18_cli.md:37]"
hips,output,output.hips,该侧无此项,该侧无此项,该侧无此项,"值[default=""""] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/output/hips",该侧无此项,该侧无此项
hips.ordering,product_content,product_content.geometry.hips.ordering,该侧无此项,该侧无此项,该侧无此项,"值[const=""nested""] @eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/hips/ordering",该侧无此项,该侧无此项
hips_dir,blocks、source,blocks.source.hips_dir；source.hips_dir,该侧无此项,"值[""path/to/mosaic_hips""] @eng/packaging/config/templates/export.phase_config.json#blocks.[].source.hips_dir [phase=export；示例占位值]","值[""""] @lib/infrastructure/cli/session_commands.h#config_fields(export).source [export]",该侧无此项,值[NULL ×1 (成员/赋值 c->k=) @lib/algorithms/drizzle/src/module_entry.cpp:325] @1 处 / 1 个位点（前 4: 成员/赋值 c->k=）；全量见 side5_位点.log,该侧无此项
hips_order,coverage_index、subproduct,coverage_index.granularity.hips_order；subproduct.hips_order,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/hips_order ; eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index/granularity/hips_order,"值[0 ×3 (value(""k"",d),声明/赋值 k=) @lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:153; lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:428; lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:3897 ## ""hips_release_date"" ×1 (value(""k"",d)) @lib/algorithms/coverage/src/sampler.cpp:361 ## ""hips_tile_width"" ×1 (value(""k"",d)) @lib/infrastructure/aio/v6/src/v6_hips_manifest.cpp:98 ## -1 ×1 (value(""k"",d)) @lib/algorithms/coverage/src/coverage.cpp:84] @6 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
hips_paths,blocks、hips_paths,blocks.hips_paths；hips_paths,该侧无此项,"值[[""path/to/p1_hips_a"",""path/to/p1_hips_b""]] @eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].hips_paths [phase=mosaic]",值[[]] @lib/infrastructure/cli/session_commands.h#config_fields(mosaic).hips_paths [mosaic],该侧无此项,该侧无此项,该侧无此项
hips_tile_format,subproduct,subproduct.hips_tile_format,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""fits""]] @eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/hips_tile_format",该侧无此项,该侧无此项
hips_tile_width,subproduct,subproduct.hips_tile_width,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/hips_tile_width,"值[512 ×2 (value(""k"",d),具名常量 kHipsTileWidth) @lib/algorithms/coverage/hips_properties.h:25; lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:429 ## 0 ×1 (value(""k"",d)) @lib/algorithms/coverage/src/coverage.cpp:85] @3 处 / 2 个位点（前 4: value(""k"",d); 具名常量 kHipsTileWidth）；全量见 side5_位点.log",该侧无此项
hips_verify,execution,execution.stage_timeout_sec.hips_verify,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/hips_verify,该侧无此项,该侧无此项
hiss,output,output.hiss,该侧无此项,该侧无此项,该侧无此项,"值[default=""""] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/output/hiss",该侧无此项,该侧无此项
hiss_verify,execution,execution.stage_timeout_sec.hiss_verify,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/hiss_verify,该侧无此项,该侧无此项
implemented,projections,projections.implemented,该侧无此项,该侧无此项,该侧无此项,值[const=true] @eng/contracts/schemas/projection_registry.schema.json#/projections/items/implemented,该侧无此项,该侧无此项
init_source,wcs、wcs_config,wcs.init_source；wcs_config.init_source,该侧无此项,该侧无此项,值[该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).wcs.init_source [normalize],"值[enum=[""header_pointing"",""config"",""neighbor_crval""]] @eng/contracts/schemas/phase_config_normalize.schema.json#/wcs_config/init_source",该侧无此项,该侧无此项
input_covariance,covariance,covariance.input_covariance,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""provided"",""declared"",""unavailable""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/input_covariance","值[""declared"" ×2 (声明/赋值 k=,成员/赋值 rec.k=) @lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:319; lib/algorithms/calibration/src/v6_calibration_covariance.cpp:660] @2 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 rec.k=）；全量见 side5_位点.log",该侧无此项
