符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
progress,lib/infrastructure/cli/resource_recorder.h:64,.1;0.0,分数 0..1,—,不适用,0..1,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,机械层报的 0.1 是注释『(0..1)』的误切 ⇒ 作废；本字段不被任何判据读。
per_thread_cpu_max_pct,lib/infrastructure/cli/resource_recorder.h:68,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,每线程 CPU 峰值（区间口径，见 :155）。
per_thread_cpu_sum_pct,lib/infrastructure/cli/resource_recorder.h:69,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,每线程 CPU 和（区间口径，见 :157）。
io_wait_pct,lib/infrastructure/cli/resource_recorder.h:70,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,系统级 iowait，含他进程（21_observability §8.7 已澄清）；送 gate 的 iowait 腿未接线。
wall_seconds,lib/infrastructure/cli/resource_recorder.h:77,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
cpu_pct_mean,lib/infrastructure/cli/resource_recorder.h:78,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
cpu_pct_p50,lib/infrastructure/cli/resource_recorder.h:79,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
cpu_pct_p95,lib/infrastructure/cli/resource_recorder.h:80,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
cpu_pct_peak,lib/infrastructure/cli/resource_recorder.h:81,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
workers_mean,lib/infrastructure/cli/resource_recorder.h:82,0.0,线程数,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
workers_p50,lib/infrastructure/cli/resource_recorder.h:83,0.0,线程数,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
workers_peak,lib/infrastructure/cli/resource_recorder.h:84,0.0,线程数,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
per_thread_cpu_max_pct_peak,lib/infrastructure/cli/resource_recorder.h:88,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
per_thread_cpu_sum_pct_mean,lib/infrastructure/cli/resource_recorder.h:89,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
io_wait_pct_mean,lib/infrastructure/cli/resource_recorder.h:91,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,阶段统计零值：与『该阶段零样本』不可分，但同产物带 n_samples 列可由消费者判别。
interval_seconds,lib/infrastructure/cli/resource_recorder.h:97,0.25,s,墙钟采样周期,未规定,interval>0,无出处,无——既不在契约，也不在 21_observability/defaults.json；出厂模板与 CLI 骨架亦无该键,④ 待确认,采样线程周期,多侧不一致（L7）四档：本头默认 0.25（生产零调用点）/ CLI 生产实取 0.5（commands.cpp:720，另有 ProcessMonitor(0.5)、period 0.5、queue 累加 +=0.5 四处复写）/ 外挂 judge 1.0（resource_monitor.py:870 --interval）/ 冻结门 0.2（run_monitored.py:917 --poll-interval）—— 21_observability §8.6 称三面同义，但样本周期差 5×，直接改变逐样本判据⑥的样本数与②的连续窗量化。
(无名),lib/infrastructure/cli/runtime_client.cpp:118,.0;1.0,—,—,—,IR 标识,不适用（结构性常数）,—（Pipeline IR 版本标识串）,④ 待确认（版本面无登记点）,"build_pipeline_ir 产出的 ir[""version""]","机械层把字符串 ""1.0.0"" 误切成 .0/1.0 ⇒ 作废。实质问题：scheduler 只校验非空（lib/infrastructure/scheduler/src/pipeline.cpp:89），eng/contracts/schemas/pipeline_block.schema.json 不含 version 常量 ⇒ 该版本串无合同约束点，属版本治理缺口非科学常数。"
(无名),lib/infrastructure/cli/session_commands.h:157,9.68,—,—,—,文案,不适用（结构性常数）,—（文案里的 §9.68 条款号）,不适用（结构性常数）,注释/文案,机械层『现行值 9.68』作废：input_lights 字段说明里引 ASTROCS_DESIGN §9.68，不是数值。
(无名),lib/infrastructure/cli/session_commands.h:181,1.0,1（收缩因子）,drop 边长/源像素边长,未规定,0<pixfrac<=1,A 负责人裁决 + ① 契约侧登记（但本侧取值相反）,唯一数值源 eng/packaging/config/defaults.json:666-667 drizzle.pixfrac=0.8（authority_status=owner_adjudicated）；docs/plugins/algorithms_phase1/08_drizzle.md:49 亦 0.8 并指回该唯一源,① 登记出处（本侧须改 0.8）,生产可达：CLI `--template` 输出面（用户直接抄用）,六侧默认不一致（L1，本队列首要立案）：模板 1.0 / defaults.json 0.8 / 出厂模板 0.8 / 生产代码兜底 1.0 / 编排器兜底 0.8 / 登记册 1.0，逐侧见 md。defaults.json 自述 1.0 ⇒ 『相邻 drop 仅边界相接…出现无覆盖缝隙』⇒ 科学后果已由其自己的 note 写明。
(无名),lib/infrastructure/cli/session_commands.h:187,9.68,—,—,—,文案,不适用（结构性常数）,—（filter_passband 文案里的 §9.68）,不适用（结构性常数）,注释/文案,机械值 9.68 作废，同 :157。
(无名),lib/infrastructure/cli/session_commands.h:202,4.2,—,—,—,文案,不适用（结构性常数）,—（star_detection 文案里的 §4.2）,不适用（结构性常数）,注释/文案,"机械值 4.2 作废。同段文案里的 max_stars 合同域 [20000,50000] 与编译期默认 20000 是该键的多侧点，属 A1/A2 星检队列范围，此处只交叉登记不判。"
(无名),lib/infrastructure/cli/session_commands.h:254,0.0,deg,ICRS,未规定,|dec|<=85（TAN 极区排除）,C 二手（示例占位）,phase_config_export.schema.json#/$defs/center 无 default 关键字,④ 待确认（示例值与合法值不可分）,export `--template` 的 center 块,ra_deg/dec_deg=0.0 是一个**真实天球坐标**（赤经 0h/赤纬 0°），模板不标注即可能被当默认提交；建议占位串或注释同 :256 的 path/to/ 风格。
(无名),lib/infrastructure/cli/session_commands.h:256,.20000,px,—,整数,"[1,20000]",不适用（结构性常数）,—（值域文案 1..20000 被误切为 .20000）,不适用（结构性常数）,export 模板,"实际模板值 1024；与 phase_config_export.schema.json:231-235 width_px∈[1,20000] 相容 ⇒ 无冲突。机械值作废。"
(无名),lib/infrastructure/cli/session_commands.h:257,.20000,px,—,整数,"[1,20000]",不适用（结构性常数）,—（同上，height_px）,不适用（结构性常数）,export 模板,"实际值 1024，schema :237-241 [1,20000] 相容。机械值作废。"
(无名),lib/infrastructure/cli/session_commands.h:258,0.001,deg/px,输出像元角尺度,未规定,>0,C 二手（示例占位，无默认主张）,schema 只给 exclusiveMinimum 0（#/$defs/scale_deg_per_px:324-327），无 default；出厂模板 export.phase_config.json:11 同值 0.001 ⇒ 两侧一致，不构成多侧分歧,④ 待确认,export 模板,0.001 deg/px=3.6″/px 为任取示例：既非科学默认也无推导式；真实值应由输出像素尺度需求给出（属②类，但无登记）。
(无名),lib/infrastructure/cli/session_commands.h:269,0.0,deg,绕 CRVAL 的取向角,未规定,任意实数,C 二手（文档条款，未进机器可读侧）,docs/plugins/algorithms_phase3/14_projection.md:38（经 schema 描述转引：phase_config_export.schema.json:243-246『默认 0』）,① 登记出处,export 模板；键生产消费点未落地（eng/ci/ledgers/dead_config_keys.json 已登记）,两侧同值（模板 0.0 / 文档默认 0）✓；缺口 = schema 未写 JSON default 关键字 ⇒ 机器不可读；0 度是合法值，示例与默认不可分（同 :254 类，但本键文档已明写默认 0，故不立案）。
(无名),lib/infrastructure/cli/session_commands.h:272,512.5,px（1-based）,输出像素帧,0.5 px 语义（像中心）,"[1,W]",② 可由输入几何导出（且已按式算）,导出式 crpix=(1+W)/2（FITS 1-based）配本模板 W=H=1024 ⇒ 512.5；缺省语义 = 中心，出处 14_projection.md:35 + schema:247-258,② 可由输入几何导出,export 模板；键生产零读取（死键台账已登记）,值随模板宽高派生（不是独立默认）⇒ 若模板宽高改动须同步；机械层把它当常数读，实质是示例占位（注释 :265-266 已自证）。
(无名),lib/infrastructure/cli/session_commands.h:302,3.3,—,—,—,文案,不适用（结构性常数）,—（bitpix 文案里的 §3.3:256）,不适用（结构性常数）,注释/文案,机械值 3.3 作废。本行相邻的 bitpix 默认 -32 属另一键（模板刻意不列值，注释已说明）。
(无名),lib/infrastructure/cli/session_commands.h:380,9.68,—,—,—,文案,不适用（结构性常数）,—（--help 文案里的 §9.68）,不适用（结构性常数）,文案,机械值 9.68 作废。
(无名),lib/infrastructure/cli/subcommand.h:149,3.5,—,—,—,文案,不适用（结构性常数）,—（error 文案里的『§3.5』条款号）,不适用（结构性常数）,预检文案,机械值 3.5 作废。这里的 §3.5 指 ASTROCS_DESIGN.md §3.5（现行权威，非已废止宪章）✓。
(无名),lib/infrastructure/cli/subcommand.h:175,3.5,—,—,—,文案,不适用（结构性常数）,—（error 文案里的『§3.5』条款号）,不适用（结构性常数）,预检文案,机械值 3.5 作废。这里的 §3.5 指 ASTROCS_DESIGN.md §3.5（现行权威，非已废止宪章）✓。
(无名),lib/infrastructure/cli/subcommand.h:177,3.5,—,—,—,文案,不适用（结构性常数）,—（error 文案里的『§3.5』条款号）,不适用（结构性常数）,预检文案,机械值 3.5 作废。这里的 §3.5 指 ASTROCS_DESIGN.md §3.5（现行权威，非已废止宪章）✓。
(无名),lib/infrastructure/cli/v6_runtime_contract.h:115,3.1,—,—,—,文案,不适用（结构性常数）,—（拒绝消息串里的『ASTROCS_DESIGN.md 3.1』条款号）,不适用（结构性常数）,拒绝文案,机械值 3.1 作废：非数值常数。该消息把条款号写成裸文本『3.1』而非『§3.1』，与仓内其余引用格式不一（低危，登记）。
(无名),lib/infrastructure/cli/v6_runtime_contract.h:122,-004.1,—,—,—,文案,不适用（结构性常数）,—（拒绝消息里的控制项编号 C-004.1）,不适用（结构性常数）,拒绝文案,机械层把编号切成 -004.1 ⇒ 作废：psf_snr_power 的 DEFERRED 编号，不是数值。
err,lib/infrastructure/cli/v6_runtime_contract.h:250,10.4,—,—,—,文案,不适用（结构性常数）,—（错误消息里的『§10.4』条款号）,不适用（结构性常数）,拒绝文案,机械值 10.4 作废。实质：§10.4 属已废止『冻结宪章』（DOCUMENT_INDEX.yaml:1065），本头 :4/:17/:22/:291 亦多处引宪章 §10.4/§10.5/§17.6/§18.2 ⇒ 引用悬空（L5）。
process_cpu_seconds,lib/infrastructure/cli/v6_runtime_contract.h:298,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,§10.5 必采字段面的完备性占位初值：本头明记『数值阈值不在此发明』（:22），完备性判定见 :336-352。
avg_equivalent_cores,lib/infrastructure/cli/v6_runtime_contract.h:299,0.0,等效核,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,§10.5 必采字段面的完备性占位初值：本头明记『数值阈值不在此发明』（:22），完备性判定见 :336-352。
cpu_p50_percent,lib/infrastructure/cli/v6_runtime_contract.h:300,-1.0,已分配容量百分比,—,不适用,>=0 为已采样,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,与 resource_gate.h:190 同名字段同哨兵 ✓（两载体此处一致）。
cpu_mean_percent,lib/infrastructure/cli/v6_runtime_contract.h:301,-1.0,已分配容量百分比,—,不适用,>=0 为已采样,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,同 :300。
per_thread_cpu_max_seconds,lib/infrastructure/cli/v6_runtime_contract.h:305,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,§10.5 必采字段面的完备性占位初值：本头明记『数值阈值不在此发明』（:22），完备性判定见 :336-352。
per_thread_cpu_sum_seconds,lib/infrastructure/cli/v6_runtime_contract.h:306,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,§10.5 必采字段面的完备性占位初值：本头明记『数值阈值不在此发明』（:22），完备性判定见 :336-352。
rss_growth_mb_per_s,lib/infrastructure/cli/v6_runtime_contract.h:310,0.0,名写 MB/s，实取未定,RSS 稳健斜率,未规定,n>=0,无出处（键名口径与契约冲突）,eng/contracts/resource_gate_v1.json memory.unit 明记『MiB/s（1048576 B/s）；禁止再使用 MB/s（1e6 B/s，口径差 4.858%）』,④ 待确认,heavy run 字段面（CLI 事件/Oracle/CI 共读）,字段名 rss_growth_mb_per_s 与 required_metric_keys() 同名对外发布 ⇒ 名称主张 MB/s，而唯一数值源禁 MB/s（L13）；本头不做换算，真实单位取决于填充方。
io_wait_percent,lib/infrastructure/cli/v6_runtime_contract.h:314,0.0,%,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,§10.5 必采字段面的完备性占位初值：本头明记『数值阈值不在此发明』（:22），完备性判定见 :336-352。
worker_balance,lib/infrastructure/cli/v6_runtime_contract.h:318,.1;0.0,分数 0..1,active/(active+runnable),未规定,0..1,不适用（结构性常数）,—（注释里的值域 0..1 被误切为 .1）,① 登记出处（口径须改名）,heavy run 字段,机械值 .1 作废。实质同 L12：worker_balance 定义 active/(active+runnable)，与 §8.2『利用率=占已分配容量百分比』同名族不同义。
wall_seconds,lib/infrastructure/cli/v6_runtime_contract.h:320,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,§10.5 必采字段面的完备性占位初值：本头明记『数值阈值不在此发明』（:22），完备性判定见 :336-352。
active_window_seconds,lib/infrastructure/cli/v6_runtime_contract.h:321,0.0,s,active 窗,未规定,>=0,不适用（结构性常数）,—（初值本身结构性）,④ 待确认,active 计算窗,默认 0.0 而 GateConfig 同名字段默认 -1.0（未提供）⇒ 两编码；且 :347 用 >=0.0 判完备，故『零长窗』被记为字段完备（L14）。
(无名),lib/infrastructure/cli/v6_runtime_contract.h:344,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（完备性谓词：>0 即要求正证据，方向 fail-closed）,不适用（结构性常数）,heavy_metrics_complete,0 作『缺字段』用：每线程 CPU 和为 0 视为未采 ⇒ 与 :347 的 >=0 不一致。
(无名),lib/infrastructure/cli/v6_runtime_contract.h:345,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（同上，单线程峰值）,不适用（结构性常数）,heavy_metrics_complete,同 :344：谓词本身非阈值；不一致点记在 :347。
(无名),lib/infrastructure/cli/v6_runtime_contract.h:346,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（同上，wall 必须为正）,不适用（结构性常数）,heavy_metrics_complete,同 :344。
(无名),lib/infrastructure/cli/v6_runtime_contract.h:347,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（谓词，但取值方向与他三行相反）,④ 待确认,heavy_metrics_complete,>=0.0 使『active 窗未测=0 s』通过完备性检查；而 GateConfig 以 -1 表未提供、并据 <0 走『视为代表性』放行判定 ⇒ 同一字段两侧语义分叉（L14）。
