"符号/键","位置(路径:行)","现行值","单位","坐标系/归一化","精度要求","有效有限域","来源现状","出处","处置","适用域","备注"
"rejection.large_scale.enabled","eng/packaging/config/defaults.json:527","false","bool","空间邻域生长仅 large_scale 结构半径（pixel 域），默认关闭","不适用（开关）","注册 {0,1}；无 schema 承载","文献值（本仓冻结表）","docs/science/REJECTION.md:121（large_scale 默认关闭: enabled=0, min_structure=8, low/high grow radius=2）；注册件 source :61（空行）与 source_ref :24（P2RejectionLargeScaleConfig 符号表行）均不含『默认关闭』","文献值（本仓冻结档）","Phase2 空间邻域排异","**登记面缺口（三参数登记一个）**：同结构 min_structure_pixels=8、low_grow_radius_pixels=2、high_grow_radius_pixels=2 在代码 rejection.cpp:1261-1263，SCI :121 同表列出，而 defaults.json 完全不收 ⇒ 生长半径这两个直接决定误扩面积的量无任何注册侧；值类型不一致：defaults.json 用 JSON 布尔 false，代码 :1260 用整数 0（与 noise.spatial_field_enabled 同型缺陷）；REJECTION.md:231 另记『使 compact cosmic 被 large_scale 生长误扩』为开该路径的风险 ⇒ 开关默认关闭有依据"
"photometry.mag_tolerance","eng/packaging/config/defaults.json:541","3.0","mag","预过滤 |delta_i - median(delta)| > 3.0 mag 的星被拒","未标注（未给与 sigma_residual 的比尺关系）","注册 >0；无 schema 承载","文献值（本仓 SCI 冻结）","docs/science/PHOTOMETRY.md:34（符号表 mag_tolerance 星等一致性阈 3.0 mag，实现锚 pc_api.cpp:145,435）与 :202（预拒绝判据）；**注册件所引 :30 是 `S` 的 MAD 尺度行，不含 3.0**","文献值（本仓冻结档）；判据强度须实验标定（见备注）","测光星等一致性预过滤","三侧同值：defaults.json:541=3.0｜star_matcher.h:72 mag_tolerance=3.0｜pc_api.cpp:145 与 :435 两处调用点字面量 3.0（⇒ 改默认需同步四处，无单一来源）；README lib/algorithms/photometry/README.md:101 另登记同族 match_radius=2.0px 并自记『旧 README 3px 失实』⇒ 该键族曾有第三值且靠文档订正而非门；有效性存疑：3.0 mag = 亮度比 15.85 倍，而本仓典型 sigma_residual 量级 0.045 mag（PHOTOMETRY.md:126 实测 0.04505）⇒ 相差约 66 倍，该门实际几乎不滤任何星（fail-open 形态：名义预过滤、实质恒真），判据强度须由实验侧确认（交 AUD-201）；单位 mag 有、精度要求无"
"photometry.tukey_c","eng/packaging/config/defaults.json:555","4.685","1（无量纲）","Tukey biweight 形状参数 c（w=(1-u^2)^2, u=(r-loc)/(c·S)）","未标注（仅在正态假设下对应 95% 效率）","注册 >0；无 schema 承载","可公式导出（给定效率目标可数值求根）；一手文献未登记","本仓 docs/science/PHOTOMETRY.md:31（符号表 c 4.685）与 :207（u_i 式, c=4.685）；**注册件 source 引 :21（表头行）、source_ref 引 :24，两条都不含 4.685 且互相矛盾**；一手 = Beaton & Tukey 1978 / Tukey 1975（本仓未登记 DOI/公式号）","公式导出（登记求根式与效率目标即成 A 级；现仅有实现注释『标准稳健统计』= C 级）","测光 IRLS 稳健位置","两份实现同值重复：spatial_gain.cpp:40 kTukeyC=4.685 与 star_matcher.cpp:23 _TUKEY_C=4.685（注释 :39 自称『与 star_matcher 的冻结常量同值』⇒ 靠注释对齐、无机器单源）；适用域未验证：4.685 的 95% 效率结论只在正态假设下成立，而本项目 r=log10(F_instr/F_syn) 的近正态性无证据 ⇒ 属『引用超出原始适用域』（标准 02 §1 第 3 条）；单位有、精度要求无"
"photometry.irls_max_iterations","eng/packaging/config/defaults.json:569","50","iterations","S>0 时 IRLS 迭代上限","未标注（无收敛余量/最坏迭代论证）","注册 >=1；无 schema 承载","文献值（本仓 SCI 冻结）","docs/science/PHOTOMETRY.md:192（S>0 时 max_iter=50, tol=1e-6；实现锚 star_matcher.cpp:25）与 :53 附近迭代框；锚点正确（本队列少数 source 与 source_ref 一致且命中值的行）","文献值（本仓冻结档）；50 属迭代初值类，可判结构性常数但**它决定未收敛时的截断偏差**⇒ 仍需余量论证","测光 IRLS","键 leaf（irls_max_iterations）在 lib 生产面零命中：值以两个符号承载 spatial_gain.cpp:42 kIrlsMaxIter=50 与 star_matcher.cpp:25 _IRLS_MAX_ITER=50 ⇒ 注册名与符号名不对齐、改默认需人工同步；同名 max_iterations 另承载 rejection=8/upm=100/IRLS=100（stage2_common.h:65 max_irls_iterations）/ipv=10/sky_plane=30 五套（见 rejection.sigma.max_iterations 行）⇒ 『迭代上限』这一族无统一命名规范；单位有、精度要求无"
"photometry.irls_tolerance_dex","eng/packaging/config/defaults.json:583","1e-06","dex","IRLS **location** 收敛门 |loc_new-loc_old|<1e-6","未标注相对量纲（未定义相对 S 还是相对机器精度）","注册 >0；无 schema 承载","待确认（未给浮点精度或收敛速率推导）","docs/science/PHOTOMETRY.md:192（tol=1e-6）；锚点正确","待确认（档④）","测光 IRLS 收敛","**部分证伪机械层结论**：队列记作『同一 IRLS 收敛门两处取值差 3 个数量级』，读码后不成立——spatial_gain.cpp:43 注释明确 1e-9 判的是**系数增量**收敛（原文：系数是 dex/单位坐标的量），star_matcher.cpp:27 的 1e-6 判的是标量 location ⇒ 两个不同判据而非同门两值。真问题改档为：(a) 1e-9 这条生产在用的空间增益收敛门在 defaults.json / schema / 模板 / config_registry 四面**全无登记**（隐藏默认）；(b) star_matcher.cpp:26 注释写 |scale_new-scale_old|<1e-6，而 PHOTOMETRY.md:192/:206 写 |loc_new-loc_old|<1e-6 ⇒ 同一个 1e-6 被代码与文档记成两个不同的量（语义侧不一致）；1e-6 dex 等价 2.3e-6 相对通量，远小于本仓实测 sigma_residual≈0.045 mag（PHOTOMETRY.md:126）⇒ 门取在机器精度档而非科学精度档，无余量论证；保守方向＝两条门分别登记并各给相对定义"
"photometry.min_reference_stars","eng/packaging/config/defaults.json:597","3","count","|r_consistent|>=3 才进 IRLS，否则 NO_DATA","未标注可辨识性推导","注册 >=1（3 参数模型下限恰为 3 但未写推导）；无 schema 承载","可公式导出（>= 模型自由参数数）；代码另有文档内理由（C 级）","docs/science/PHOTOMETRY.md:191（|r_consistent|>=3 才进 IRLS，实现锚 star_matcher.cpp:518-536）；**注册件 source 与 source_ref 都引 :44，而 :44 是 F_syn 积分式行**⇒ 锚完全错位","公式导出（>=3 = Tukey IRLS 的 location/scale/权重三参数下限）","测光定标退化保护","值写在两处（判据 + 文案）：star_matcher.cpp:518 `if (r_consistent.size() < 3)` 与 :519 日志串『< 3』⇒ 改一处即不一致；同语义另一套值未注册：min_stars_order1=50（spatial_gain.h:85、frame_photometry_fit.h:76、frame_photometry_fit.cpp:377 透传），也是『最少星数』判据但完全不在 defaults.json ⇒ 同族两键（3 与 50）一侧登记一侧隐藏；单位 count 有；star_matcher.cpp:516-517 给的理由是引宪章 §5.3/§11/§14.4『禁止以 1~2 颗星定标整帧』⇒ 属文档内互引（标准 02 §1：只到 C 级），未落到可辨识性论证"
"photometry.min_inlier_stars","eng/packaging/config/defaults.json:611","2","count","|r_inliers|>=2 才估计 sigma_residual，否则 sigma_residual=0","未标注","注册 >=1；无 schema 承载","文献值（本仓 SCI 同段）","docs/science/PHOTOMETRY.md:191（|r_inliers|>=2 才估计 sigma_residual，实现锚 star_matcher.cpp:615-626，判据 :616）；注册件 :44 锚错位（同上一行）","公式导出（下限应随稳健尺度估计的自由度提高；n=2 时 MAD 无统计意义）","测光 sigma_residual 估计","代码承载在 star_matcher.cpp:616 的判据，未在 defaults.json 之外另设 schema/CLI 侧；2 的取值使 n=2 时 sigma_residual = |r1-r2|/2/0.6745 ⇒ 只反映两星之差、无冗余可检，与 PHOTOMETRY.md:126 用 2.5·sigma_residual 作下游判据的做法叠加会把两星样本的偶然散布当精度 ⇒ 建议把下限与下游用途绑定导出（如 >= 参数数 + 1）；单位有、精度要求无"
"psf.default_model","eng/packaging/config/defaults.json:62","moffat4","枚举 id","点源响应模型标识（椭圆 Moffat4 七参数）","不适用（枚举）","schema :474-479 enum=[moffat4] 单值且**不声明 default**；defaults.json 侧值域『唯一实现值』","文献值（本仓 SCI；模型本身有外部一手 Moffat 1969）","docs/science/PSF.md:9（点源响应=椭圆 Moffat4，锚正确）；一手 = Moffat 1969 A&A 3,455（PSF.md:177 登记 bibcode，自注『文章级，未逐式核验』）","文献值（枚举唯一性由 schema 保证，无需 default）","PSF 拟合路径","六侧核对：defaults.json:62=moffat4｜schema :475 enum=[moffat4]（无 default）｜config_registry.json:380 declared_default=moffat4（第三侧同值）｜模板/CLI 骨架无该键｜lib 生产面对 leaf default_model 与字符串 moffat4 的**配置读取零命中**（模型不作为字符串比较，唯一实现即代码路径）⇒ 该默认值不进入运行路径（无消费点），登记属声明性；语义有、单位不适用正确"
"precision.default","eng/packaging/config/defaults.json:625","fp64","枚举 id {fp32,fp64}","计算精度模式标识","按形态分裂（SCI 真实口径见备注），非单一默认","注册枚举 {fp32,fp64}；normalize schema 侧是**另一个键** drizzle.precision_mode enum=[0,1] 无 default 且必须显式；mosaic/export schema 侧 precision enum=[fp32,fp64] 无 default 但 required；export 模板**不含 precision**（而 export_config required 含它）","待确认（注册值与权威口径实质不符）","真锚 docs/science/SCIENCE_SCOPE.md:91-93（稠密发布面 FP32、稀疏/元数据全程 FP64、计算与承载分离）；注册件所引 :56 讲的是『污染幅度未被定量确认』，与本键无关 ⇒ 注册值『默认 FP64』是对权威的过度简化","待确认（应改为按数据形态登记两条精度口径，而非一个全局默认）","全链路精度口径","**多侧不一致（本队列最重一条之一）**：注册 fp64｜CLI/模板 normalize 侧 precision_mode=1（=FP64，但必须显式，无默认）｜Phase3 生产实现缺省 bitpix=**-32（FP32）**：module_adapters.cpp:13519、:13726、p3_session.cpp:126、:391 四处写 -32｜lib 对 precision.default 的 leaf 零命中 ⇒ 注册默认不进任何运行路径（module_adapters.cpp:7507-7520 缺 precision_mode 即 REJECT，B2-A12）；ASTROCS_DESIGN.md §3.3 的 JSON 示例写 fp32（与注册默认相反，defaults.json:635 只记为『示例取值』）；eng/ci/ledgers/dead_config_keys.json#dead_config_key:precision 已登记 mosaic/export 的 precision 为合同声明但生产零读取，并自认『阶段二当前没有任何被消费的精度键』⇒ 一个声明的默认（fp64）+ 一个相反的实现缺省（-32）+ 一个必须显式的键（precision_mode）+ 一个死键（precision），四面互不相同；SCIENCE_SCOPE.md:94 还记 1e-12 地板在 FP32 下精确下溢为 0 ⇒ 精度口径与噪声地板常数互相牵连（见 noise.variance_floor 行）"
"upm.k_corr","eng/packaging/config/defaults.json:639","1.4","1（无量纲）","控制点方差放大因子：control_variance = k_corr·(pi/2)·sigma_bg^2/N_retained","未标注（保守取整的余量方向未量化）","注册 constraint 写 **1 <= k_corr**；权威 docs/science/PHASE2_UPM.md:24 写 **1 < k_corr**（k_corr=1 表示忽略相关，显式拒）⇒ 注册值域比权威宽（多放一个被禁的 1.0）；schema 无承载","需实验标定（支撑实验不可复跑）","docs/science/PHASE2_UPM.md:24（锚正确，含定义域与实现锚 sampler.cpp:83）/:116 保守取整/:131 与 :169 MC k_corr≈1.3883；但 defaults.json:649 自证 control_median_mc_test **未注册/MISSING、不可复跑** ⇒ 1.3883 这个标定读数无法独立复算（标准 02 §1 B 级要求固定 seed＋复现命令＋结果落档）","实验标定（证据链断裂，须重跑并落 实验/ 或 artifacts/）","Phase2 UPM 控制点方差","多侧并列：defaults.json:639=1.4｜代码 kControlCorrDefault=1.4（sampler.cpp:83）用于 :151/:317，:517-518 对 <=0 静默回退 1.4｜sky_plane.cpp:233=1.4 与 :254 兜底 1.4（同值四处字面量）｜sky_plane.h:98 注释默认 1.4｜**另一侧 upm.h:312 k_corr 默认 0（未声明）**＋upm.cpp:2929/:2935 落盘 0 时写 null ⇒ 同名在两处含义不同（放大因子 vs provenance 是否声明）｜v6_drizzle_science.h:377 k_corr=0.0（第三族）｜配置读取面 control_k_corr 由 module_adapters.cpp:9335-9338 强制 >0（无默认、缺键即拒）⇒ 1.4 只在未被显式给值时经代码兜底生效；1.4 与实测 1.3883 差 +0.84% 属『保守取整』，但取整方向（偏大→方差偏大→权重偏小）未被登记为一句量纲后果；键名不对齐（注册 k_corr / 配置 control_k_corr / provenance k_corr）"
"hips.tile_width","eng/packaging/config/defaults.json:653","512","px","HiPS tile 边长 W；leaf_order = tile_order + log2(W)","整数且必须 2 的幂","注册：2 的幂、默认 512；实现侧**只接受 512**（hips_properties.h:14 恒 512、:25 kHipsTileWidth=512、:120-121 非 512 直接 fail）；产品 schema hips_storage_form.schema.json:103 把 hips_tile_width 列为必需键","有文献（本仓 SCI）但档位错：它不是默认值而是格式约束","docs/science/PHASE3_HIPS_TO_FITS.md:17（符号表 hips_tile_width tile 宽 W 默认 512=2^9）与 :130（properties 必需键）；**注册件所引 :41 是 §4 输入有效域的小节标题，不含 512**","公式导出（leaf_order = tile_order + log2(W) 应按式算）；值本身改判『格式常量，非可默认项』","HiPS 读写与规划","多侧硬编码同值 512：defaults.json:653｜hips_properties.h:25｜plan_estimator.h:42 kHipsTileWidthPx=512 与 :19-20 注释（另 :97 tile_width_px=0 表示默认 512 ⇒ 第三种表示法）｜v6_hips_manifest.h:35 tile_width=512｜aio_hips_reader/writer 多处；语义错档立案：登记成『默认』会让人以为可改，而改 256/1024 会被 hips_properties.h:120 直接拒绝 ⇒ 应显式标为格式常量并删去 default 语义；leaf_order 的 +9 亦为 log2(512) 的硬编码（PHASE3_HIPS_TO_FITS.md:18）；单位 px 有、精度要求不适用陈述正确"
"drizzle.pixfrac","eng/packaging/config/defaults.json:667","0.8","1（无量纲）","drop 投影足迹收缩边长比（drop 边长 = pixfrac × 像素边长）","未标注（通量守恒与 pixfrac 无关，由核面积归一保证）","注册与权威均为 0<pixfrac<=1，非法值显式 NO_DATA 不夹逼；**drizzle 模块的键合同写 [0,1]**（types.h:56 f64 [0,1]、module_entry.cpp:356 校验 pixfrac<0.0 才拒 ⇒ 放行 pixfrac=0）","文献值（负责人裁决 + Fruchter & Hook 2002 核归一）","docs/science/DRIZZLE.md:26（pixfrac (0,1]，默认 0.8）/:35（值域与 NO_DATA）/:56（核按 drop 面积归一 ⇒ 与 pixfrac 无关）；一手 Fruchter & Hook 2002 PASP 114,157（§7.2；**本仓未登记 DOI，且 :677 note 引的 0.6 下 0.004 mag 实测属该文献适用域而非本仓**）","文献值（值本身已裁；但须订正两侧：schema 描述过时、模块值域含 0）","Phase1 drizzle 累加","**六侧不一致（P0 母题，本队列唯一集齐全侧的键）**：① defaults.json:667=0.8；② 出厂模板 eng/packaging/config/templates/normalize.phase_config.json:11 与 :22=0.8；③ CLI 生成骨架 lib/infrastructure/cli/session_commands.h:181=**1.0**（而同文件 :109 自订纪律『科学默认值不写进模板，唯一家在 defaults.json』⇒ 骨架违反自身纪律）；④ 代码兜底 lib/algorithms/drizzle/src/module_entry.cpp:355 缺键取 **1.0**；⑤ 结构体默认 1.0 共七处（drizzle_engine.h:27、reverse_drizzle.h:39、v6_spherical_overlap.h:35、phase1_product.h:130、hiss_format.h:53/:297、v6_provenance.h:48）＋产品读取侧 phase1_product.cpp:1191 value(pixfrac, **1.0**)；⑥ 管线/coverage 侧 0.8 共四处（json_config.h:67、sampler.cpp:81、phase2/sampler.h:53、phase2_integrate.cpp:459）；schema 侧不声明 default 且 :472 描述仍写『defaults.json 的 drizzle.pixfrac 为 pending_authority』（**与实际的 owner_adjudicated=0.8 矛盾，已过时**）；登记表侧 config_registry.json 的 pixfrac 行 declared_default=**1.0**、registration=defaults_json、finding=none ⇒ 登记表自称指向 defaults.json（0.8）却记 1.0，且未报冲突；plugin 文档 docs/plugins/algorithms_phase1/08_drizzle.md:50 已是 0.8 ⇒ registry 的 line:49/1.0 双项漂移；后果：同一命令按是否显式给键得到 0.8 或 1.0 两种产物，且 pixfrac=0 在模块侧合法（SCI 明令 NO_DATA）"
"sparse_snr.density","eng/packaging/config/defaults.json:681","null","点/度²","启用稀疏层时的控制点密度（按面积密度的表述）","不适用（无值）","未定；无 schema/模板/CLI 承载（值=null）","无来源（GAP-024 显式挂起，禁止编造）","docs/plugins/algorithms_phase1/07_noise_snr.md:112-113 默认列为 ——（合规的无值登记）；ASTROCS_DESIGN.md §3.3 点名该字段应存在；pending_task=SCI-RES-01/R-001","待确认（档④，现状合规）","Phase1 稀疏 SNR 层","按裁决以 pending_authority 占位是本队列的**正例**（满足标准 02 §4.4：显式标待确认、不以默认值静默留存）；风险仍在：**与 sparse_snr.spacing_px 是同一物理量的两种单位表述**（点/度² vs px），defaults.json:688 虽自注『不是同一字段』，但两键并存且其中一个有值 ⇒ 若两侧同时被消费必然互斥（px 表述依赖像素尺度，度² 表述依赖板尺度）；保守方向=只保留 spacing_px 一侧并把 density 标为『派生量、非配置项』；语义说明有、单位有"
"sparse_snr.spacing_px","eng/packaging/config/defaults.json:692","64","px","稀疏层控制点间隔 Delta","整数 >=1；余量依据 Delta/ell ≈ 1.1-1.6（ell=40.4-57.9 px 实测相关长度）","注册 >=1；schema :462-466 integer minimum=1 default=64（第四侧同值，但 leaf 名不同）","需实验标定（ell 由实验给出）+ 负责人裁决","负责人 2026-09-19 裁决（GAP_AUDIT §9.45『64 可以了』）；ell 区间见 实验/absolute-snr（跟踪件）；**注册件 source_ref=null，schema 侧 :466 描述仍写 ell=48 px ⇒ Delta/ell=1.33 的近临界采样表述，而 defaults.json:694 已记该单点值经 §9.48 作废**","实验标定","Phase1 稀疏 SNR 层","三处口径：defaults.json:692=64（订正后 ell 区间）｜schema :465 default=64（描述带**已作废的 ell=48**）｜config_registry.json:1653 declared_default=64（第三侧同值，registered 为 plugin_doc 非 defaults_json）｜模板侧**无**该键；立案两点：(a) **键名不一致**——schema/CLI/registry 用 sparse_snr_spacing_px，defaults.json 用 sparse_snr.spacing_px ⇒ 自动核对工具按 leaf 名匹配会漏；(b) **派生式未实现**——64 = hips.tile_width/8，而 512 与 8 在 defaults.json 与 schema 描述里各自独立成文，tile 宽变更不会联动；另 leaf 名在生产 lib 零命中（eng/ci/ledgers/dead_config_keys.json#blocks[].sparse_snr_spacing_px 已登记为死键，Phase1 稀疏层生产者未实现）⇒ 该默认当前只承载意图，不承载行为；**并证伪队列输入**：队列据 schema 称『两处同值 64 三处登记』，实际 schema 描述还自称『三处同值含 normalize.phase_config.json』，而模板自 §9.68 起不含本键（defaults.json:699 与死键台账一致）⇒ schema 的登记数陈述为假"
"snr.path","eng/packaging/config/defaults.json:703","sparse_reconstruct","枚举 token","Phase2 消费 Phase1 SNR 层的路径","不适用（枚举）","枚举三值 {dense, sparse_reconstruct, frame_reconstruct}；schema :166-172 **给 default=sparse_reconstruct**（值域与默认都有承载）","文献值（负责人裁决 + 插件文档）","docs/plugins/algorithms_phase1/07_noise_snr.md:186 附近与 GAP_AUDIT §9.46（负责人：马赛克各帧天光/光污染空间分布不同 ⇒ 帧级标量精度不足）；值域与默认唯一事实源 = phase_config_mosaic.schema.json#/$defs/mosaic_config/properties/snr_path","文献值（裁决记录可查）但**适用域须标未接线**","Phase2 SNR 重建","四侧同值：defaults.json:703｜schema mosaic :170 default｜出厂模板 mosaic.phase_config.json:8｜CLI 骨架 session_commands.h:230；**证伪机械层结论**：队列称『mosaic schema 的 snr_path 只给 enum 不给 default』不成立——:170 明确 default=sparse_reconstruct，因此该键实际是**四侧齐备且全等**的少数键；真问题在别处：eng/ci/ledgers/dead_config_keys.json#dead_config_key:snr_path 登记 CLI 可达性已闭合但**生产科学消费点为零** ⇒ 默认值指向一条未接线的路径（配置写了不生效且当前无 snr_path_effective 落盘面）；defaults.json 的 enum_token/enum_target 是该默认→值域映射的唯一机器可读登记（门 CFG002-03 断言 token ∈ enum），这条做法可作其它枚举键的模板；语义有、单位不适用正确"
"scalar_gate.rd","eng/packaging/config/defaults.json:722","null","unspecified","标量降级鲁棒离散门","不适用（无值无单位）","未定；无 schema/模板/CLI 承载","无来源（GAP-024）","docs/plugins/algorithms_phase1/07_noise_snr.md:61 默认列与单位列均为 ——；pending_task=SCI-RES-01/R-002","待确认（档④，现状基本合规但须补行为定义）","Phase1 标量 SNR 门","单位字段写 unspecified 而非留空＝如实（标准 02 §3 要求单位，此处如实承认无单位）；**行为侧缺口**：07_noise_snr.md:76 规定标量门失败须自动升级空间模型 ⇒ 在阈值未定时『判据不成立』永远走兜底路径，实际语义是『门不启用』，而注册面未写这一句 ⇒ 建议把值语义改为『disabled』并显式登记，而非 null（null 会被读成『待填』而仍被下游当阈值用）；同簇：scalar_gate.trend 共用一条出处（两行）"
"scalar_gate.trend","eng/packaging/config/defaults.json:733","null","unspecified","标量降级系统趋势门","不适用（无值无单位）","未定；无 schema/模板/CLI 承载","无来源（GAP-024）","docs/plugins/algorithms_phase1/07_noise_snr.md:62（scalar_gate_trend 行，默认与单位列均为 ——）；pending_task=SCI-RES-01/R-002","待确认（档④，现状基本合规）","Phase1 标量 SNR 门","同簇（与 scalar_gate.rd 共用 R-002 一条出处，共 2 行）：两键合起来使『标量降级路径』目前无任何量化判据；字段名取自插件文档 :62 而非任一生产符号（lib 内 scalar_gate 零命中）⇒ 键名与实现面无对应物，未来实现者可能另起名（本队列已见 4 例键名/符号名不对齐）；建议与 rd 一并改判『disabled 显式登记』"
"paths.gaia_root","eng/packaging/config/defaults.json:744","gaia","path","Gaia 外部只读星表根目录（相对仓库根解析；可用 eng/packaging/config/local.paths.json 覆盖，该文件 .gitignore:172 不入库）","不适用（路径）","注册：存在且可读；无 schema/模板/CLI 以该名承载","文献值（负责人直接指令 2026-09-21）","defaults.json:748 记负责人指令原文（无文档条款号，source_ref=null）；ASTROCS_DESIGN.md 与 AGENTS.md §7 记 gaia/ 为根级只读数据集目录（跟踪数 0，gitignore）⇒ 路径本身有授权，值的语义（相对谁解析）靠 constraint 自述","文献值（指令可查，非科学常数）","Gaia 客户端与星表引导检测","**键名不一致立案（本队列第 5 例）**：生产实际消费的键是 wcs.gaia_data_dir / star_detection.gaia_data_dir（session_commands.h:188 模板与 module_adapters.cpp p1_guided_cfg；phase_config_normalize.schema.json :383-385 明确读取顺序 = star_detection.gaia_data_dir 优先、回退 wcs.gaia_data_dir），leaf 名 gaia_root 在 lib 生产面**零命中** ⇒ paths.gaia_root 无消费点，登记的路径默认值 gaia 不生效；出厂模板侧 wcs.gaia_data_dir=『path/to/gaia』占位串（templates/normalize.phase_config.json:13/:24）⇒ 与注册值 gaia 字面不等（模板是示例占位、非默认，但两者同为『模板侧』易混）；登记表侧 config_registry.json:446/:1527 的 declared_default=gaia 其 field 名是 **catalog**（星表标识），与目录路径同串不同义 ⇒ 三处 gaia 两种语义；语义有、单位 path 有"
"cosmetic.bad_column_enabled","eng/packaging/config/defaults.json:755","true","bool","列状缺陷路径开关（false 时该路径逐位不生效）","不适用（开关）","注册 {0,1}；无 schema 承载（cosmetic 块在 schema :223-226 是裸 object，无 properties）；解析层 p1_flag 接受 bool/0/1","文献值（合同条款 + 缺陷形态可分性论证）","真锚 docs/contracts/DATA_SEMANTICS.md:316（§10.4 表『开关』行：列状缺陷路径默认启用，置 false 时本路径逐位不生效）；注册件所引 :304 是 §10.4 小节标题","文献值（本仓合同档）","Phase1 装饰性校正","两侧同值：defaults.json:755=true｜module_adapters.cpp:2781 p1_flag(c, bad_column_enabled, true)；类型不一致同 noise.spatial_field_enabled（注册 JSON 布尔 vs 代码 int flag，且 cosmetic 块无 schema 承载 ⇒ 无类型校验面）；同名 enabled 已被 eng/ci/ledgers/config_default_divergences.json#config_default_divergence:enabled 以『同名不同义』豁免（values true/false）⇒ 登记面承认了冲突而未改名；语义说明有（:765 给了『连通域尺寸对列状无效』的理由）、单位 bool 有"
"psf.moffat_beta","eng/packaging/config/defaults.json:76","4.0","1（无量纲）","椭圆 Moffat 形状指数 beta","精确等于 4.0（改动而无 SCI 变更属不可接受变化，PSF.md:152）","注册 beta=4 单值；无 schema/模板/CLI 承载；**lib 生产面不存在 beta 配置读取**（模型是写死的四参数轮廓）","文献值（本仓 SCI 冻结）+ 本仓自认 Project-defined 推导","真锚 docs/science/PSF.md:23/:78/:92/:152/:178（多处 beta=4）；注册件所引 :94 讲的是 r_win/alpha=2.629 与 f_out=2.02e-3（不含 4.0）；PSF.md:177 引 Moffat 1969 仅作**轮廓形式**来源，:178 明确 beta=4 的通量式与 FWHM 因子为 **Project-defined derivation** ⇒ 『文献冻结 beta=4』的说法被本仓文档自己否定","公式导出（beta=4 的实质承载量是 FWHM/sigma 因子，见备注导出式）","Moffat4 PSF 模型","**该导出未导出（本队列最清晰一例）**：beta=4 在生产上的唯一 operative 形态是因子 1.230310，它**可由闭式导出** FWHM/sigma = 2*sqrt(2)*sqrt(2^(1/4)-1) = 1.230307652590102（PSF.md:74 已给精确值并自证实现常量相对差 **+1.91e-6**），而代码把截断值写成字面量三处：snr_estimator.cpp:40 kMoffat4FwhmFactor=1.230310、snr_science.cpp:54 同名重复定义、dpsf_psf.cpp:25 MOFFAT4_FWHM_FACTOR=1.230310 ⇒ 一个可算的量存成三份硬编码且与自身精确值有已知偏差；该因子**完全不在 defaults.json**（注册了不可消费的 beta，漏登记真正进入每条测光/PSF 链的因子）⇒ 登记面缺口 + 精度要求未登记（1.9e-6 vs §9 的 1% 容差是文档自述，无门核对）；语义有、单位无量纲有"
"cosmetic.bad_column_sigma","eng/packaging/config/defaults.json:769","5.0","MAD 倍数","列统计量跨列跳变与帧内稳健尺度比对的阈值","未标注（未给误判率/污染预算目标）","注册 >0；无 schema 承载；解析层 p1_num 不做值域校验","待确认（合同只把值委派给配置键，未给数值出处）","docs/contracts/DATA_SEMANTICS.md:313（§10.4 判据行原文：阈值取自列状缺陷的 sigma 配置键）⇒ **合同明文把数值来源指回 defaults.json**，而 defaults.json 又把出处指回合同 ⇒ 循环引用，两侧都不是来源；docs/science/CALIBRATION.md 侧只有缺陷形态可分性论证、无 5.0","待确认（档④：须给误标率目标或由母版实测标定，同 sigma_master 一族）","Phase1 列状缺陷检测","两侧同值：defaults.json:769=5.0｜module_adapters.cpp:2782 p1_num(c, bad_column_sigma, 5.0)；同族未登记的点状阈值也在代码里：hot_sigma=5.0 与 cold_sigma=5.0（module_adapters.cpp:2771-2772）、max_structure_size=4（:2775）⇒ 同节点 11 个配置读取点只有 6 个进 defaults.json（未登记的 5 个：hot_sigma/cold_sigma/max_structure_size/bad_column_max_seg_len/bad_column_science_wide_frac_max，见立案 F-10）；5.0 与 noise.clip_sigma/detection.threshold_sigma 的 5.0 同数不同义（换算因子 MAD->sigma 1.482602218505602 在 lib 内 20 个文件 34 处各自写死，无单源）；单位『MAD 倍数』有、精度要求无"
"cosmetic.bad_column_neighbor_k","eng/packaging/config/defaults.json:783","3","列数","每侧参与列统计量估计的列数","未标注","注册 >=1；无 schema 承载；解析层 p1_int 不做值域校验","文献值（合同只规定『由配置键给出』）→ 实为待确认（3 无推导）","docs/contracts/DATA_SEMANTICS.md:315（邻域宽度行：每侧参与统计的列数由配置键给出）⇒ 同样是指针不是出处；3 的取值全仓无任何论证","待确认（档④：k 应随列状缺陷宽度与期望稳健性导出，如 k>=2 抵抗单列污染）","Phase1 列状缺陷检测","两侧同值：defaults.json:783=3｜module_adapters.cpp:2783 p1_int(c, bad_column_neighbor_k, 3)；**与修复算子共享语义而独立取值**：修复用左右两邻（:2787 注释、kFlatMedianBand 同段的 §10.5 式 Σw^2=1/2），统计用每侧 3 列 ⇒ 同一个『邻域宽度』概念两处数（2 与 3）无一致性约束，且若改坏列修复为 k 邻则 κ 的导出式（1/Σw^2）随之改变而 neighbor_k 无联动；另代码存在同节点未注册键 bad_column_max_seg_len（:2788 默认 1）⇒ 登记面缺口"
