符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
sigma_true,eng/tests/unit/p1_stars_test.cpp:209,10.0,ADU（背景噪声真值）,合成图像逐像素（bg_true=1000.0 同域）,判据：σ 相对偏差 ≤2%（case1 实测 +0.27%）、纯噪声面 ≤2%（实测 −0.54%）,>0,B（本仓可复现实验，seed 固定 :215）,无文献锚，也无需——真值由夹具自设（10.0 是 chosen truth）；但**判据阈值 2%/6% 的登记在 :204-206 指向 run/CLEAN-401/third_sigma/**（run/ 不入库 ⇒ 证据不可复核）,③需实验标定（已标定，但标定结果在仓库之外）,第三 σ 估计器（裁剪后 RMS = StarCatalog::noise_sigma）回归锁定,出现处数 tot=421（实验/** 388 为主）——同名跨多实验单元，不是本常数副本。登记可复核性缺口：该用例引用 run/ 下的实测件为正/负例依据，仓库内无 results 落档 ⇒ 按标准 02 §1「B 级须结果落档」不达标
sigma,eng/tests/unit/p1_stars_test.cpp:227,无（.6f 是 printf 格式串片段）,n/a,n/a,n/a,n/a,无（机械抽取假阳性）,无,不适用（非数值常数——格式说明符）,n/a,证伪机械结论：:227 是一行 fprintf 诊断输出（格式串为 sigma=%.6f rel=%.6f），扫描器把格式说明符里的 6f / .6f 当成了数值，符号名 sigma 也取自该格式串。同类假阳性另见 BD-02 的 ZP_k 行与 BD-01 的 dark/gain/scale/limit/snr 行（值取自表达式或同行他项）。建议机械层屏蔽字符串字面量与格式说明符 出现处数（模式 rel=% 格式串）tot=2（全在 eng/tests 本文件与 :227 一处）
kZPsyn,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:115,-14.269,星等（mag，零点）,逐帧零点 ZP_syn（Gaia XPSD 拟合同域）,缺,任意实数；本用例只用到其差值,无（注释称取自 L4 t2_m1_red 拟合，但**该拟合值不在跟踪集内**）,"注释 :112（""取自 L4 t2_m1_red 的 Gaia XPSD 拟合量级""）；同族 kK1=6.272203e-17/kK2=5.685037e-17（:113-114）同源，另见 eng/tests/unit/p1001_real_nodes_test.cpp:4649 以""旧断言：帧间 k 散度 0.107 mag（6.272203e-17 vs 5.685037e-17）""引用同一对数值",④待确认,合成零点/恒等式回归 N2,"**按""抄观测值""追查后判定为低风险但须登记**：全仓 `git grep -F 14.269` 只有本行这一条真命中（另一条是无关 CSV 数字），即唯一数值源是**口头注释**而非落档件；`t2_m1_red` 只出现在 eng/tests/validation/release02/phot_verify/debug*.py 的帧名里，无 -14.269 结果件。缓解：本用例是自证恒等式——:171 把同一个 kZPsyn 写进合成输入，:269-270 再断言乘积等于它，故绝对值取错不会漏判真实缺陷（也不会证真）；文件头 :23 已自称""恒等式""。⇒ 不构成 142 s 式""阈值抄观测值""，属""观测抄录值无锚且无落档""。出现处数 tot=3（eng 3）"
zpk,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:264,0.0（JSON 缺键兜底）,星等（mag）,读取产品字段 frame_zero_point_mag,判据 |zpk−expect_zp|<1e-9（:270）,有限实数,无（结构性兜底）,无,不适用（结构性常数——读取兜底哨兵）,N2 恒等式断言的观测侧,本行兜底 0.0 与 :270 的 1e-9 绝对容差配套 ⇒ 缺键时 zpk=0.0 ≠ expect_zp（expect_zp≈-14.269+...）必红，**方向正确**（与 r_scaled 的负哨兵+上界恒真形成对照）。出现处数（\bzpk\b）tot=3（eng 2/实验 1）
snrf,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:267,0.0（JSON 缺键兜底）,无量纲（SNR_F）,读取产品字段 snr_f,判据在同用例后续行（本行不承载）,≥0,无（结构性兜底）,无,不适用（结构性常数——读取兜底哨兵）,N2/N4 逐帧 SNR 恒等式核对,"同 zpk 形态（.value(key, 0.0)）。风险登记（模式级，非本行缺陷）：该读法在键缺失时得 0.0 而非报错，**只有当后续判据是等式或下界时才必然红**；若某判据写成上界（如 < 阈值）即恒真——本案队列里 r_scaled 就是那个反例。出现处数（\bsnrf\b）tot=2"
expect_zp,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:269,表达式 kZPsyn − 2.5·log10(k_photo)（机械层只记 2.5）,星等（mag）,逐帧零点 ZP_k,与产品值比 1e-9 绝对容差（:270）,有限实数,①定义式（星等↔通量对数关系）,docs/science/PHOTOMETRY.md:355（m = ZP_k − 2.5·log10 F，星等只按表达层现场派生）；同式镜像 :27/:33/:214/:404,②可由关系导出（本行即按式算，正例）,N2 恒等式断言的期望侧,2.5 是**定义常数**而非经验值（Pogson 对数星等约定），故不需要实验标定；仓内登记到式、未登记到常数表（D4 台账若按数值收，2.5 会以 34 处命中量重复出现，见计数列）。出现处数（expect_zp）tot=3；同式因子 2.5 在 docs/science/PHOTOMETRY.md 内 13 处
ZP_k,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:271,无（2.5 取自 CHECK 消息文本里的字符串）,n/a,n/a,n/a,n/a,无（机械抽取假阳性）,无,不适用（非数值常数——诊断字符串里的公式文本）,n/a,"证伪机械结论：:271 是 (std::string(""N2: ZP_k = ZP_syn - 2.5log10(k_photo) (帧 "") + ...) 的**失败消息拼接**，ZP_k 是被测符号名、2.5 是消息里的公式文字，都不是常数。ZP_k 的真实定义在 :269（expect_zp 行）。出现处数（ZP_k）tot=34：lib 10/eng 5/docs 13/实验 3——同名跨文档/代码多义，机械计数不能当副本数"
kRealSky,eng/tests/unit/p1snr/p1snr_linux_test.cpp:144,260.8590110604006,ADU（天空背景标准差 σ_sky）,真实帧逐像素背景统计,缺（16 位有效数字的抄录值，未登记其精度域）,>0,B（本仓可复现，但结果件不入库）,注释 :145-147：锚值按修复后口径由独立 NumPy oracle 复算（run/RELEASE-02/conform-fix-a/harness/conf1_oracle.py，不调用被测 C++）；来源件 run/ 不入库 ⇒ 仓库内无可复核锚,④待确认,真实源 SNR 锚表 kReal[5] 的天空输入,**按抄观测值规则追查结论**：这不是阈值，是**观测量本身当输入**（合法用途），但两处**逐字重复**：本行与 lib/algorithms/noise_snr/tests/p1noise/p1snr_science_test.cpp:165 同为 260.8590110604006，后者注释给的另一条来源（P2 t4_a p1_sources.json，R 波段，只读取值）。⇒ 立案：同一实测锚无唯一数值源、双份复制，任一侧更新即静默分叉；且锚表 kReal[5] 的 20 个浮点钉值（:149-153）同样只有 run/ 里的 oracle 可核。出现处数（kRealSky）tot=11（lib 7/eng 4）
fwhm_px,eng/tests/unit/p1snr/p1snr_linux_test.cpp:188,表达式 1.5 + 0.25·i，i=0..8（机械层记作 0.25;1.5）,像素（检测块高斯 FWHM）,逐源（SnrSourceRow）,不适用（激励值）,>0,无（测试激励值）；单位口径有 A/C 锚,单位与换算口径：lib/algorithms/noise_snr/cpp/include/snr_estimator.h:325（fwhm_px = 检测块高斯 FWHM = 2.3548200450309493·sigma）＋ docs/science/STAR_DETECTION.md:104（与 PSF 块 1.230310 相差 1.9140×，禁止跨块混用 DISP-STAR-007）,不适用（结构性常数——合成激励序列）,F1 天空受限合成集,证伪机械结论：登记为两个常数 0.25 与 1.5，实际是一条等差扫参序列（起点 1.5、步长 0.25、9 档），语义是扫 FWHM 空间而非取某个值。该符号真正的科学口径风险在**跨块混用**（同文件 :145-147 记录了 CONFORM-FIX-A 曾因用 Moffat4 因子反解检测块列而整体重锚），本行不携带该风险。出现处数 tot=437（实验/** 340 为主）
sigma_sky_adu,eng/tests/unit/p1snr/p1snr_linux_test.cpp:192,40.0,ADU,逐帧天空背景标准差（标量）,不适用（激励值）,>0；≤0 触发无效（out.valid=false）路径,无（测试激励值）,单位锚 docs/science/NOISE_MODEL.md:44（σ_bg: ADU）；数值 40.0 无出处（无需）,不适用（结构性常数——测试激励）,SnrFrameScienceConfig 天空受限分支,与同族 kRealSky=260.859（真实帧）形成合成/真实两条路径的激励对；40.0 取整是为了让天空受限分支的解析比值可手算。出现处数 tot=157（lib 16/eng 17/docs 4/实验 120）
sigma_logflux_dex,eng/tests/unit/p1snr/p1snr_linux_test.cpp:241,0.05,dex（log10 通量的逐星定标散度）,逐帧定标残差统计量,不适用（激励值）；被测式用 1e-15 rtol,≥0,无（激励值）；但被测常数 1.253 有档且实现有问题,语义与单位：docs/science/NOISE_MODEL.md:323（sigma_location_se_dex ≈ 1.253·sigma_residual/√N_eff，1.253=√(π/2)）；docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:58（同一式的综述锚，写约 1.253）；实现 lib/algorithms/noise_snr/cpp/src/snr_science.cpp:279,不适用（结构性常数——测试激励），并立案被测常数 1.253,F3 零点标准误公式核对,**立案（该导出却硬编码＋精度不足）**：snr_science.cpp:279 直接 return 1.253 * sigma_logflux_dex / sqrt(n)，而它自己 :272 的注释写 1.253 = sqrt(pi/2)（精确值 1.2533141373155003）⇒ 代码用截断字面量而非按式算，系统性偏差 −2.51e-4（相对）。本测试（:244）又以 rtol=1e-15 断言 1.253 这个截断值，等于**把截断当精确锚锁死**，使订正必红。标准 02 §4.2 要求按式算不硬编码。影响面：零点标准误本身是不确定度估计，0.025% 偏差科学上可忽略，但它是被测试冻结的口径违背，修法＝代码用 std::sqrt(M_PI/2.0)、测试同步换精确值。出现处数 tot=34（lib 27/eng 5/docs 2）
legacy_dex,eng/tests/unit/p1snr/p1snr_linux_test.cpp:296,表达式 1.0/(ln10·0.05)，即 1/(2.302585092994045684·sigma)（机械层记作 1.0）,无量纲（伪 SNR）,逐帧,判据为 >1e-6（必须不等）,>0,无（负例构造）,行内 :292-295 已登记意图：旧构造 1/(ln10·sigma_residual) 是常数、与目录无关，必须被否证,不适用（结构性常数——负例/否证构造）,C2 旧定义否证,正例：这是标准 02 §5 要求的能红对照，且同用例配了第二条判据（通量 ×100 ⇒ median_snr 恰 ×100，:300-302），两条件合起来才使旧构造不可混过。常数 2.302585092994045684 = ln10（双精度全位）属数学常数，无需出处。出现处数 tot=2
tol,eng/tests/unit/p1snr/p1snr_linux_test.cpp:52,1e-12（比较器绝对地板）,无量纲（绝对误差地板，与 rtol·|期望| 相加）,逐次比较（check_close）,自身即精度要求，但其来源未登记,≥0,无（未见任何文档/注释给该地板的依据）,无。可类比登记：docs/standards/NUMERIC_STANDARD.md:68-71 为 1e-12 做过量纲级论证（variance_floor 与 float32 可表示性），但该论证属**方差地板**，不覆盖比较器,④待确认（数值比较地板缺数值来源登记）,本文件全部 check_close 断言的绝对项,五件事缺 4 件（单位/归一化/精度/域皆未登记）。1e-12 的选择方向可辩护（比 float64 eps 高约 4.4e6 倍，可吸收若干次算术舍入，又不掩盖真实缺陷），但按标准 02 §3 epsilon 须给物理或数值来源 ⇒ 应登记为 C·u64 的倍数或直接引 NUMERIC_STANDARD。同值字面量散落：模式 tol = 1e-12 全仓 tot=7（lib 4/eng 1/实验 2），无一处给依据。出现处数（同名 tol）不可用，机械层按名字聚合会得巨量假命中
kGaussFwhmFactor,eng/tests/unit/p1snr/p1snr_linux_test.cpp:64,2.3548200450309493,无量纲（FWHM/σ 比值）,检测块椭圆高斯母函数,与双精度机器值一致（无截断）,恒等常数，无适用域限制,A（一手关系：高斯半高全宽定义）＋ 仓内登记一致,2√(2·ln2) 的双精度值（本机复算见 md 命令）；仓内锚 lib/algorithms/noise_snr/cpp/src/snr_science.cpp:48-50 与 :15/:22（同名常数与用途）、docs/algorithms/STAR_DETECTION_ALGORITHMS.md:97（TWO_SQRT_2_LOG2）、docs/science/STAR_DETECTION.md:104,②可由关系导出（建议按式算；现值已是精确双位数，风险仅在未来有人手抄截断）,检测块 FWHM↔sigma 换算,本队列中**唯一与登记完全一致且无精度损失**的因子：与同族的 kMoffat4FwhmFactor（截断）形成对照。跨块混用禁令有明确档：DISP-STAR-007 / STAR_DETECTION.md:104 记录两因子相差 1.9140×。出现处数 tot=20（lib 11/eng 6/实验 3）
kMoffat4FwhmFactor,eng/tests/unit/p1snr/p1snr_linux_test.cpp:67,1.230310,无量纲（FWHM/σ 比值）,PSF 块各向同性 Moffat β=4,实现值与精确值相对差 +1.91e-6（文档已登记）,仅 β=4；各向异性按轴用同因子,A（解析可导）＋ C（文档镜像）,docs/algorithms/STAR_PSF_ALGORITHMS.md:62-64（推导 FWHM=2√2·σ·√(2^{1/4}−1)=1.230307652590102·σ，并登记实现常量 MOFFAT4_FWHM_FACTOR=1.230310（dpsf_psf.cpp:25）与精确值相对差 +1.91e-6）；SCI 侧 docs/science/ASTROMETRY.md:170,②可由关系导出（应按式算；代码/测试两侧都抄 6 位截断值）,PSF 块 FWHM↔sigma 正向换算（禁止反解检测块列）,立案（同 1.253 一类）：文档给精确导出值与偏差量级，代码与测试仍写截断字面量 ⇒ 唯一数值源是 1.230307652590102，落盘的是 1.230310；1.91e-6 远小于 float32 像元数据精度（1.2e-7 量级之上但 <1e-5 判据内），科学影响可忽略，属口径违背类。已登记为耦合缺陷：DISP-PSF-001（STAR_PSF_ALGORITHMS.md:199，常数依赖）。本行测试值与生产值同截断 ⇒ 不立案多侧不一致。出现处数 tot=47（lib 31/eng 7/docs 0/实验 9）
snr_optimal,eng/tests/unit/p1snr/p1snr_linux_test.cpp:88,0.0（结构体成员默认）,无量纲,独立参考实现 Ref 的逐源输出,不适用,≥0,无（结构性）,无,不适用（结构性常数——成员初值）,ref_source 暴力参考实现,同名在真实源锚表 :141 是另一回事：那一列的取值（如 16.04022427426992）是 NumPy oracle 锚，且 :156 kOracleMedian=16.04022427426992 可核验为 kReal[5] 该列的中位数（本机按表复算，命令见 md）⇒ 钉值族内部自洽、可导出，但同样依赖不入库的 run/ 件。出现处数 tot=90（lib 17/eng 9/docs 0/实验 64）
sigma_f,eng/tests/unit/p1snr/p1snr_linux_test.cpp:89,0.0（结构体成员默认）,ADU（通量不确定度）,独立参考实现 Ref 的逐源输出,不适用,≥0,无（结构性）,单位锚 docs/science/NOISE_MODEL.md:44（σ 类量 ADU）；本行不携带,不适用（结构性常数——成员初值）,ref_source σ_F 累加输出,机械层的同名聚合在本符号上失真最严重：\bsigma_f\b tot=55（lib 4/eng 7/实验 44），而裸 sigma_f 前缀匹配（含 sigma_floor/sigma_flux 等）会得 1755——**机械层若不设词边界，计数会虚高 32 倍**，这是 D4 台账合并时要防的口径陷阱。出现处数按 \bsigma_f\b 计 tot=55
