编号,符号或键,类别,现行值,支撑类型,出处,适用域,位点(面),第②层已复核,取证分片
OK-073,rejection.percentile.high,算法,0.1,文献值,docs/science/REJECTION.md:119,Phase2 小 N 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-074,rejection.percentile.low,算法,0.2,文献值,docs/science/REJECTION.md:119（percentile: low 0.2 / high 0.1）与 :64（4<=n<=5 档路由）；注册件 source 引 :59（空行）而 source_ref 又引 :166（讲 percentile 工作域与单位，不含 0.2）⇒ 两条锚都不含值,Phase2 小 N 排异（仅 4<=n<=5 档可达）,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-075,rejection.sigma.lower_sigma,算法,4.0,文献值,docs/science/REJECTION.md:116（sigma/winsorized/averaged: 4.0/3.0/8）；注册件所引 :97 是 WBPP 档界叙述行、source_ref 又写 :68（该处无此值）⇒ source 与 source_ref 互相打架且两者都不含值,Phase2 多值堆排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-076,rejection.sigma.max_iterations,算法,8,文献值,docs/science/REJECTION.md:116（第三位 8）,Phase2 多值堆排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-077,rejection.sigma.upper_sigma,算法,3.0,文献值,docs/science/REJECTION.md:116（同表；注册件 :97/:68 双锚均不含值）,Phase2 多值堆排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-078,rejection.winsorized.lower_sigma,算法,4.0,文献值,docs/science/REJECTION.md:116,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-079,rejection.winsorized.max_iterations,算法,8,文献值,docs/science/REJECTION.md:116（第三位）,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-080,rejection.winsorized.upper_sigma,算法,3.0,文献值,docs/science/REJECTION.md:116,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-081,util,常数,0.0;100.0,文献值,定义性换算（100=百分），但**定义本身与权威口径同名不同义**,worker_balance.csv 的 utilization_pct 列,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；L12
OK-082,worker_balance,常数,.1;0.0,文献值,—（注释里的值域 0..1 被误切为 .1）,heavy run 字段,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；L12
OK-083,(无名)·lib/infrastructure/cli/monitor.h:233,常数,10000000.0,公式导出,本仓无文档登记该定义（属外部平台事实，不需仓内出处，但应一句注记以便复核）,Windows 正式平台的 user/sys CPU 口径,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2
OK-084,(无名)·lib/infrastructure/cli/process.cpp:106,常数,1000.0,公式导出,仓内无文档登记（外部平台事实）；本仓的时间单位约定见于 resource_events/monitor 用「秒」、runtime_resources.json 用「毫秒」（跨面单位不统一另记 L-14）,进程超时（三命令共用的子进程执行面）,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-14
OK-085,(无名)·lib/infrastructure/cli/resource_gate.h:492,常数,0.85,公式导出,eng/contracts/resource_gate_v1.json compute.mean_utilization_min_percent=85（应写成 kCpuMeanMinPercent/100）,诊断文本呈现,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；L4
OK-086,(无名)·lib/infrastructure/cli/session_commands.h:272,常数,512.5,公式导出,导出式 crpix=(1+W)/2（FITS 1-based）配本模板 W=H=1024 ⇒ 512.5；缺省语义 = 中心，出处 14_projection.md:35 + schema:247-258,export 模板；键生产零读取（死键台账已登记）,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
OK-087,A_cell（HEALPix 叶面积）,公式,4π/(12·nside²),公式导出,aio_hips_writer.cpp:1212；AUD204-02,创新点④ 覆盖/支撑通道,生产,是（第②层独立复核）,AUD-204-面积交叠核验 §1；复核-AUD204 W3；复核注记：是
OK-088,F_syn 合成通量积分式,公式,F_syn = ∫ F_λ(λ)·T(λ)·Q(λ)·λ dλ,公式导出,docs/science/PHOTOMETRY.md:44（§2a.1）、:55；AUD-201 §1 与 AUD201-002；hc=1.986445857e−16 J·nm 数值闭合,创新点① 测光定标全链,生产,是（第②层独立复核）,AUD-201-测光核验 §1／AUD201-002；复核注记：是（复核-AUD201 V1/V2 独立复算）
OK-089,_MAD_SCALE（1/Φ⁻¹(3/4)）,常数,0.6744897501960817,公式导出,docs/science/PHOTOMETRY.md:34/:296（1.482602218505602 与之差 0）；star_matcher.cpp:21；四位截断 0.6745 偏差 +1.5196382e−05 与正本吻合,测光 sigma_residual／Phase1 稳健尺度,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-016；复核注记：是（独立推导复现）
OK-090,cosmetic.bad_column_variance_kappa,常数,2.0,公式导出,真锚 docs/contracts/DATA_SEMANTICS.md:330-331（§10.5 传播式 var=(Σw^2·var)·κ，单列两邻 Σw^2=1/2，κ>1 补偿插值相关，不做补偿会使修复像素 SNR 系统性偏高量级约 sqrt2）；注册件所引 :328 是 §10.5 小节标题；defaults.json:815 已把推导写全 ⇒ 本队列中出处质量最好的一条,Phase1 修复像素方差,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-091,definition 换算常量（正例集）,常数,10000000.0（FILETIME→s）／1024.0×1024.0（MiB）／1000.0（s→ms）／100.0（百分数）,公式导出,monitor.h:233；memory_report.h:481；process.cpp:106；monitor.h:447 与 memory_growth.h:87,观测面换算,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.2 对照行
OK-092,expect_zp,公式,表达式 kZPsyn − 2.5·log10(k_photo)（机械层只记 2.5）,公式导出,docs/science/PHOTOMETRY.md:355（m = ZP_k − 2.5·log10 F，星等只按表达层现场派生）；同式镜像 :27/:33/:214/:404,N2 恒等式断言的期望侧,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
OK-093,gain_variance,容差,506.25,公式导出,公式锚：docs/science/NOISE_MODEL.md:32（§5c 加权方差面输入）与实现 lib/algorithms/noise_snr/cpp/src/noise_model.cpp（snr_noise_gain_variance = s/g + rn²/g²），同文件 :700 注释亦标 SNR-005,D10 gain_variance 数值语义抽查,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
OK-094,hips.tile_width,常数,512,公式导出,docs/science/PHASE3_HIPS_TO_FITS.md:17（符号表 hips_tile_width tile 宽 W 默认 512=2^9）与 :130（properties 必需键）；**注册件所引 :41 是 §4 输入有效域的小节标题，不含 512**,HiPS 读写与规划,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-095,kGaussFwhmFactor,常数,2.3548200450309493,公式导出,2√(2·ln2) 的双精度值（本机复算见 md 命令）；仓内锚 lib/algorithms/noise_snr/cpp/src/snr_science.cpp:48-50 与 :15/:22（同名常数与用途）、docs/algorithms/STAR_DETECTION_ALGORITHMS.md:97（TWO_SQRT_2_LOG2）、docs/science/STAR_DETECTION.,检测块 FWHM↔sigma 换算,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
OK-096,kPxScaleDeg,常数,0.0002777777777777778,公式导出,"数值可核验为 1″/px：1/3600=0.0002777777777777778；行内注释标为 sqrt|det CD| deg/px。同值在 :1829/:1830 以 CD 对角（-s,+s）出现，另 GATES 文档的 0.9″/px 适用域下限为**不同量**（角秒/像素）",SIP oracle 桥接回归的像素尺度,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
OK-097,noise.mask_budget_min_sky,容差,9216,公式导出,docs/science/NOISE_MODEL.md:98-99（(1.44/0.015)^2=9216；SE≈1.44/sqrt(N) 由 c≈1.152/sqrt(N) 与中位数效率 1.25 导出）；:100-101 另警告该量是相对标准误、不可当 dex 用,Phase1 天空预算与 §8 全帧兜底,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-098,noise.mask_fwhm_floor_scale,常数,0.75,公式导出,docs/science/NOISE_MODEL.md:96（同式一项）；**0.75 与 PSF 核心覆盖的关系全仓无推导**（既未写 0.75·FWHM 覆盖多少能量，也未给 Moffat/Gaussian 的等效半径式）,Phase1 逐星掩膜半径下界,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-099,noise.mask_radius_scale,常数,6,公式导出,docs/science/NOISE_MODEL.md:97（=60 的合式），拆分 10·6 的 6 无任何权威陈述（docs/algorithms/NOISE_ESTIMATION.md:134 只是实现锚）,Phase1 逐星掩膜半径上界,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-100,pred_doublecount_bias（解析值）,常数,+14.500914%（基准点）／+38.252%（RN=50）,公式导出,实验/absolute-snr/code/b2_noise_terms.py:105；AUD202-012 表,文档头条数的应取值,测试/实验,是（第②层独立复核）,AUD-202-SNR核验 AUD202-012；复核-AUD202-补 V6；复核注记：是
OK-101,scale_deg,公式,表达式 (180/π)·√(π/3)/512（机械层记作 180.0;3.0;512.0）,公式导出,IVOA REC-HIPS-1.0 §4.4.1（hips_pixel_scale 单位=度，见 :151-152 注释与 lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1827）；解析式=HEALPix 等面积像素立体角 ⇒ scale=(180/π)√(π/3)/nside,产品键 hips_pixel_scale 的期望值复算,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
OK-102,|J| = pi/3（chart→球面面积雅可比）,公式,pi/3,公式导出,实验/healpix-polar/code/polar_common.h:136-196 chart_uv_to_ang；AUD204-02；docs/algorithms/DRIZZLE_GEOMETRY.md,创新点④ 平面→球面面积分配,测试/实验,是（第②层独立复核）,AUD-204-面积交叠核验 AUD204-02；复核注记：是（前提(a) 成立）
OK-103,λ 因子的成立前提,公式,λ ∈ 被积式,公式导出,AUD201-002（CONFIRMED，正本无需订正）；前提未显式登记 → AUD201-003,XPSD 解码消费边界,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-002／AUD201-003；复核注记：是（复核-AUD201 V2 独立复算）
OK-104,σ_i² 逐像素噪声组成式,公式,"σ_i² = σ_sky,i² + (RN/g)² + F·P_i/g",公式导出,docs/science/NOISE_MODEL.md:324；docs/plugins/algorithms_phase1/07_noise_snr.md:110；snr_science.cpp:200-202/:198,Phase1 逐源 SNR／Phase2 权重,生产,是（第②层复核改判）,AUD-202-SNR核验 AUD202-011（证真条目）；复核注记：是（第②层复核未推翻，成稿即独立复算）
OK-105,cosmetic.bad_column_master_wide_frac_max,常数,0.001,实验标定,source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 ⇒ 同 sigma_master：**不在跟踪集**；defaults.json:829 与 :835 记录了标定现象（阈值微调下仅标记列数在 0 与 1419 间跳变；加守卫前真实母版标记 1192 列）——这些读数只在不可复核件里,Phase1 母版路径宽列守卫,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-106,cosmetic.bad_column_sigma_master,常数,10.5,实验标定,source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 —— run/* 在 .gitignore:17 ⇒ **该文件不在跟踪集**（git ls-files 对 LINDEF 零命中），代码注释 module_adapters.cpp:2805 同引该路径与其 evidence/master_sigma_calibration.json，均不可复核；:2801-2,Phase1 母版路径,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-107,sigma_true,常数,10.0,实验标定,无文献锚，也无需——真值由夹具自设（10.0 是 chosen truth）；但**判据阈值 2%/6% 的登记在 :204-206 指向 run/CLEAN-401/third_sigma/**（run/ 不入库 ⇒ 证据不可复核）,第三 σ 估计器（裁剪后 RMS = StarCatalog::noise_sigma）回归锁定,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
OK-108,稀疏/稠密内存读数,常数,"报告 11,688 kB / 14,568 kB；JSON rss_64block_kb=11744 / rss_full_grid_kb=14520",实验标定,实验/additive-sky-seamless/README.md:211（§4.6 E3）；results/c6_sparse_dense.json:upm_memory；gates.rows[2] E3_rss_scales_with_block,创新点③ 稀疏表示收益声明,测试/实验,是（第②层独立复核）,复核-结果层与收口层 R4 第 3 处；复核注记：是（P2）
