编号,符号或键,类别,现行值,单位,位点(面),位点,来源现状,它声称的出处,缺什么支撑,冲突标记,第②层已复核,取证分片
A1-031,kAllocReclaimWindowSeconds,常数,2.0,秒,生产,lib/infrastructure/cli/memory_report.h:63,无（契约只有 allocation_reclaim_min_wall_seconds=10 这个**判定域**界，没有逃逸窗这个键）,无。与 :54 同属立案 L-01；本文件的「阈值常量(G-RES-01; 数值唯一源=…)」注释块（:47）把这一行也包在里面，但它并不取自契约【保守方向·回填自判读件】本队列里风险最高的一条：**这是一个能让硬失败变绿的窗**（判据 ③ 要求 growth_requires_unexplained_reclaim=true，PeakInWindow 即「可解释」），窗宽却只有代码字面量。第二层耦合：2 s = 4 个采样周期，实际分辨率由 monitor 的 0.5 s 间隔决定，而那个间隔本身是未登记的默认值（L-02）⇒ 未登记串未登记。:510-512 用,alloc_report.json reclaim_verdict=PeakInWindow；契约判据 ③ 的回落不可解释判定,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocReclaimWindowSeconds=2.0 是能让硬失败变绿的逃逸窗；契约 §8.1 判定域为严格大于 10 s，同工件 reclaim 半边用的正是契约 10 s ⇒ 两个半边两套域,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；G-RES；L-01；L-02；U-06
A1-032,kAllocSlopeMaxPoints,常数,200,点数（无量纲）,生产,lib/infrastructure/cli/memory_report.h:66,无（契约无该键）,无（:65 注释自述「O(n²) 内存护栏…（口径呈现）」，是唯一的自证）【保守方向·回填自判读件】这条与前两条的差别要写清：200 **改变了被比较的统计量本身**（降采样曲线的稳健斜率 ≠ 全曲线的稳健斜率），而契约 32 MiB/s 是针对「分配/RSS 稳健斜率」定义的。工件已回显 slope_points（:256）⇒ 消费者可辨「用了 200 点」，但不能复原全曲线口径。另：validate_alloc_report:612 用**同一**降采样复算 ⇒ 该维度自反不可证（能抓篡改/,alloc_report.json slope_points/rss_slope_bytes_per_s；外挂 judge 与 CI 复算共用的斜率,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocSlopeMaxPoints=200 改变被比较的统计量本身（降采样曲线的 Theil-Sen ≠ 全曲线），且 validate_alloc_report:612 用同一降采样复算 ⇒ 该维自反不可证,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-01
A1-033,kDiskEstimateMaxEntries,常数,20000,目录条目计数（无量纲）,生产,lib/infrastructure/cli/disk_gate.h:87；lib/infrastructure/cli/disk_gate.h:15-17；eng/contracts/resource_gate_v1.json；lib/infrastructure/cli/disk_gate.h:256；lib/infrastructure/cli/subcommand.h:290-292；docs/contracts/LOG_AND_ERROR_CONTRACT.md:72,"无（仅代码；本模块注释自称""不引入魔法字节数/经验系数""）",无（docs/ 与 eng/contracts/ 对 20000 零登记；反向证据见 disk_gate.h:15-17「阈值自由」纪律）【缺输入：判读层与第②层均未给保守取值方向】,磁盘门预检面（warn 不阻断；fail-closed 面 = 写盘失败）,红（判读层立案 逐侧并列见本行出处与备注引文）：多侧并列：代码 20000 / 文档 未登记 / 契约 无该键（resource_gate_v1.json#disk_gate 只有 precheck/runtime 语义，并明写「阈值自由，不引入经验系数」）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2
A1-034,kRealSky,常数,260.8590110604006,ADU（天空背景标准差 σ_sky）,测试/实验,eng/tests/unit/p1snr/p1snr_linux_test.cpp:144；run/RELEASE-02/conform-fix-a/harness/conf1_oracle.py；lib/algorithms/noise_snr/tests/p1noise/p1snr_science_test.cpp:165,B（本仓可复现，但结果件不入库）,注释 :145-147：锚值按修复后口径由独立 NumPy oracle 复算（run/RELEASE-02/conform-fix-a/harness/conf1_oracle.py，不调用被测 C++）；来源件 run/ 不入库 ⇒ 仓库内无可复核锚,真实源 SNR 锚表 kReal[5] 的天空输入,红（判读层立案 BD1-1.3｜AUD-402-判读-BD1 §1.3）：同一实测锚 260.8590110604006 逐字重复于两处（p1snr_linux_test.cpp:144 与 p1snr_science_test.cpp:165）⇒ 无唯一数值源、双份复制，任一侧更新即静默分叉；来源 oracle 件在 run/ 不入库,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
A1-035,kStallPatience / kObjImproveFloor,常数,5 ／ 1e-12,轮 ／ 相对改善,生产,lib/algorithms/coverage/src/upm.cpp:732；lib/algorithms/coverage/src/upm.cpp:1061；docs/science/PHASE2_UPM.md:105（补侧·本行出处所列，该侧带值）,无来源（未登记其物理或数值依据）,upm.cpp:732-733 定义、:1061 赋值；docs/science/PHASE2_UPM.md:105【缺输入：判读层与第②层均未给保守取值方向】,Phase2 UPM 四态收敛状态机,"红：跟踪结果件里观测到的收敛态只有 {0,1}，2/3 从未作为实测量出现（22 处结果件、4 个「2」全为图例或叙述）；四态码 d77fd11f(09-22) 晚于归档数据 9a2b5d11(09-21) 一天",是（第②层独立复核）,AUD-203-天光无缝核验 AUD203-09 需复测第 1 条；复核-AUD203 V5；复核注记：是（复核-AUD203 V5：证据缺口 P2，非代码缺陷）
A1-036,leaf 表示选支（弦四边形 vs 真曲线）,算法,nside>=256 → get_healpix_boundary4（nb=4）；else samples=(nside<=8)?16:1,档,生产,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1372,无来源（调用点与同文件注释自述相反）,spherical_overlap.cpp:1372-1382、:506-541、:1283-1296、:543-617【缺输入：判读层与第②层均未给保守取值方向】,创新点④ 面积分配正确性,红：逐叶面积误差 −9.97%…+0.54%（nside 32/64/128/256 全格点实测 −0.09952/−0.09964/−0.09967/−0.09968），不随 nside 收缩；Σ_p 弦面积=4π（0 残差）⇒ 纯「相邻叶错分」，求和型闭合门零判别力,是（第②层独立复核）,AUD-204-面积交叠核验 AUD204-06；复核-AUD204 W1；复核注记：是（复核 W1 确认恒等式无证据资格）
A1-037,m_cut 极限星等初值式,公式,m_cut = 6.0 + 1.5·log10(f_mm) + 2·log10(t_s),mag,生产,lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:335；lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:343；docs/plugins/algorithms_phase1/03_star_detection.md:25（补侧·本行出处所列，该侧带值）,无来源（三常数只在源码注释；正本零登记）,ipv_select.cpp:335（注释）/:343-345（代码）；docs/plugins/algorithms_phase1/03_star_detection.md:25 与 phase_config_normalize.schema.json:358 声明派生输入含「画幅」,星表引导检测的候选完备度,红：文档声明输入集（焦距＋画幅＋曝光）与代码输入集（焦距＋曝光）不符；物理核对天光限域应为 1.25、读噪限域 2.5，代码 2.0 两域都不对应,是（第②层独立复核）,AUD-201-测光核验 AUD201-012；复核注记：是（第②层未单列，成稿独立第一性推导）
A1-038,memory-report/v2 工件的 schema 登记,算法,无对应 schema 件,—,生产,eng/contracts/resource_gate_v1.json（补侧·本行出处所列权威锚）；lib/infrastructure/cli/memory_report.h（补侧·本行出处所列权威锚）,无来源（合同面缺件）,eng/contracts/resource_gate_v1.json readers 数组把 memory_report.h 列为读者而非被约束对象；docs/contracts/ 对 reclaim_frac 零命中,观测面「唯一数值源＋机读合同」纪律的缺口,红（判读层立案 A2 L-14）：L-01 的未登记阈值与 L-03 的 mb 命名都落在这张无合同的工件上,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.4 L-14；L-01；L-03；L-14
A1-039,min_stars_order1 / min_stars_order2,常数,50 / 200,星数,生产,lib/algorithms/photometry/cpp/src/spatial_gain.h:85；lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:76,无来源（同为「最少星数」语义，50 无任何登记侧）,AUD-402-判读-A1 F-15；results 侧 N=100/200 聚集档 o2 形状误差 24.36%/21.38%【缺输入：判读层与第②层均未给保守取值方向】,Phase1 空间增益升阶阶梯,红：与已登记的 photometry.min_reference_stars=3 同语义不同档、无横向说明,是（第②层独立复核）,AUD-402-判读-A1 F-15；复核-测光默认阶数 §一·附；复核注记：是；F-15
A1-040,noise.variance_floor,常数,1e-12,ADU^2,测试/实验,eng/packaging/config/defaults.json:205；docs/science/NOISE_MODEL.md:30；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1256；lib/include/astrocs/core/variance_floor.h:22；lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:1052；lib/infrastructure/scheduler/src/module_adapters.cpp:6584-6590；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1245；lib/algorithms/noise_snr/tests/p1noise/p1noise_oracle,待确认（数量级拍定，无物理或数值推导）,"docs/science/NOISE_MODEL.md:30（符号表：配置默认 1e-12，单位 ADU^2）与 :55/§7；注册件所引 :23 是符号表 `x` 行【保守方向·回填自判读件】同值多侧：defaults.json:205｜noise_model.cpp:1256｜schema :340 default=1e-12（第四侧，队列未列）；**语义冲突面**：仓内已有按 dtype 导出的地板实现 lib/include/astrocs/core/variance_floor.h:22（生效 floor=max(eps_rel·median(可用方差), dtype 最小正可",Phase1 variance/ivar 全场,"红（判读层立案 E-6｜AUD-402-判读-A1 §2.2 E-6）：已实现尺度无关派生（variance_floor.h:22 生效 floor = max(eps_rel·median(可用方差), dtype 最小正可表示值)），noise 侧仍注册绝对 1e-12（ADU²）；eps_rel=1e-12（hp_drizzle_api.cpp:1052）与 normalization_floor=1e-12（rejection.cpp:1245）四面无登记 ⇒ 同一数字三处三种量纲",否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-041,photometry.fit.spatial_gain_order / kDefaultSpatialGainOrder,算法,代码兜底 2；算法层结构体默认 0；文档 §6(0)(c) 判「默认保持 0」、同文档 :89 又写「默认 order 1」、:434 写「配置默认 1」,阶（整数）,测试/实验,lib/infrastructure/scheduler/src/module_adapters.cpp:5471；lib/infrastructure/scheduler/src/module_adapters.cpp:5489；lib/infrastructure/scheduler/src/module_adapters.cpp:6072；lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:74（补侧·本行出处所列，该侧带值）；lib/algorithms/photometry/cpp/src/spatial_gain.h:80（补侧·本行出处所列，该侧带值）；实验/photometric-magnitude/docs/p1-spatial-gain.md:454（补侧·本行出处所列，该侧带值）,无来源（六张登记面全空：出厂模板／defaults.json／config_registry／schema properties／合同说明与 CLI 协议／插件文档与 README；另 config_default_divergences watch_keys 亦无）,module_adapters.cpp:5471 constexpr int kDefaultSpatialGainOrder=2、:5472-5476 读取式、:5489 通道使能门、:5708/:5716/:6072-6075 施加链；frame_photometry_fit.h:74=0；spatial_gain.h:80 order_requested=0；实验/photometric-magnitude/docs/p1-spatial-gain.md:454/:89/:434,"创新点① 产品像素面（逐像素乘 k_photo·m(x,y)）",红：同一参数在生产两处入口与三处文档取不同值（0／1／2），且键在六面零登记 ⇒ 操作者无从发现、无从关闭；is_number_integer() 静默兜底使 0.0、「0」、错键名一律回到 2,是（第②层独立复核）,复核-测光默认阶数（一、四侧对齐表；二、问1-3；三、判定）；AUD-101-DB-18 §1.10；复核注记：是（复核覆盖成稿：定级 P1，并给出升 P0 的唯一触发条件）
A1-042,photometry.irls_tolerance_dex,容差,1e-06,dex,生产,eng/packaging/config/defaults.json:583；docs/science/PHOTOMETRY.md:192；lib/algorithms/photometry/cpp/src/spatial_gain.cpp:43；lib/algorithms/photometry/cpp/src/star_matcher.cpp:27；eng/packaging/config/defaults.json；lib/algorithms/photometry/cpp/src/star_matcher.cpp:26；docs/science/PHOTOMETRY.md:126,待确认（未给浮点精度或收敛速率推导）,docs/science/PHOTOMETRY.md:192（tol=1e-6）；锚点正确【保守方向·回填自判读件】**部分证伪机械层结论**：队列记作『同一 IRLS 收敛门两处取值差 3 个数量级』，读码后不成立——spatial_gain.cpp:43 注释明确 1e-9 判的是**系数增量**收敛（原文：系数是 dex/单位坐标的量），star_matcher.cpp:27 的 1e-6 判的是标量 location ⇒ 两个不同判据而非同门两值。真问题改档为：(a) 1e-9 这条生产在用的空间增益收,测光 IRLS 收敛,红（判读层立案 X-5/U-4｜AUD-402-判读-A1 X-5）：两条门分别判不同量（spatial_gain.cpp:43 的 1e-9 判系数增量、star_matcher.cpp:27 的 1e-6 判标量 location），1e-9 四面无登记，且文档与代码把 1e-6 记成两个不同的量,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-043,pixel_area_power,常数,"A 侧（幂次语义）{-2, -4, +4}：signal_sb=-2、sb_variance_out=-4、sb_ivar_out=+4；B 侧（分类语义）enum [-2, 0]",无量纲幂次,生产,eng/contracts/schemas/unified/variance.schema.json:103；eng/contracts/data/v6_clause_registry_v1.json:2902；docs/contracts/DATA_SEMANTICS.md:3223（补侧·本行出处所列，该侧带值）；eng/contracts/schemas/product_family_field_constraints.schema.json:242（补侧·本行出处所列，该侧带值）；eng/ci/check_product_contract.py:73（补侧·本行出处所列，该侧带值）；docs/contracts/unified_object_registry.json:25（补侧·本行出处所列，该侧带值）；lib/infrastructure/aio/v6/src/v6_bunit,有文献（两侧都是机器合同事实源）,"docs/contracts/DATA_SEMANTICS.md:3223-3225/:3249/:3250；eng/contracts/data/v6_clause_registry_v1.json:2902-2909；eng/contracts/schemas/product_family_field_constraints.schema.json:242-246/:253-257；eng/ci/check_product_contract.py:73-81/:642-645；eng/contracts/schemas/unified/{variance,ivar,signal,depth_m5,frame_snr,source_snr,sparse_snr_layer,point_information}.schema.json:94-109；docs/contracts/unified_object_registry.json:25；lib/infrastructure/aio/v6/src/v6_bunit.cpp:242-253；lib/infrastructure/aio/v6/src/v6_provenance.cpp:167-170【缺输入：判读层与第②层均未给保守取值方向】",统一对象合同 units 域,红：同一键名在两份机器合同里值集不相交（A 侧要求 −4/+4，B 侧 enum 只容 −2/0），任一侧落地必在另一侧判红；另有 5 份 unified schema 把该键 pin 成 const 0，其 allOf 三支 if-then 在自身 properties 约束下永不可满足 ⇒ 文档点名成「机器强制」的出处是死规则且 pin 值与文档所述相反,是（第②层复核改判）,复核-合同层 W1（覆盖成稿 AUD-101-DB-06-07 A-2/A-3）；复核注记：是（复核-AUD204 W1 定 P1，并订正成稿三处不完整/不实；「取哪一侧」属负责人已登记的像素面积幂次待裁事项）
A1-044,planar/spherical 分支阈,容差,max_angle < 1e-3 rad（= 206.3″）,rad,生产,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1644,公式导出（二阶式），但选支阈本身无登记,AUD-204 t7_planar_branch_delta.py 表；drizzle_engine.cpp pixel_area 经 polygon_area_consistent 按未收缩四角自判、drop_area 按收缩后自判【缺输入：判读层与第②层均未给保守取值方向】,创新点④ 面积例程选支,红：分支混用 ⇒ pf<1 且 θ_pixel 跨 206.3″ 时 pixel_area 与 drop_area 取自不同例程，sumNorm 的 pixel_area/drop_area 出现 ~9e-8 量级口径跳变（θ=210/pf=0.8 时 δ 由 1.87e-7 换到 9.33e-8）,是（第②层独立复核）,AUD-204-面积交叠核验 AUD204-09；复核注记：是（本机复算）
A1-045,precision.default,容差,fp64,"枚举 id {fp32,fp64}",生产,eng/packaging/config/defaults.json:625；docs/science/SCIENCE_SCOPE.md:91-93；lib/infrastructure/scheduler/src/module_adapters.cpp:13519；lib/phase3_session/p3_session.cpp:126；lib/infrastructure/scheduler/src/module_adapters.cpp:7507-7520；ASTROCS_DESIGN.md；eng/packaging/config/defaults.json:635；eng/ci/ledgers/dead_config_keys.json；docs/science/SCIENCE_SCOPE.md:94,待确认（注册值与权威口径实质不符）,真锚 docs/science/SCIENCE_SCOPE.md:91-93（稠密发布面 FP32、稀疏/元数据全程 FP64、计算与承载分离）；注册件所引 :56 讲的是『污染幅度未被定量确认』，与本键无关 ⇒ 注册值『默认 FP64』是对权威的过度简化【保守方向·回填自判读件】**多侧不一致（本队列最重一条之一）**：注册 fp64｜CLI/模板 normalize 侧 precision_mode=1（=FP64，但必须显式，无默认）｜Phase3 生产实现缺省 bitpix=**-32（FP32）**：module_adapters.cpp:13519、:13726、p3_session.cpp:126、:391 四处写 -32｜lib 对 precision.de,全链路精度口径,红（判读层立案 F-7｜AUD-402-判读-A1 §2.1 F-7；X-12）：四面互不相同：注册 fp64／normalize 面 precision_mode enum 必须显式／mosaic·export 面 precision required 无 default 且 export 模板不含该键／Phase3 实现缺省 bitpix=-32（FP32，四处）／死键台账自认『阶段二当前没有任何被消费的精度键』⇒ 一个声明默认＋一个相反实现缺省＋一个必须显式＋一个死键,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-046,schema 侧 default/min/max 是否被取,算法,只取 $defs.*_config.properties 的键名，不取 default/minimum/maximum,—,生产,,不适用,AUD-402-判读-A1 §1 表第⑤行；F-4/F-6 两案【缺输入：判读层与第②层均未给保守取值方向】,noise 族 14 键的实际生效值判定,红（判读层立案 A1 §1）：schema 断言「default ∈ 值域」缺位（U-19 修法）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1 §1；§3 U-19；U-19
A1-047,sigma_floor,常数,0.02（本行）；同符号生产侧 1e-3,ADU（σ 标度，非 ADU²）,测试/实验,eng/tests/backend/syn008_seam_main.cpp:105；docs/contracts/DATA_SEMANTICS.md:2086；lib/algorithms/coverage/include/astro/phase2/upm.h:83；lib/algorithms/coverage/src/upm.cpp:273；lib/algorithms/coverage/include/astro/phase2/stage2_common.h:60；lib/algorithms/coverage/src/stage2_common.cpp:169；eng/tests/validation/release02/fix_p2a_seam_oracle/p2a_oracle.cpp:134；docs/algorithms/PHASE2_SESSION.md:142；src,C（合同/算法文档登记 1e-3；本行 0.02 无任何登记）,唯一数值源：docs/contracts/DATA_SEMANTICS.md:2086（冻结 1e-3）＋ lib/algorithms/coverage/include/astro/phase2/upm.h:83、src/upm.cpp:273/:292；测试侧 0.02 = 无,"UPM 观测降权路径 sigma_eff=max(|unc|,sigma_floor)",红（判读层立案 BD1-L2｜AUD-402-判读-BD1 §1.1 L2）：三侧并列 1e-3（docs 冻结＋upm.h:83＋stage2_common.h:60＋5 个 coverage/*.json＋兜底）／0.02（syn008 测试）／1e8（p2a_oracle）；另同符号单位两说（DATA_SEMANTICS:2086『σ（ADU）』vs PHASE2_SESSION.md:142『面亮度 ADU·sr⁻¹』）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
A1-048,sigma_residual 的「不可估计」编码,容差,0.0,dex,生产,lib/algorithms/photometry/cpp/src/star_matcher.cpp:615；lib/algorithms/photometry/cpp/src/star_matcher.cpp:621；docs/science/PHOTOMETRY.md:191（补侧·本行出处所列，该侧带值）,无来源（0 兼表「完美」与「不可估计」两义，区分只活在注释）,star_matcher.cpp:614 注释自证；docs/science/PHOTOMETRY.md:191/§3/§8 无具名不可估计值【缺输入：判读层与第②层均未给保守取值方向】,测光标定质量门,红：唯一消费门 P1_PHOT_MAX_SIGMA_DEX=1.0 只卡上界与有限性 ⇒ 假绿通道（fail-open）,是（第②层独立复核）,AUD-201-测光核验 AUD201-011；复核-AUD201 V5；复核注记：是（复核-AUD201 V5）
A1-049,sigma_sky_source 的择一（生产写死）,算法,SNR_SIGMA_SKY_EMPIRICAL_TOTAL_RMS（无条件赋值）,枚举,生产,lib/infrastructure/scheduler/src/module_adapters.cpp:7159；docs/plugins/algorithms_phase1/07_noise_snr.md:118（补侧·本行出处所列，该侧带值）；docs/science/NOISE_MODEL.md:223（补侧·本行出处所列，该侧带值）,有文献（§4.2a 决策树与 §5c 主路径为本仓 SCI 条文）＋代码接线事实,module_adapters.cpp:7159 赋值、:7151 noise_sigma 入参、:7130-7136 upper_bound_no_gain（此点证真）；docs/plugins/algorithms_phase1/07_noise_snr.md:118-122；docs/science/NOISE_MODEL.md:223-242【缺输入：判读层与第②层均未给保守取值方向】,跨帧绝对 SNR（创新点②）,红：设计本意分支在生产不可达，择一由接线层写死而非由声明面决定,是（第②层独立复核）,AUD-202-SNR核验 AUD202-005；复核注记：是（CONFIRMED）
A1-050,snr.gain_e_per_adu 的默认,常数,0.0（配置缺省⇒未知）,e⁻/ADU,生产,lib/infrastructure/scheduler/src/module_adapters.cpp:6794；docs/science/NOISE_MODEL.md:239（补侧·本行出处所列，该侧带值）,无来源（defaults.json 与出厂模板均无 snr.gain_e_per_adu 默认值登记 ⇒ 四侧默认缺位形态）,phase_config_normalize.schema.json:229；module_adapters.cpp:6794；docs/science/NOISE_MODEL.md:239-240【缺输入：判读层与第②层均未给保守取值方向】,SNR 口径选择,红：键有语义、有消费点，但无任何默认侧登记,是（第②层独立复核）,AUD-202-SNR核验 AUD202-005；复核注记：是
A1-051,sparse_snr.density,常数,null,点/度²,生产,eng/packaging/config/defaults.json:681；docs/plugins/algorithms_phase1/07_noise_snr.md:112-113；ASTROCS_DESIGN.md；eng/packaging/config/defaults.json:688,无来源（GAP-024 显式挂起，禁止编造）,docs/plugins/algorithms_phase1/07_noise_snr.md:112-113 默认列为 ——（合规的无值登记）；ASTROCS_DESIGN.md §3.3 点名该字段应存在；pending_task=SCI-RES-01/R-001,Phase1 稀疏 SNR 层,红（判读层立案 F-9/U-14｜AUD-402-判读-A1 §2.1 F-9）：同一物理量两种表述并存（点/度² 与 px），且 schema 描述仍写已作废的 ℓ=48,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1；R-001
A1-052,sys_io_wait_seconds,常数,0.0,秒（系统级 iowait 累计）,生产,lib/infrastructure/cli/monitor.h:84；lib/infrastructure/cli/resource_recorder.h:70；lib/infrastructure/cli/commands.cpp:1072；lib/infrastructure/cli/resource_gate.h:182；docs/plugins/infrastructure/21_observability.md:124；lib/infrastructure/cli/monitor.h；lib/infrastructure/cli/resource_gate.h,不适用（结构性常数：初值）——**但该 0 在生产判定面会被当合法值用**（见备注）,采集 :189-207；消费链 :367-369 → resource_recorder.h:70 → commands.cpp:1072 事件 io_wait_pct【缺输入：判读层与第②层均未给保守取值方向】,resource 事件 io_wait_pct 与横切判据 io_wait_high（后者因未接线恒不触发）,红（判读层立案 L-10/§2.6｜AUD-402-判读-A3 §2.6；判读-A2 §3.1 L-10）：iowait_percent 初值 0.0 在生产侧从未被赋值（lib 内零赋值点）⇒ :326 IoWaitHigh 恒不触发、:368 的 iowait<5 腿恒真；与 21_observability.md:124『证据缺失一律 fail-closed 判 FAIL』相悖；同结构 :183 却如实标 -1 哨兵,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-10
A1-053,threshold_seconds,容差,5.0,s,生产,lib/infrastructure/cli/resource_events.h:84；docs/plugins/algorithms_phase1/07_noise_snr.md；lib/infrastructure/cli/resource_gate.h:336,无出处（引用指针悬空）,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档,生产可达：commands.cpp:675 is_stage_priority 只传两参 ⇒ 恒取本默认 5.0,红（判读层立案 CL-5S｜AUD-402-判读-A3 §2.2）：同一语义两制：契约 applicability 只规定『严格 >10 s』，5.0 s 是契约外第二判定域；三处重复（resource_events.h:84／resource_gate.h:336／:397） ∥ 红（判读层立案 CL-5S｜AUD-402-判读-A3 §2.2）：5.0 s 字面量，契约无该键；与 resource_events.h:84、resource_gate.h:397 同值三写 ⇒ 唯一数值源被绕过,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-054,win,常数,0.5 ｜ 0.0,s,生产,lib/infrastructure/cli/commands.cpp:782；lib/infrastructure/cli/resource_gate.h:241,不适用（非科学量）；属 epsilon 型保护，按标准 02 §3 须给数值来源,—（比较用的哨兵/零值守卫，不是判据阈值）；无（行内未说明为何取 0.5 而非一个采样周期派生值）【缺输入：判读层与第②层均未给保守取值方向】,CLI 诊断判定,红：判读层把同一符号按位点分行登记，取值不等（commands.cpp:782=0.5；resource_gate.h:241=0.0）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1；AUD-402-判读-A3
A1-055,zero_anchor_weight / rank_rtol / smoothing_lambda,容差,1e-3 ／ 1e-10 ／ 0.3,无量纲,测试/实验,lib/algorithms/coverage/src/sky_plane.cpp:463；docs/science/PHASE2_UPM.md（补侧·本行出处所列，该侧带值）；eng/tests/backend/syn008_seam_main.cpp:103（补侧·本行出处所列，该侧带值）,C（仅仓内文档陈述；三值本身无登记侧）,sky_plane.cpp:463（rank_rtol=τ）；docs/science/PHASE2_UPM.md §5/§7；BD1 同簇合并覆盖 syn008_seam_main.cpp:103-105 的 7 个数值位点【缺输入：判读层与第②层均未给保守取值方向】,Phase2 UPM 求解,红：同簇三常数在 defaults/schema 无登记，仅靠结构体默认,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1 §3 同簇合并；AUD-203-天光无缝核验 AUD203-09
A1-056,§3.5 与 §6.x 权威指针,算法,写作「ASTROCS_DESIGN.md §3.5」的引用实测 31 处/24 文件；CLI 族 §6.1-6.3 应为 §7.1-7.3,条款号,生产,lib/infrastructure/cli/module.yaml:28；lib/infrastructure/cli/parser.cpp:428；eng/packaging/config/runtime_resources.json:5（补侧·本行出处所列，该侧带值）；eng/contracts/resource_gate_v1.json:76（补侧·本行出处所列，该侧带值）；lib/infrastructure/cli/disk_gate.h:4（补侧·本行出处所列，该侧带值）；lib/infrastructure/cli/jsonl.h:3（补侧·本行出处所列，该侧带值）,无来源（指向不存在的节）,三个 phase_config_*.schema.json 的 authority 数组、defaults.json:7/:22、filters.json:7、runtime_resources.json:5、resource_gate_v1.json:76/:89、disk_gate.h:4、module.yaml:3/:28/:34、jsonl.h:3、parser.cpp:428/:487【缺输入：判读层与第②层均未给保守取值方向】,出处列能否填（合同面含 5 个机器合同文件）,红（判读层立案 A2 L-09）：两类错位均已定位到正确号；resource_gate_v1.json:76 同时写 §3.5 与 §6.3 两个错号；parser.cpp 属「号对内容错」第三种形态,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.4 L-09；L-09
A1-057,§8.3 判据表与 evaluate_gate 的判据集合,算法,§8.3 列 ①-⑦ 七项；代码另能返回 8 类诊断,条,生产,docs/plugins/infrastructure/21_observability.md:53；lib/infrastructure/cli/resource_gate.h:268,无来源（判据集合不闭合）,docs/plugins/infrastructure/21_observability.md §8.3；resource_gate.h evaluate_gate【缺输入：判读层与第②层均未给保守取值方向】,资源门可复核性,红（判读层立案 A3 §2.5 L18）：§8 判据表与代码的判据集合不闭合,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3 §2.5 L18；L18
A1-058,「07 §1..§6」资源判据族,算法,悬空指针（27 处/5 文件）,条款号,生产,lib/infrastructure/cli/resource_gate.h:1；lib/infrastructure/cli/memory_growth.h:1；lib/infrastructure/cli/resource_events.h:8（补侧·本行出处所列，该侧带值）；lib/infrastructure/cli/commands.cpp:624（补侧·本行出处所列，该侧带值）；lib/infrastructure/cli/monitor.h:2（补侧·本行出处所列，该侧带值）；docs/plugins/infrastructure/21_observability.md（补侧·本行出处所列，该侧带值）,无出处（引用指针指向跟踪集里不存在也不曾被跟踪的文档）,resource_gate.h:1/8/15/48/53/174/177/310/328/335/404；resource_events.h:8；commands.cpp:624/726/786/916；monitor.h:2/333/394；memory_growth.h:1/14/20；21_observability.md §8.6 把三面规定为同一判据的等价实现【缺输入：判读层与第②层均未给保守取值方向】,整条资源判据族的出处,红（判读层立案 A3 §2.5 L5／A2 L-13）：该判据族没有任何跟踪中的文档出处，也不在 §8 判据表与契约里；V7 04_CPU_RESOURCE_TASKS 在跟踪集 0 命中,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3 §2.5 L5；判读-A2 §3.4 L-13；L-13；L5
