编号,符号或键,出处原文,解析出的锚数,锚样例
A2-114,rejection.minmax.min_kept,docs/science/REJECTION.md:120（minmax: reject_low 1 / reject_high 1 / min_kept 4）；注册件 source :60（方法名列表行）与 source_ref :166,1,docs/science/REJECTION.md:120
A2-115,rejection.percentile.high,docs/science/REJECTION.md:119,1,docs/science/REJECTION.md:119
A2-116,rejection.percentile.low,docs/science/REJECTION.md:119（percentile: low 0.2 / high 0.1）与 :64（4<=n<=5 档路由）；注册件 source 引 :59（空行）而 source_ref 又引 :166,1,docs/science/REJECTION.md:119
A2-117,rejection.sigma.lower_sigma,docs/science/REJECTION.md:116（sigma/winsorized/averaged: 4.0/3.0/8）；注册件所引 :97 是 WBPP 档界叙述行、source_ref 又写 :68（该处无此值）⇒ sou,1,docs/science/REJECTION.md:116
A2-118,rejection.sigma.max_iterations,docs/science/REJECTION.md:116（第三位 8）,1,docs/science/REJECTION.md:116
A2-119,rejection.sigma.upper_sigma,docs/science/REJECTION.md:116（同表；注册件 :97/:68 双锚均不含值）,1,docs/science/REJECTION.md:116
A2-120,rejection.winsorized.lower_sigma,docs/science/REJECTION.md:116,1,docs/science/REJECTION.md:116
A2-121,rejection.winsorized.max_iterations,docs/science/REJECTION.md:116（第三位）,1,docs/science/REJECTION.md:116
A2-122,rejection.winsorized.upper_sigma,docs/science/REJECTION.md:116,1,docs/science/REJECTION.md:116
A2-123,(无名)·lib/infrastructure/cli/session_commands.h:272,导出式 crpix=(1+W)/2（FITS 1-based）配本模板 W=H=1024 ⇒ 512.5；缺省语义 = 中心，出处 14_projection.md:35 + schema:247-258,1,14_projection.md:35
A2-124,A_cell（HEALPix 叶面积）,aio_hips_writer.cpp:1212；AUD204-02,1,aio_hips_writer.cpp:1212
A2-125,F_syn 合成通量积分式,docs/science/PHOTOMETRY.md:44（§2a.1）、:55；AUD-201 §1 与 AUD201-002；hc=1.986445857e−16 J·nm 数值闭合,1,docs/science/PHOTOMETRY.md:44
A2-126,_MAD_SCALE（1/Φ⁻¹(3/4)）,docs/science/PHOTOMETRY.md:34/:296（1.482602218505602 与之差 0）；star_matcher.cpp:21；四位截断 0.6745 偏差 +1.5196382e−05 与正本吻合,2,docs/science/PHOTOMETRY.md:34; star_matcher.cpp:21
A2-127,cosmetic.bad_column_variance_kappa,真锚 docs/contracts/DATA_SEMANTICS.md:330-331（§10.5 传播式 var=(Σw^2·var)·κ，单列两邻 Σw^2=1/2，κ>1 补偿插值相关，不做补偿会使修复像素 SNR 系统性偏高量级约 ,2,docs/contracts/DATA_SEMANTICS.md:330; defaults.json:815
A2-128,definition 换算常量（正例集）,monitor.h:233；memory_report.h:481；process.cpp:106；monitor.h:447 与 memory_growth.h:87,5,monitor.h:233; memory_report.h:481; process.cpp:106
A2-129,expect_zp,docs/science/PHOTOMETRY.md:355（m = ZP_k − 2.5·log10 F，星等只按表达层现场派生）；同式镜像 :27/:33/:214/:404,1,docs/science/PHOTOMETRY.md:355
A2-130,gain_variance,公式锚：docs/science/NOISE_MODEL.md:32（§5c 加权方差面输入）与实现 lib/algorithms/noise_snr/cpp/src/noise_model.cpp（snr_noise_gain_varia,1,docs/science/NOISE_MODEL.md:32
A2-131,hips.tile_width,docs/science/PHASE3_HIPS_TO_FITS.md:17（符号表 hips_tile_width tile 宽 W 默认 512=2^9）与 :130（properties 必需键）；**注册件所引 :41 是 §4 输,1,docs/science/PHASE3_HIPS_TO_FITS.md:17
A2-132,kGaussFwhmFactor,2√(2·ln2) 的双精度值（本机复算见 md 命令）；仓内锚 lib/algorithms/noise_snr/cpp/src/snr_science.cpp:48-50 与 :15/:22（同名常数与用途）、docs/algorith,3,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:48; docs/algorithms/STAR_DETECTION_ALGORITHMS.md:97; docs/science/STAR_DETECTION.md:104
A2-133,noise.mask_budget_min_sky,docs/science/NOISE_MODEL.md:98-99（(1.44/0.015)^2=9216；SE≈1.44/sqrt(N) 由 c≈1.152/sqrt(N) 与中位数效率 1.25 导出）；:100-101 另警告该量是相,1,docs/science/NOISE_MODEL.md:98
A2-134,noise.mask_fwhm_floor_scale,docs/science/NOISE_MODEL.md:96（同式一项）；**0.75 与 PSF 核心覆盖的关系全仓无推导**（既未写 0.75·FWHM 覆盖多少能量，也未给 Moffat/Gaussian 的等效半径式）,1,docs/science/NOISE_MODEL.md:96
A2-135,noise.mask_radius_scale,docs/science/NOISE_MODEL.md:97（=60 的合式），拆分 10·6 的 6 无任何权威陈述（docs/algorithms/NOISE_ESTIMATION.md:134 只是实现锚）,2,docs/science/NOISE_MODEL.md:97; docs/algorithms/NOISE_ESTIMATION.md:134
A2-136,pred_doublecount_bias（解析值）,实验/absolute-snr/code/b2_noise_terms.py:105；AUD202-012 表,1,实验/absolute-snr/code/b2_noise_terms.py:105
A2-137,scale_deg,IVOA REC-HIPS-1.0 §4.4.1（hips_pixel_scale 单位=度，见 :151-152 注释与 lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1827）；,1,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1827
A2-138,|J| = pi/3（chart→球面面积雅可比）,实验/healpix-polar/code/polar_common.h:136-196 chart_uv_to_ang；AUD204-02；docs/algorithms/DRIZZLE_GEOMETRY.md,1,实验/healpix-polar/code/polar_common.h:136
A2-139,σ_i² 逐像素噪声组成式,docs/science/NOISE_MODEL.md:324；docs/plugins/algorithms_phase1/07_noise_snr.md:110；snr_science.cpp:200-202/:198,3,docs/science/NOISE_MODEL.md:324; docs/plugins/algorithms_phase1/07_noise_snr.md:110; snr_science.cpp:200
A2-140,cosmetic.bad_column_master_wide_frac_max,source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 ⇒ 同 sigma_master：**不在跟踪集**；defaults.json:829 与 :835 记录了标定现象（阈值微调下仅标记列数在 0 与 1,2,run/LINDEF-CLOSE-01/REPORT.md:1; defaults.json:829
A2-141,cosmetic.bad_column_sigma_master,source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 —— run/* 在 .gitignore:17 ⇒ **该文件不在跟踪集**（git ls-files 对 LINDEF 零命中），代码注释 modul,2,run/LINDEF-CLOSE-01/REPORT.md:1; module_adapters.cpp:2805
A2-142,稀疏/稠密内存读数,实验/additive-sky-seamless/README.md:211（§4.6 E3）；results/c6_sparse_dense.json:upm_memory；gates.rows[2] E3_rss_scales_with,1,实验/additive-sky-seamless/README.md:211
A2-143,(无名)·lib/infrastructure/cli/session_commands.h:258,schema 只给 exclusiveMinimum 0（#/$defs/scale_deg_per_px:324-327），无 default；出厂模板 export.phase_config.json:11 同值 0.001 ⇒ 两侧一,1,export.phase_config.json:11
A2-144,HP_ADAPTIVE_MAX_DEPTH,spherical_overlap.cpp:543-617 注释与常量【缺输入：判读层与第②层均未给保守取值方向】,1,spherical_overlap.cpp:543
A2-145,Pipeline IR 版本串,runtime_client.cpp:118；对照 VERSION:1=0.1.0-alpha.1 与 CMakeLists.txt:15 三侧一致（那是包版本，非 IR 版本）【缺输入：判读层与第②层均未给保守取值方向】,1,runtime_client.cpp:118
A2-146,calibration.dark_light_exposure_tolerance,"无（注册件 source 记『负责人裁决 2026-09-16』，source_ref=null；docs/science/CALIBRATION.md:19,21 只有 K 语义无数值，本仓实测该文档内无 5 s）",1,docs/science/CALIBRATION.md:19
A2-147,kMaxSpatialAmplitudeDex,spatial_gain.cpp:49 定义、:521 判定、:494-497 自述；defaults.json 无该键；UNRESOLVED 台账零命中【缺输入：判读层与第②层均未给保守取值方向】,1,spatial_gain.cpp:49
A2-148,kZPsyn,"注释 :112（""取自 L4 t2_m1_red 的 Gaia XPSD 拟合量级""）；同族 kK1=6.272203e-17/kK2=5.685037e-17（:113-114）同源，另见 eng/tests/unit/p1001_rea",1,eng/tests/unit/p1001_real_nodes_test.cpp:4649
A2-149,max_recip 的真判据 5e-3,p1001_real_nodes_test.cpp:3261（判据）、:3241/:3063（同名的两个累加器）【缺输入：判读层与第②层均未给保守取值方向】,1,p1001_real_nodes_test.cpp:3261
A2-150,oom_frac,"无。docs 侧 0.85 全部命中 CPU 利用率判据（docs/ci/03_GATES.md:62、CI_SPEC.md:210、PERF_GATE_CONTRACT.md:12）与 PS1 PSF_QF 文献值，均与接近 OOM""无关",3,docs/ci/03_GATES.md:62; CI_SPEC.md:210; PERF_GATE_CONTRACT.md:12
A2-151,rejection.esd.alpha,docs/science/REJECTION.md:118（ESD: alpha 0.05 / max_outliers 10）与 :284『alpha=0.05/max_outliers=10 为 Project-defined 采纳值，,1,docs/science/REJECTION.md:118
A2-152,rejection.esd.max_outliers,docs/science/REJECTION.md:118/:284【保守方向·回填自判读件】同簇（与 alpha 共用 :118/:284 出处，共 2 行）：10 是绝对数而与 Phase2 典型贡献帧数 n 无关 ⇒ n<10 时该上,2,docs/science/REJECTION.md:118; rejection.cpp:1253
A2-153,scalar_gate.rd,docs/plugins/algorithms_phase1/07_noise_snr.md:61 默认列与单位列均为 ——；pending_task=SCI-RES-01/R-002【保守方向·回填自判读件】单位字段写 unspecifi,2,docs/plugins/algorithms_phase1/07_noise_snr.md:61; 07_noise_snr.md:76
A2-154,scalar_gate.trend,docs/plugins/algorithms_phase1/07_noise_snr.md:62（scalar_gate_trend 行，默认与单位列均为 ——）；pending_task=SCI-RES-01/R-002【保守方向·回填,1,docs/plugins/algorithms_phase1/07_noise_snr.md:62
A2-155,tol,无。可类比登记：docs/standards/NUMERIC_STANDARD.md:68-71 为 1e-12 做过量纲级论证（variance_floor 与 float32 可表示性），但该论证属**方差地板**，不覆盖比较器【保守方,1,docs/standards/NUMERIC_STANDARD.md:68
A2-156,峰值时刻定位用相等比较,memory_report.h:510-512；U-06 立案,1,memory_report.h:510
A2-157,报告自校验对 v2 增量字段,memory_report.h:593-594；U-05 立案【缺输入：判读层与第②层均未给保守取值方向】,1,memory_report.h:593
A2-158,观测开销不影响性能预算的承诺,docs/plugins/infrastructure/21_observability.md:8；U-08 立案【缺输入：判读层与第②层均未给保守取值方向】,1,docs/plugins/infrastructure/21_observability.md:8
A2-159,(无名)·lib/infrastructure/acr/schemas/compute_config.example.yaml:21,同上一行（memory_budget.hpp:24 ＋ KNOWN_LIMITATIONS.md:62；与 :20 共用一条出处，共 2 行）,1,KNOWN_LIMITATIONS.md:62
A2-160,(无名)·lib/infrastructure/cli/commands.cpp:925,推导在 lib/infrastructure/cli/resource_gate.h:136-141（利用率判据只在计算区间超过 10 s 时成立 ⇒ 工作量下限 10 核·秒=10 线程秒），并以契约常量 kMon003MinCoreSe,1,lib/infrastructure/cli/resource_gate.h:136
A2-161,(无名)·lib/infrastructure/cli/commands.cpp:974,阈值来源 = resource_gate_contract::kPerSampleUtilizationMinPercent（经 resource_gate.h:126-127 具名引入，注释记 单样本 >=0.85）；:124 并记『旧 ,1,resource_gate.h:126
A2-162,(无名)·lib/infrastructure/cli/commands.cpp:978,阈值来源 = resource_gate_contract::kQueueLowUtilizationPercent（resource_gate.h:132-133，注释记 0.60）,1,resource_gate.h:132
A2-163,(无名)·lib/infrastructure/cli/memory_report.h:599,哨兵约定（-1 未采样、合法值 0–1）由 :6-8/:78/:82 定义；memory_report.h:6-8/:78/:82；test_p2007_joint_gate.py:266 断言 -1.0 语义,2,memory_report.h:6; test_p2007_joint_gate.py:266
A2-164,(无名)·lib/infrastructure/cli/module.yaml:27,ASTROCS_DESIGN.md:71 ### 1.2 三个命令，三个独立产品（与括号内自述「三命令平级、禁止隐式串接」相符）,1,ASTROCS_DESIGN.md:71
A2-165,(无名)·lib/infrastructure/cli/monitor.h:351,monitor.h:347-351 算法注释；:88「未观测哨兵」纪律,1,monitor.h:347
A2-166,(无名)·lib/infrastructure/cli/monitor.h:354,:347-354 算法；下游 commands.cpp:1069 per_thread_cpu_max_pct,1,commands.cpp:1069
A2-167,(无名)·lib/infrastructure/cli/parser.cpp:428,ASTROCS_DESIGN.md §3.3（:237）实为「科学量与星表」，其正文四条分别是五件事口径、精度归属、HEALPix/帧哈希、星表只本地——**不含块形态**；块形态权威 = §4.3 输入合同（JSON 数据块），且这一归属,1,docs/contracts/CONFIG_CONTRACT.md:14
A2-168,d_per_thread_cpu_max_seconds,monitor.h:86-91 注释＋:349-354 区间增量算法；消费点 commands.cpp:1069 per_thread_cpu_max_pct,2,monitor.h:86; commands.cpp:1069
A2-169,fwhm_px,单位与换算口径：lib/algorithms/noise_snr/cpp/include/snr_estimator.h:325（fwhm_px = 检测块高斯 FWHM = 2.3548200450309493·sigma）＋ docs/,2,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:325; docs/science/STAR_DETECTION.md:104
A2-170,gain,单位锚 docs/science/NOISE_MODEL.md:32/§44；数值 2.0 无出处（也不需要）,1,docs/science/NOISE_MODEL.md:32
A2-171,gain_e_per_adu,"docs/science/NOISE_MODEL.md:32/:44（gain: e-/ADU）；本文件 :94-97 引 §9.41 负责人裁决要求""真实物理噪声过程（电子域 Poisson + 读出 Gaussian + 增益量化到 A",1,docs/science/NOISE_MODEL.md:32
A2-172,hips_pixel_scale,412.258369 的正当出处＝nside=512 叶像素**角秒**尺度：3600·(180/π)·√(π/3)/512，登记于 lib/infrastructure/aio/include/aio_hips.h:93-96（用于 SC,2,lib/infrastructure/aio/include/aio_hips.h:93; docs/algorithms/HIPS_WRITER.md:222
A2-173,intra_snr（Phase2 帧内项）,weight_chain.cpp:714 double intra = 1.0、:739、:779；module_adapters.cpp:11534 in.sparse=nullptr,2,weight_chain.cpp:714; module_adapters.cpp:11534
A2-174,kMemoryBudgetPercentMin,确认不进科学语义：只做区间校验端点；唯一消费链 = eng/packaging/config/runtime_resources.json:17（memory_budget_percent=95）→ 根 CMakeLists.txt:162,1,eng/packaging/config/runtime_resources.json:17
A2-175,per_thread_cpu_max_seconds,:316-319 由 thread_cpu 聚合；下游 commands.cpp:1069；—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,1,commands.cpp:1069
A2-176,photometric_scale_a,语义锚：docs/science/PHOTOMETRY.md:13（标度类别 photo_scaled_adu 与 α 换算式，引 docs/standards/NUMERIC_STANDARD.md）；合同侧 fail-closed 锚：,3,docs/science/PHOTOMETRY.md:13; eng/contracts/schemas/product_family_field_constraints.schema.json:3999; lib/algorithms/resample/p3_rsmp_failclosed.cpp:153
A2-177,q_low_run,同上（同簇）；其后续判据的阈值有契约单源（kMon001QueueWindowSeconds、kMon001QueueUtilMinPercent，resource_gate.h:130-133）；无（复位语义，无常数待出处）,1,resource_gate.h:130
A2-178,r_scaled,"半径硬上界 60 px 的唯一源链：docs/science/NOISE_MODEL.md:97/:368（rmax=max(1,r0)·max(1,scale)=60 px，MASK-002 导出链）→ docs/algorithms/N",3,docs/science/NOISE_MODEL.md:97; docs/algorithms/NOISE_ESTIMATION.md:144; eng/packaging/config/defaults.json:109
A2-179,read_noise_e,单位与语义有 A/C 锚：docs/science/NOISE_MODEL.md:44（read_noise_e: e-）、§5c 方差式；数值 5.0 本身无出处,1,docs/science/NOISE_MODEL.md:44
A2-180,reclaim_frac,:120 哨兵簇；:120 哨兵簇（本行是**赋值点**之一，另两处 :497 与初值 :232）；memory_report.h:6-8（哨兵纪律）＋:78/:82 枚举注释＋resource_gate.h:119-121 kMon001,6,memory_report.h:6; resource_gate.h:119; eng/tests/backend/test_p2007_joint_gate.py:266
A2-181,recs,同上（与 :769 同簇；10 s 判定域见 resource_gate.h:138-141 的 thread-seconds 推导）,1,resource_gate.h:138
A2-182,sigma_f,单位锚 docs/science/NOISE_MODEL.md:44（σ 类量 ADU）；本行不携带,1,docs/science/NOISE_MODEL.md:44
A2-183,sigma_logflux_dex,语义与单位：docs/science/NOISE_MODEL.md:323（sigma_location_se_dex ≈ 1.253·sigma_residual/√N_eff，1.253=√(π/2)）；docs/references/,3,docs/science/NOISE_MODEL.md:323; docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:58; lib/algorithms/noise_snr/cpp/src/snr_science.cpp:279
A2-184,sigma_sky_adu,单位锚 docs/science/NOISE_MODEL.md:44（σ_bg: ADU）；数值 40.0 无出处（无需）,1,docs/science/NOISE_MODEL.md:44
A2-185,snr,无（作为激励值无需出处；权重式见 docs/algorithms/PHASE2_UPM_IMPL.md:166）,1,docs/algorithms/PHASE2_UPM_IMPL.md:166
A2-186,cfg.reference_flux_adu（F_ref 逐帧参考通量）,"SNR链路核验报告.md:29（frame_snr = F_ref/σ_F(ref profile)，F_ref,k = 10^(−0.4(m_ref − ZP_k))，m_ref = 6.0）、:149 DEV-03、:168-169；复",4,SNR链路核验报告.md:29; 复核-AUD202.md:35; snr_science.cpp:201
A2-187,m_ref（参考星等档）,SNR链路核验报告.md:169『m_ref = 6.0 的常数出处四条链路的取证面均未登记（不判错，登记为共同缺口）』、:201（诚实边界表行「m_ref = 6.0 的出处｜四链取证面均未登记｜常数登记」）、:218（DEV-13 论证,3,SNR链路核验报告.md:169; 链路间口径对表.md:32; ipv_select.cpp:343
A2-188,"snr_noise_model_v1 背景方差场式 var(x,y)=a+b·x+c·y（场幂次=1）","复核-AUD202.md:35 V1(a) 表「A 的方差来源」行（snr_estimator.h:116 头注 = ""source-masked blank-sky 稳健方差""，场是 var(x,y)=a+b·x+c·y——自变量只有位置",4,复核-AUD202.md:35; snr_estimator.h:116; 链路间口径对表.md:42
A2-189,snr_estimator.cpp 逐源通量缺失兜底式 2πAσ²/3,AUD-202-SNR核验.md:124（:80 p.flux_adu = F（F = row[2] 即该星自己的通量；:75 缺失时用 2πAσ²/3 兜底））；SNR链路核验报告.md:149 DEV-03（snr_estimator.,5,AUD-202-SNR核验.md:124; SNR链路核验报告.md:149; snr_estimator.cpp:65
A2-190,出厂接缝门判据 max_e|rel_step| ≤ 1e-2,天光无缝核验报告.md:53（判据式与门值）、:87 T10（取证面）、:160 DEV-03（标定证据未入库）、:190（M42 侧唯一历史读数 7.2561e−3 = 门的 72.6%）；复核-AUD203.md:61 V2；AUD-2,2,天光无缝核验报告.md:53; 复核-AUD203.md:61
A2-191,REQUIRED_SELFTEST_CASES（出厂接缝门自检用例清单 S1–S9）,天光无缝核验报告.md:135（门自检用例 S1–S9｜REQUIRED_SELFTEST_CASES:163-173 缺一条即失败｜S5 注入 0 ⇒ 与基线逐条一致；S2 注入已知台阶⇒红；S3 旧 V4 同输入不动；S6 两侧噪声差 ,2,天光无缝核验报告.md:135; 复核-AUD203.md:95
A2-192,实验接缝判据窗口常数 base_win=64 / 挖除 ±(halfwin+2) / 基线 order=2,"复核-AUD203.md:62 V2（逐式转录）；天光无缝核验报告.md:159 DEV-02（sci_c_common.py:356-374,:377-410 去趋势＋off-locus）",3,复核-AUD203.md:62; 天光无缝核验报告.md:159; sci_c_common.py:356
A2-193,off-locus excess 判据 D = excess,"复核-AUD203.md:86,:91 V2（全仓 git grep 假阳性 只命中 README.md:181 与 REPORT_paper.md:236，那里的判据 D = excess；3e−5 不可能来自线性梯度）；天光无缝核验报告",4,复核-AUD203.md:86; README.md:181; REPORT_paper.md:236
A2-194,rmse_log_rho（σ 场实验度量，两侧中位数归一）,"复核-AUD202.md:333-334 V2/V5（度量定义与三臂来源面）；:350-354（被测物理量 = σ̂/σ 的相对形状，合同口径的交付量 = SNR_c = F_ref/σ_F,c（分子固定）；frame_median ≠ f",1,复核-AUD202.md:333
A2-195,reference_overlap 逐叶独立蒙特卡洛 oracle 容差,"复核-AUD204.md:401（唯一逐像素独立蒙特卡洛 oracle，1% tol；不注册 ctest；登记文字与三条红灯值）、:422,:428；面积交叠核验报告.md:139、:245、:196-197；UNRESOLVED清单 裁-",2,复核-AUD204.md:401; 面积交叠核验报告.md:139
A2-196,drizzle_science_completion_test 质心判据 ≤0.01 px（= 0.063″）,复核-AUD204.md:402（drizzle_science_completion_test（质心 ≤0.01 px = 0.063″，源文件 :386-401）｜否（在 DRZ_EXTRA_TESTS，:157-173 编入但不注册）,2,复核-AUD204.md:402; 面积交叠核验报告.md:139
