类型,符号或键,位点,现行值,机判档,赋值形态,该行原文
具名,sin_dec,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:559,-1.0,③未见于条文面,字面量硬编码·条文面零提及,if (sin_dec < -1.0) sin_dec = -1.0;
具名,F5,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:658,.4;.6;.6f,③未见于条文面,形态不明·需人工读用途,"fprintf(stderr, ""[snr_model] median(SNR_F)=%.6f F5=%.6g ADU m5=%.4g mag\n"","
具名,ra,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:689,.6f,③未见于条文面,声明行未见值（须读初始化处）,"fprintf(stderr, ""[snr_model] ctrl_point[%d]: ra=%.6f dec=%.6f """
具名,sum,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:74,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sum = 0.0;
具名,sum2,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:75,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sum2 = 0.0;
具名,out_sum_p2,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:89,0.0,③未见于条文面,字面量硬编码·条文面零提及,if (out_sum_p2) *out_sum_p2 = 0.0;
具名,out_p_center,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:90,0.0,③未见于条文面,字面量硬编码·条文面零提及,if (out_p_center) *out_p_center = 0.0;
具名,h,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:99,12.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,int h = (int)std::ceil(12.0 * fwhm_px);
具名,out_sum_p2,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:120,0.0,③未见于条文面,字面量硬编码·条文面零提及,*out_sum_p2 = 0.0;
具名,out_p_center,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:121,0.0,③未见于条文面,字面量硬编码·条文面零提及,*out_p_center = 0.0;
具名,var_f,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:170,0.0,③未见于条文面,字面量硬编码·条文面零提及,double var_f = 0.0;
具名,sum_p2,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:171,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sum_p2 = 0.0;
具名,p_center,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:172,0.0,③未见于条文面,字面量硬编码·条文面零提及,double p_center = 0.0;
具名,rn_term,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:178,0.0,③未见于条文面,声明行未见值（须读初始化处）,const double rn_term = (!rn_in_sky && p->read_noise_e > 0.0)
具名,sum,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:183,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sum = 0.0;
具名,var_f,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:206,0.0;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,var_f = (var_f > 0.0) ? (1.0 / var_f) : 0.0;
具名,var_f,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:209,0.0,③未见于条文面,字面量硬编码·条文面零提及,var_f = (sum_p2 > 0.0) ? (sig_sky * sig_sky / sum_p2) : 0.0;
具名,flux5_adu,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:217,5.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,out->flux5_adu = 5.0 * out->sigma_f_optimal_adu;
具名,r,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:220,0.0,③未见于条文面,声明行未见值（须读初始化处）,const double r = (p->aperture_radius_px > 0.0) ? p->aperture_radius_px
具名,var_ap,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:228,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double var_ap = n_pix * sig_sky * sig_sky * (1.0 + n_pix / n_sky);
具名,aperture_correction,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:232,0.0;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,out->aperture_correction = (f_in > 0.0) ? (1.0 / f_in) : 0.0;
具名,sigma_f_aperture_adu,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:234,0.0,③未见于条文面,字面量硬编码·条文面零提及,out->sigma_f_aperture_adu = (f_in > 0.0) ? (std::sqrt(var_ap) / f_in) : 0.0;
具名,m5_mag,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:241,2.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,out->m5_mag = p->zero_point_mag - 2.5 * std::log10(out->flux5_adu);
具名,out_m5_mag,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:261,2.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,*out_m5_mag = zero_point_mag - 2.5 * std::log10(f5);
具名,star_amp_scale,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:47,1.0,③未见于条文面,字面量硬编码·条文面零提及,double star_amp_scale = 1.0) {
具名,sigma2,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:60,2.3548200450309493,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double sigma2 = (fwhm / 2.3548200450309493) *
具名,sigma_gradient,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:78,0.0,③未见于条文面,字面量硬编码·条文面零提及,"unsigned seed, double sigma_gradient = 0.0) {"
具名,rel,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:133,.2;.4f,③未见于条文面,形态不明·需人工读用途,"""variance invariant: %.4f vs %.4f rel=%.2e (<1%%)"","
具名,rel,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:161,.2;.3f,③未见于条文面,形态不明·需人工读用途,"""var(αx)=α²var: got %.3f expect %.3f rel=%.2e (<2%%)"","
具名,rel,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:169,.2;.3,③未见于条文面,形态不明·需人工读用途,"""ivar scale law: got %.3e expect %.3e rel=%.2e (<2%%)"","
具名,rel,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:197,.2;.4f,③未见于条文面,形态不明·需人工读用途,"""background variance independent of star flux: %.4f vs %.4f rel=%.2e (<2%%)"","
具名,rp,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:224,5.0,③未见于条文面,声明行未见值（须读初始化处）,const double rp = m.ctrl_sigma[i] / 5.0;
具名,u,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:232,.1f,③未见于条文面,形态不明·需人工读用途,"""patch p95 coverage: %u/%u = %.1f%% (>=95%%)"","
具名,rel,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:263,.1f;.2f,③未见于条文面,形态不明·需人工读用途,"""Poisson+read: emp %.1f th %.1f rel=%.2f%% (<=5%%)"","
具名,r,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:315,0.1,③未见于条文面,字面量硬编码·条文面零提及,"const int r = snr_phot_cal_quality(0.1, 120, &q);"
具名,q1,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:352,.2;.4f,③未见于条文面,随输入算出（可导出，但须登记导出式）,"""q_psf pedestal-invariant: q1=%.4f q2=%.4f rel=%.2e (<1e-12)"","
具名,rc_leg,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:382,0.1,③未见于条文面,字面量硬编码·条文面零提及,"const int rc_leg = snr_extract_model(psf_leg, 1, 0.1, &wcs_leg, &m_leg);"
具名,want,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:385,1000.0;120.0;5000.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double want = (5000.0 - 1000.0) / 120.0;
具名,var_eq,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:407,4.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double var_eq = (s1 * s1 + s2 * s2) / 4.0;
具名,q,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:465,.1f,③未见于条文面,形态不明·需人工读用途,"""good fit q=%.1f > poor q=%.1f"", qg.q_psf, qp.q_psf);"
具名,r,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:495,.4f,③未见于条文面,形态不明·需人工读用途,"""empirical fallback ok (r=%d, source=%d, deg=%d, sigma=%.4f)"","
具名,cx,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:36,0.173;400.0;50.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double cx = 50.0 + col * 400.0 + 0.173;
具名,cy,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:37,0.421;400.0;50.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double cy = 50.0 + row * 400.0 + 0.421;
具名,fB,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:39,0.5f;1200.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float fB = 1200.0f + i * 0.5f;
具名,fA,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:40,5000.0f;7.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float fA = 5000.0f + i * 7.0f;
具名,fmad,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:41,120.0f;3.0f,③未见于条文面,声明行未见值（须读初始化处）,"float fmad = 120.0f + (i % 5) * 3.0f; // 历史名 fmad, 实为 residual_scale (f32 口径)"
具名,ffwhm,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:42,0.1f;4.5f,③未见于条文面,声明行未见值（须读初始化处）,float ffwhm = 4.5f + (i % 7) * 0.1f;
具名,dB,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:44,0.5;1200.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double dB = 1200.0 + i * 0.5;
具名,dA,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:45,5000.0;7.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double dA = 5000.0 + i * 7.0;
具名,dmad,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:46,120.0;3.0,③未见于条文面,声明行未见值（须读初始化处）,"double dmad = 120.0 + (i % 5) * 3.0; // 历史名 dmad, 实为 residual_scale"
具名,dfwhm,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:47,0.1;4.5,③未见于条文面,声明行未见值（须读初始化处）,double dfwhm = 4.5 + (i % 7) * 0.1;
具名,max_rel_snr,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:89,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double max_rel_snr = 0.0, max_ra = 0.0, max_dec = 0.0;"
具名,n,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:99,.3,③未见于条文面,形态不明·需人工读用途,"snprintf(name, sizeof(name), ""逐点 snr_psf 最大相对差 %.3e (<1e-5, n=%u)"","
具名,scientific_change,lib/algorithms/noise_snr/include/astrocs/noise/types.h:9,.003,③未见于条文面,形态不明·需人工读用途,"*           ALG-NOISE-001..003, 本迁移 scientific_change=false 生产源零改动)。"
具名,q,lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:51,0.0,③未见于条文面,字面量硬编码·条文面零提及,double q = 0.0;        /* ADU^-1 */
具名,c_tilde_C_c_tilde,lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:99,0.0,③未见于条文面,字面量硬编码·条文面零提及,double c_tilde_C_c_tilde = 0.0;   /* 用真实 C 计算 (ADU^2) */
具名,ideal_inv_w,lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:100,0.0,③未见于条文面,字面量硬编码·条文面零提及,double ideal_inv_w = 0.0;         /* 1 / W_true (ADU^2) */
具名,variance_ratio,lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:101,0.0,③未见于条文面,字面量硬编码·条文面零提及,double variance_ratio = 0.0;      /* c~^T C c~ / (1/W_true) = Var_approx / Var_true */
具名,var_f,lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:116,0.0,③未见于条文面,字面量硬编码·条文面零提及,double var_f = 0.0;    /* ADU^2 */
具名,sum_q,lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:117,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sum_q = 0.0;    /* ADU^-1 */
具名,cfg_present,lib/algorithms/noise_snr/src/module_entry.cpp:467,0.0,③未见于条文面,字面量硬编码·条文面零提及,c->cfg.use_gain_model = (d != 0.0) ? 1u : 0u; c->cfg_present = 1; }
具名,cfg_present,lib/algorithms/noise_snr/src/module_entry.cpp:469,0.0,③未见于条文面,字面量硬编码·条文面零提及,c->cfg.enable_spatial_field = (d != 0.0) ? 1u : 0u; c->cfg_present = 1; }
具名,floor_cfg,lib/algorithms/noise_snr/src/module_entry.cpp:1322,0.0,③未见于条文面,字面量硬编码·条文面零提及,double floor_cfg = 0.0;
具名,sigma_px,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.cpp:49,0.0,③未见于条文面,字面量硬编码·条文面零提及,p.sigma_px = 0.0;
具名,flux_adu,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:38,0.0,③未见于条文面,字面量硬编码·条文面零提及,double flux_adu = 0.0; // F 总通量 [ADU] (>0 才可计算)
具名,aperture_radius_px,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:52,0.0;1.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,double aperture_radius_px = 0.0; // [pixel]; <=0 -> 1.5*FWHM
具名,reference_fwhm_px,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:84,0.0,③未见于条文面,字面量硬编码·条文面零提及,double reference_fwhm_px = 0.0;   // 参考 FWHM (有效源 FWHM 中位数) [pixel]
具名,reference_snr_f,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:85,0.0,③未见于条文面,字面量硬编码·条文面零提及,double reference_snr_f = 0.0;     // 参考轮廓 SNR_F [1]
具名,reference_sigma_f_adu,lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:86,0.0,③未见于条文面,字面量硬编码·条文面零提及,double reference_sigma_f_adu = 0.0;  // 参考 sigma_F [ADU]
具名,n_points_field,lib/algorithms/photometry/cpp/src/filter_curve_json.h:221,0.0,③未见于条文面,字面量硬编码·条文面零提及,double n_points_field = 0.0;
具名,s_npts,lib/algorithms/photometry/cpp/src/filter_curve_json.h:257,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double s_npts = 0.0, s_lo = 0.0, s_hi = 0.0, s_vlo = 0.0, s_vhi = 0.0;"
具名,s_wlsum,lib/algorithms/photometry/cpp/src/filter_curve_json.h:258,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double s_wlsum = 0.0, s_vsum = 0.0, s_vsumsq = 0.0;"
具名,v,lib/algorithms/photometry/cpp/src/filter_curve_json.h:429,0.0,③未见于条文面,字面量硬编码·条文面零提及,double v = 0.0;
具名,pixel_scale_deg,lib/algorithms/photometry/cpp/src/frame_photometry_fit.cpp:167,0.0,③未见于条文面,字面量硬编码·条文面零提及,const double pixel_scale_deg = (cd_det > 0.0) ? std::sqrt(cd_det) : 0.0;
具名,fov_radius_deg,lib/algorithms/photometry/cpp/src/frame_photometry_fit.cpp:173,1.0;10.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,"fov_radius_deg = std::min(std::max(fov_radius_deg, 1.0), 10.0);"
具名,z,lib/algorithms/photometry/cpp/src/frame_photometry_fit.cpp:273,2.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double z = zp_stars[i].magG + 2.5 * std::log10(fsyn);
具名,zero_point_scatter_mag,lib/algorithms/photometry/cpp/src/frame_photometry_fit.cpp:292,1.4826,③未见于条文面,随输入算出（可导出，但须登记导出式）,out.zero_point_scatter_mag = 1.4826 * zmad;
具名,spatial_gain_coverage_min_bbox_frac,lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:81,0.5,③未见于条文面,字面量硬编码·条文面零提及,double spatial_gain_coverage_min_bbox_frac = 0.5;
具名,zero_point_scatter_mag,lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:142,0.0;1.4826,③未见于条文面,随输入算出（可导出，但须登记导出式）,double zero_point_scatter_mag = 0.0;  // 1.4826*MAD(ZP_i) [mag]（星族 SED 散布）
具名,filter_wl_min_nm,lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:156,0.0,③未见于条文面,字面量硬编码·条文面零提及,double filter_wl_min_nm = 0.0;
具名,filter_wl_max_nm,lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:157,0.0,③未见于条文面,字面量硬编码·条文面零提及,double filter_wl_max_nm = 0.0;
具名,filter_val_min,lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:158,0.0,③未见于条文面,字面量硬编码·条文面零提及,double filter_val_min = 0.0;
具名,filter_val_max,lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:159,0.0,③未见于条文面,字面量硬编码·条文面零提及,double filter_val_max = 0.0;
具名,ra,lib/algorithms/photometry/cpp/src/pc_api.cpp:285,.1f;.3f;.4f,③未见于条文面,形态不明·需人工读用途,"LOG_INFO(""锥形搜索: ra=%.4f dec=%.4f r=%.3f mag_min=%.1f (自适应迭代 mag_max, 不缩小半径)"","
具名,rc,lib/algorithms/photometry/cpp/src/pc_api.cpp:306,.1f,③未见于条文面,形态不明·需人工读用途,"LOG_ERROR(""锥形搜索失败 rc=%d, mag_max=%.1f"", rc, mag_max_try);"
具名,ra,lib/algorithms/photometry/cpp/src/pc_api.cpp:704,.1f;.3f;.4f,③未见于条文面,形态不明·需人工读用途,"LOG_INFO(""锥形搜索(FP64): ra=%.4f dec=%.4f r=%.3f mag_min=%.1f"","
具名,rc,lib/algorithms/photometry/cpp/src/pc_api.cpp:723,.1f,③未见于条文面,形态不明·需人工读用途,"LOG_ERROR(""锥形搜索失败 rc=%d, mag_max=%.1f"", rc, mag_max_try);"
具名,qra,lib/algorithms/photometry/cpp/src/pc_api.cpp:885,10000.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,int64_t qra = static_cast<int64_t>(std::llround(ra * 10000.0));
具名,qdec,lib/algorithms/photometry/cpp/src/pc_api.cpp:886,10000.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,int64_t qdec = static_cast<int64_t>(std::llround(dec * 10000.0));
具名,reference_flux,lib/algorithms/photometry/cpp/src/pc_api.cpp:961,0.0,③未见于条文面,字面量硬编码·条文面零提及,out_records[i].reference_flux = 0.0;
具名,ra,lib/algorithms/photometry/cpp/src/pc_api.cpp:974,.1f;.3f;.4f,③未见于条文面,形态不明·需人工读用途,"LOG_INFO(""锥形搜索: ra=%.4f dec=%.4f r=%.3f mag_min=%.1f (自适应迭代 mag_max, 不缩小半径)"","
具名,rc,lib/algorithms/photometry/cpp/src/pc_api.cpp:993,.1f,③未见于条文面,形态不明·需人工读用途,"LOG_ERROR(""锥形搜索失败 rc=%d, mag_max=%.1f"", rc, mag_max_try);"
具名,reference_flux,lib/algorithms/photometry/cpp/src/pc_api.cpp:1019,0.0,③未见于条文面,字面量硬编码·条文面零提及,out_records[i].reference_flux = 0.0;
具名,reference_flux,lib/algorithms/photometry/cpp/src/pc_api.cpp:1133,0.0,③未见于条文面,字面量硬编码·条文面零提及,rec.reference_flux = 0.0;
具名,mx,lib/algorithms/photometry/cpp/src/psfsw.cpp:128,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double mx = 0.0, my = 0.0;"
具名,sxy,lib/algorithms/photometry/cpp/src/psfsw.cpp:132,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double sxy = 0.0, sxx = 0.0, syy = 0.0;"
具名,valid_area_fraction,lib/algorithms/photometry/cpp/src/psfsw.cpp:162,1.0,③未见于条文面,字面量硬编码·条文面零提及,c.valid_area_fraction = 1.0;
具名,spatial_spread_rel,lib/algorithms/photometry/cpp/src/psfsw.cpp:163,0.0,③未见于条文面,字面量硬编码·条文面零提及,c.spatial_spread_rel = 0.0;
具名,linear_trend_max_rel,lib/algorithms/photometry/cpp/src/psfsw.cpp:164,0.0,③未见于条文面,字面量硬编码·条文面零提及,c.linear_trend_max_rel = 0.0;
具名,p05,lib/algorithms/photometry/cpp/src/psfsw.cpp:168,0.05,③未见于条文面,字面量硬编码·条文面零提及,"c.p05 = quantile_of(samples, 0.05);"
具名,p50,lib/algorithms/photometry/cpp/src/psfsw.cpp:169,0.50,③未见于条文面,字面量硬编码·条文面零提及,"c.p50 = quantile_of(samples, 0.50);"
具名,p95,lib/algorithms/photometry/cpp/src/psfsw.cpp:170,0.95,③未见于条文面,字面量硬编码·条文面零提及,"c.p95 = quantile_of(samples, 0.95);"
具名,spatial_spread_rel,lib/algorithms/photometry/cpp/src/psfsw.cpp:174,0.0,③未见于条文面,字面量硬编码·条文面零提及,c.spatial_spread_rel = (c.p50 > 0.0) ? (c.p95 - c.p05) / c.p50 : 0.0;
具名,sx,lib/algorithms/photometry/cpp/src/psfsw.cpp:179,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double sx = 0.0, sy = 0.0, sxx = 0.0, sxy = 0.0;"
具名,s,lib/algorithms/photometry/cpp/src/psfsw.cpp:233,0.0,③未见于条文面,字面量硬编码·条文面零提及,double s = 0.0;
具名,num_ok,lib/algorithms/photometry/cpp/src/psfsw.cpp:261,0.0,③未见于条文面,声明行未见值（须读初始化处）,const bool num_ok = (p.alpha > 0.0) || (p.beta > 0.0);
具名,den_ok,lib/algorithms/photometry/cpp/src/psfsw.cpp:262,0.0,③未见于条文面,声明行未见值（须读初始化处）,const bool den_ok = (p.gamma > 0.0) || (p.delta > 0.0);
具名,dev,lib/algorithms/photometry/cpp/src/psfsw.cpp:342,0.0,③未见于条文面,字面量硬编码·条文面零提及,double dev = 0.0;
具名,worst_dev,lib/algorithms/photometry/cpp/src/psfsw.cpp:465,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double worst_dev = 0.0, worst_rho = 0.0;"
具名,p05,lib/algorithms/photometry/cpp/src/psfsw.cpp:508,0.05,③未见于条文面,字面量硬编码·条文面零提及,"const double p05 = quantile_of(c.samples, 0.05);"
具名,p95,lib/algorithms/photometry/cpp/src/psfsw.cpp:509,0.95,③未见于条文面,字面量硬编码·条文面零提及,"const double p95 = quantile_of(c.samples, 0.95);"
具名,p50,lib/algorithms/photometry/cpp/src/psfsw.cpp:510,0.50,③未见于条文面,字面量硬编码·条文面零提及,"const double p50 = quantile_of(c.samples, 0.50);"
具名,fit_dev,lib/algorithms/photometry/cpp/src/psfsw.cpp:517,0.0,③未见于条文面,字面量硬编码·条文面零提及,double fit_dev = 0.0;
具名,sx,lib/algorithms/photometry/cpp/src/psfsw.cpp:519,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double sx = 0.0, sy = 0.0, sxx = 0.0, sxy = 0.0;"
具名,p50,lib/algorithms/photometry/cpp/src/psfsw.cpp:534,0.50,③未见于条文面,字面量硬编码·条文面零提及,"const double p50 = quantile_of(c.samples, 0.50);"
具名,sum,lib/algorithms/photometry/cpp/src/psfsw.cpp:568,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double wmin = w_psfsw[0], wmax = w_psfsw[0], sum = 0.0, sum2 = 0.0;"
具名,acc,lib/algorithms/photometry/cpp/src/psfsw.cpp:606,0.0,③未见于条文面,字面量硬编码·条文面零提及,double acc = 0.0;
具名,v,lib/algorithms/photometry/cpp/src/psfsw.cpp:631,0.0,③未见于条文面,字面量硬编码·条文面零提及,double v = 0.0;
具名,sw,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:80,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sw = 0.0;
具名,sigma_spatial_dex,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:157,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sigma_spatial_dex = 0.0;
具名,s,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:207,0.0,③未见于条文面,字面量硬编码·条文面零提及,double s = 0.0;
具名,i,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:254,0.0,③未见于条文面,字面量硬编码·条文面零提及,for (int i = 0; i < n * n; ++i) L[i] = 0.0;
具名,sigma_global_dex,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:310,0.0,③未见于条文面,字面量硬编码·条文面零提及,f.sigma_global_dex = 0.0;   // 由调用方回填（本模块不接收阶段 2 的散度，只做诊断对齐）
具名,x_ref,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:316,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,f.x_ref = 0.5 * static_cast<double>(p.width - 1);
具名,y_ref,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:317,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,f.y_ref = 0.5 * static_cast<double>(p.height - 1);
具名,x_scale,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:318,0.5;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,f.x_scale = (p.width > 1) ? (0.5 * static_cast<double>(p.width - 1)) : 1.0;
具名,y_scale,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:319,0.5;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,f.y_scale = (p.height > 1) ? (0.5 * static_cast<double>(p.height - 1)) : 1.0;
具名,amax,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:503,0.0,③未见于条文面,字面量硬编码·条文面零提及,double amax = 0.0;
具名,lm,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:514,0.0,③未见于条文面,字面量硬编码·条文面零提及,double lm = 0.0;
具名,j,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:546,0.0,③未见于条文面,字面量硬编码·条文面零提及,for (int j = 0; j < 5; ++j) f.coef[j] = 0.0;
具名,lmin,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:581,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double lmin = 0.0, lmax = 0.0, sum_lm = 0.0, sumsq_lm = 0.0;"
具名,sum_v,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:582,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double sum_v = 0.0, max_v = 0.0;"
具名,lm,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:595,0.0,③未见于条文面,字面量硬编码·条文面零提及,double lm = 0.0;
具名,v,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:600,0.0,③未见于条文面,字面量硬编码·条文面零提及,double v = 0.0;
具名,var_lm,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:618,0.0,③未见于条文面,字面量硬编码·条文面零提及,"const double var_lm = std::max(0.0, sumsq_lm / n - mean_lm * mean_lm);"
具名,noise_floor_dex,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:621,0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,if (mean_v > 0.0) f.noise_floor_dex = S * std::sqrt(mean_v);
具名,noise_floor_max_dex,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:622,0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,if (max_v > 0.0) f.noise_floor_max_dex = S * std::sqrt(max_v);
具名,x,lib/algorithms/photometry/cpp/src/spatial_gain.h:73,0.0,③未见于条文面,字面量硬编码·条文面零提及,double x = 0.0;
具名,y,lib/algorithms/photometry/cpp/src/spatial_gain.h:74,0.0,③未见于条文面,字面量硬编码·条文面零提及,double y = 0.0;
具名,r,lib/algorithms/photometry/cpp/src/spatial_gain.h:75,0.0,③未见于条文面,字面量硬编码·条文面零提及,double r = 0.0;
具名,location_dex,lib/algorithms/photometry/cpp/src/spatial_gain.h:81,0.0,③未见于条文面,字面量硬编码·条文面零提及,double location_dex = 0.0;    // 阶段 2 的全局稳健位置 L（k_photo = 10^(−L)）
具名,coverage_min_bbox_frac,lib/algorithms/photometry/cpp/src/spatial_gain.h:90,0.5,③未见于条文面,字面量硬编码·条文面零提及,double coverage_min_bbox_frac = 0.5;   // 星位置包围盒**逐轴**最小展幅 / 帧幅
