ID,原判据摘要,判定,证据,归属任务,根因,方案,验收门,依据,备注
M5b-E-01,MODULE_MAP.md 仍引 module_adapters.cpp:4257/:4282/:4309，真实 p1_nodes 已到 :6311,OPEN,"timeout 30 grep -n '4257' docs/architecture/MODULE_MAP.md -> rc=0：:33「…`lib/infrastructure/scheduler/src/module_adapters.cpp`:4257/:4282/:4309；ctest `p1001_real_nodes`…」；:55 亦引 :4257；timeout 30 grep -n 'p1_nodes\[\] = |p3_nodes\[\] = ' lib/infrastructure/scheduler/src/module_adapters.cpp -> rc=0：6311: const std::pair<ModuleDescriptor, P1NodeSpec> p1_nodes[] = { / 6363: p3_nodes[] = {",DOC-001,节点表行锚未随源码增长更新（差 >2000 行）；同锚被 RELEASE_STATUS 等页面复制,全部改 path::符号（p1_nodes/p3_nodes）；行号锚一律禁用于活动文档,grep ':4257' 全仓零命中,ENGINEERING_SPEC §8「删除/重命名无悬空引用」；ANCHOR_CONTRACT.md §2,原判据的『宪章 §F.1』子项已修（MODULE_MAP.md:33 现引 ASTROCS_DESIGN §3.2/§4.2/§5.2，且 grep -c '§F\.1' ASTROCS_PROJECT_CONSTITUTION.md 已随该文件删除而无载体）
M5b-E-02,FROZEN 的 PHASE3_MODULE_ARCH.md 仍以不存在的 lib/phase3 为模块根,OPEN,"timeout 30 grep -n 'lib/phase3' docs/architecture/PHASE3_MODULE_ARCH.md -> rc=0：:6「## 1 模块与数据结构(lib/phase3,四单元单向流)」；timeout 30 ls -d lib/phase3 -> rc=2：没有那个文件或目录（现为 phase3_proj/rsmp/fits/session 拆分，见 ARCH-001 迁移清单 §1 第 6/7/4 项）",DOC-001,架构文档以旧目录名描述现行结构，模块根不可解析,改指 lib/algorithms/projection|resample|fits_output + lib/phase3_session，并声明与 p3_nodes 五节点的对应,文档内每个目录路径均存在,ENGINEERING_SPEC §8；ASTROCS_DESIGN §7.1（顶层结构唯一）,ARCH-001 迁移清单文件头自述当前 HEAD=8f0a4c6b（旧于本树），清单本身亦需重生成
M5b-G-07,"旧宪章 §12.1 要求 docs/owner/{SCIENCE,PHASE,ARCHITECTURE}_OVERVIEW.md 清单，check_l0_docs.py 未校验该清单",CRITERION-WRONG,"timeout 30 sed -n 20,30p tools/check_l0_docs.py -> rc=0：:「B. 现行权威索引 = docs/DOCUMENT_INDEX.yaml（取代已退役的根 REVIEW.md 链接面）：5 份 L0 文档必须在该索引 active 区段以 ACTIVE_* 登记。C. 旧权威回归（必须能红），两级口径：C1 P0（恒红）：docs/review/** 内任一文件在正文头 400 字符声明 ACTIVE_* 且未声明 ARCHIVED…」；timeout 30 ls docs/owner -> rc=0：6 份（ARCHITECTURE_OVERVIEW CHANGE_REVIEW PIPELINE_OVERVIEW PROJECT_SPEC RELEASE_STATUS SCIENCE_OVERVIEW）",DOC-001,-,-,-,原判据（旧宪章 §12.1 的 docs/owner 文件清单）已无载体：现行 L0 口径为 docs/DOCUMENT_INDEX.yaml active 登记 + docs/review C1/C2 回归（tools/check_l0_docs.py:20-30 逐字），docs/ci/01_CHECKS.md §2 的 27 个 CHK-* 亦无 L0 文档清单项；ASTROCS_DESIGN §11.3/§12 均未规定该清单 ⇒ 判据前提不成立，不得按原处方要求补 PHASE_OVERVIEW.md,台账原判即 VOID（与判定词表映射为 CRITERION-WRONG）。另注：tools/check_l0_docs.py 自述当前因 docs/review/CHANGE_REVIEW.md 抬头主张 ACTIVE_INFORMATIVE 而如实判红，属另一对象（docs/review 收口），不在本行判据内
M5b-G-17,L0 自述「当前提交实测绿」，而同仓 CI 基线把 8 族 waivable=false 红灯列为在册 P1,OPEN,"timeout 30 sed -n 38,42p docs/owner/RELEASE_STATUS.md -> rc=0：「…CLI validate/plan/inspect 薄命令面均已落地（当前提交实测绿）」；sed -n 8,9p 同文件 -> rc=0：「收敛基线：DOC-CONV-001，BASE_SHA = da3c4b4aaf64ef9b61039fabd1100ddd1f9b8540…本文执行级证据均为该 BASE 实测」；python3 -c 读 ci/known_failures.json -> rc=0：contract.excluded_by_policy 仍写「本轮 linux-main 其余红灯（AGENTS-GOV/DATA-ARTIFACTS/THREAD-BUDGET/CON-COMMENTS/CON-FULL-INTEGRATION/UT-ARCH/UT-BACKEND/WIN-*/DEEP-*）均为在册 P1（FD-R1-010）」",DOC-001,状态页以完成时口吻宣称当前提交实测绿，而证据锚仍是旧 BASE 且基线表列着同一批在册红灯,把「当前提交实测绿」改为绑定可复核三元组（SHA+命令+rc），或直接改为 NOT_VERIFIED 并指 known_failures.json,文档内不再出现无 SHA/命令/日志指针的「当前提交实测绿」；known_failures 的在册 P1 与状态页口径一致,ASTROCS_DESIGN §12「状态声明须绑定当前提交的证据」+§11.3,行号漂移：台账 :40 现仍落到 :40（同段）
M5b-I-01,docs/RELEASE_STATUS.md 与 docs/owner/RELEASE_STATUS.md 同为活动登记且旧页用 PASS/PENDING 口径,OPEN,timeout 30 grep -n -B1 -A3 'docs/RELEASE_STATUS.md' docs/DOCUMENT_INDEX.yaml -> rc=0：:56-57「- path: `docs/RELEASE_STATUS.md` / status: ACTIVE_INFORMATIVE」（无历史标注），对照 :335-337 docs/owner/RELEASE_STATUS.md status: ACTIVE_NORMATIVE；timeout 30 grep -n 'PRE_RELEASE_ENGINEERING_FOUNDATION|FINAL_REAL_DATA_VALIDATION' docs/RELEASE_STATUS.md -> rc=0：:11/:22，:22 已改写为「历史轮次…不是当前状态，只作追溯」,DOC-001,正文口径已收敛，但登记面仍把一个事实挂在两个活动条目上（旧页 ACTIVE_INFORMATIVE 无历史标注）,在 DOCUMENT_INDEX.yaml:56-57 给旧页加 ARCHIVED/历史标注（或移出活动索引），使 RELEASE_STATUS 只有 owner 版一个活动落点,grep -n 'docs/RELEASE_STATUS.md' docs/DOCUMENT_INDEX.yaml 的条目带历史/归档标注,旧宪章 §15.4「一份事实一个权威落点」由 ASTROCS_DESIGN §11.3/§12 承接,台账两子项中「正文以 PASS 冒充现状」已修，余「登记面双活」
M5b-I-02,README『当前状态』以历史断言（run --phases 已实现并通过 ctest、hidden whole-phase）冒充现状,FIXED,timeout 30 grep -n 当前状态 README.md -> rc=0：:57「## 当前状态（如实；状态词只用 ASTROCS_DESIGN §11.3 词表）」；grep -c '已实现并通过 ctest' README.md -> rc=1：0；grep -c 'hidden whole-phase' README.md -> rc=1：0；:113「…**不是当前状态**：历史只存在于 docs/archive/**」,DOC-001,-,-,-,修复证据（本轮实跑，两处历史断言 0 命中且状态词已收敛）,台账原判即 RESOLVED，本轮复核维持
M5b-I-03,L0 表内重复行与状态词混用（同表同模块两行 verdict 同义）,OPEN,"timeout 30 sed -n 74,86p docs/owner/SCIENCE_OVERVIEW.md -> rc=0：:80/:81 两行同为「| 真实数据（BASS/32R）验证 | `NOT_VERIFIED` | …」；同表 :76 用裸 PASS、:78/:79/:81 用反引号 IMPLEMENTED/NOT_VERIFIED 混排；grep -n Windows docs/owner/ARCHITECTURE_OVERVIEW.md -> rc=0：:35/:36/:37 均 NOT_VERIFIED（与 owner 版 :50-52 一致）",DOC-001,表内重复行未删、状态词裸写与反引号混用，一份事实两个落点,删 :81 重复行；全表状态词统一按 ASTROCS_DESIGN §11.3 词表加反引号,"同表内 (模块, 验收项) 唯一且状态词全部带反引号",旧宪章 §15.4 由 ASTROCS_DESIGN §11.3（状态阶梯唯一口径）承接,行号漂移：台账 :81/:82 现落到 :80/:81
M5b-I-06,V 期审计快照 CSV 仍以活动登记在位，且表内路径（tools/stage2.cpp、docs/history/）当前树 0 命中,OPEN,timeout 30 grep -n docs/audit docs/DOCUMENT_INDEX.yaml -> rc=0：:231 doc_classification.csv / :234 inventory.csv / :237 risk_verification_T012.csv（均在活动区段，无 ARCHIVED 标注）；timeout 30 sed -n 3p docs/audit/risk_verification_T012.csv -> rc=0：表内仍写「tools/stage2.cpp:720-724 weight_mode==2 禁 ACR」；ls lib/algorithms/coverage/tools/stage2.cpp -> rc=0（实际位置在 algorithms/coverage）；ls -d docs/history -> rc=2 不存在；grep -c docs/history docs/audit/doc_classification.csv -> rc=0：15 行,DOC-001,历史审计快照未加归档标注却仍在活动索引，且表内路径已因迁移失效,给三份 CSV 加 ARCHIVED_NON_NORMATIVE（或移出活动索引）；表内路径按 ARCH-001 清单改写并注明时点,DOCUMENT_INDEX 内三份 CSV 带归档标注；表内引用路径全部存在或在时点声明上下文中,ENGINEERING_SPEC §7（根固定条目白名单）+§8（无悬空引用）,台账证据三点本轮逐字复现
M5b-I-07,DOC-004 被多对象占用；API_STANDARD 字段清单与检查器 required 不一致,CRITERION-WRONG,"timeout 30 grep -rn DOC-004 docs tools contracts -> rc=0：DOC-004 现在只作为『任务 ID』出现在测试矩阵/API-001/check_ast_api.py/gen_module_readmes.py 等自述行；timeout 30 grep -c DOC-004 docs/contracts/RT-001.md -> rc=1：0（RT-001 内 0 命中）；timeout 30 cat -n docs/standards/API_STANDARD.md -> rc=0：全文 21 行，:6-7 列『inputs/units、outputs、ownership、failure、thread safety、precision/lifetime』6 项注释要素；:14 已改指 docs/contracts/API_CONTRACTS.csv / docs/traceability/TRACEABILITY_MATRIX.json（旧 docs/TRACEABILITY.csv 追溯门已退役）；timeout 30 grep -n 'required = ' tools/quality/contracts/check_api_contracts.py -> rc=0：:49 required = [""symbol"",""full_signature"",""header"",""linkage""]",DOC-001,-,-,-,判据错在两处：(a)『API_STANDARD 声明 ≥11 项字段』无载体——现行 API_STANDARD 只声明 6 项注释要素，检查器的 4 项 required 是 API_CONTRACTS.csv 的列 schema，两者对象不同，不构成不一致；(b)『DOC-004 与 RT-001 表内同 ID 占用』已被当前树反证（RT-001.md 0 命中）。正确口径：DOC-004 只作为任务号自述，ID 唯一性判据应落在 docs/contracts/INDEX.yaml；附带事实『API_STANDARD 仍把追溯交给旧 CSV』已修（:14 现指 MATRIX.json）,依据：docs/standards/API_STANDARD.md:6-14 现文 + tools/quality/contracts/check_api_contracts.py:49 + grep RT-001 DOC-004 = 0
M6a-C-003,节点表注释称 AIO-002 原子发布内建（hips README 自证无原子发布）；noise 侧仍自称唯一生产实现,OPEN,"timeout 30 sed -n 28p lib/infrastructure/scheduler/src/module_adapters.cpp -> rc=0：「//                write_variance_tile/finalize (AIO-002 原子发布内建;」；timeout 30 sed -n 190,197p lib/algorithms/drizzle/hips/README.md -> rc=0：「与实现不符——部分失败产品残留由调用方/IO-003 层处置）；无原子发布（remove+create 直写 :185-186…DISP-HIPS-004 维持登记）」；timeout 30 grep -n 唯一生产实现 lib/algorithms/noise_snr/memory.md lib/algorithms/noise_snr/README.md -> rc=0：memory.md:35「noise 方差模型唯一生产实现 lib/algorithms/noise_snr/cpp/src/noise_model.cpp」、README.md:7 同（README.md:9 反写『本模块不得再自报唯一生产实现』）；sed -n 14p module_adapters.cpp -> rc=0：「//   noise-snr      → NoiseModel::estimate    (lib/algorithms/noise_snr/wrapper_phase1)」；grep -n 'wrapper_phase1/noise_model.cpp' CMakeLists.txt -> rc=0：:522",DOC-001,节点表注释把目标态写成现状（AIO-002 未内建），snr 侧对『唯一生产实现』的落点与构建图/节点接线不一致,按构建图与 README 自证改写节点表注释与 memory/README 的『唯一生产实现』表述,节点表注释与 CMake 实际收录源一致；同一模块内不再出现互相否定的『唯一生产实现』句,ASTROCS_DESIGN §9（aio 是唯一 FITS/HiPS/manifest 读写边界）+§12（不得用文档声明冒充完成）,台账三处证据本轮逐字复现
M6a-I-005,『唯一/内建/已接线/实测』类免锚现状断言仍在位,OPEN,timeout 30 grep -rn '唯一生产入口|唯一生产调用点|唯一生产实现' lib/algorithms/coverage/README.md lib/algorithms/cosmetic/README.md lib/algorithms/noise_snr/memory.md -> rc=0：coverage/README.md:94「coverage.cpp:144 定义，唯一生产入口）」、cosmetic/README.md:86「唯一生产调用点」、noise_snr/memory.md:35「唯一生产实现」；timeout 30 head -6 lib/phase1_session/README.md -> rc=0：该目录仍在（ARCH-001 §1 记 lib/phase1_session 为 DEFERRED 不迁移删除）,DOC-001,同一族免锚现状断言分散在多份 README/memory，缺可机器核对的锚点,为每条断言补 path::符号/命令锚或删除；DEFERRED 的 session 目录随 INT-001 处置,grep '唯一生产(入口|实现|调用点)' 的每条命中同句含可解析锚,ENGINEERING_SPEC §2（注释禁令：禁把目标态写成现状）+§8,台账自述 38 条抽样中 20 条不符但本轮不重算该抽样数，只复核在位实例；lib/phase2/README.md 已随迁移落至 lib/algorithms/coverage/README.md
M6b-E-001,SPEC 以 JSON 为机器真相而三份路由文档仍把追溯指向旧 docs/TRACEABILITY.csv,FIXED,timeout 30 grep -n TRACEABILITY.csv docs/README-DOCS.md docs/DEVELOPER_GUIDE.md docs/standards/API_STANDARD.md -> rc=0：README-DOCS.md 零命中；DEVELOPER_GUIDE.md:42「追溯：docs/traceability/TRACEABILITY_MATRIX.json（机器真相；旧 docs/TRACEABILITY.csv 追溯门已退役）」；API_STANDARD.md:14「见 docs/contracts/API_CONTRACTS.csv / docs/traceability/TRACEABILITY_MATRIX.json；旧 docs/TRACEABILITY.csv 追溯门已退役」,DOC-001,-,-,-,修复证据（本轮实跑）,残留：docs/DOCUMENT_INDEX.yaml:58-59 仍把 docs/TRACEABILITY.csv 登记为 ACTIVE_NORMATIVE
M6b-E-003,追溯矩阵 ID 与 docs/contracts/INDEX.yaml 无单一登记处（91 个矩阵 ID 不在 INDEX）,OPEN,"timeout 60 python3 -c ""按 science/algorithm/data/api/arch/src/test/evidence id 解析矩阵并比对 INDEX.yaml 的 - id"" -> rc=0：matrix_distinct= 159 INDEX_ids= 114 not_in_INDEX= 92",DOC-001,两个 ID 登记面并存且无包含关系，机器无从判某 ID 是否合法,收敛为单一登记面（矩阵引用必须能在 INDEX.yaml 解析，或把 INDEX.yaml 降为矩阵子集并机器校验）,check_traceability_matrix.py 增加「矩阵 ID ⊆ INDEX.yaml」规则并能红,ENGINEERING_SPEC §8「注册表/合同一致」,台账记 158/114/91，本轮 159/114/92（矩阵有并发增量）
M6b-G-002,四份 RELEASE_STATUS 并存且 docs/RELEASE_STATUS.md 用已废止 PASS 口径；ARCHITECTURE 仍以旧入口为数据流,OPEN,"timeout 30 python3 -c ""import glob;print(glob.glob('docs/**/RELEASE_STATUS.md',recursive=True))"" -> rc=0：4 份（docs/、docs/archive/review/、docs/owner/、docs/review/）；grep -n 'orchestrator.exe|astrocs-stage2' docs/ARCHITECTURE.md -> rc=0：:18/:20 数据流仍写 orchestrator.exe/astrocs-stage2，:53/:54 表内两条旧入口；grep -c REVIEW_PENDING AGENTS.md -> rc=1：0，grep -n REVIEW_PENDING tools/check_agents_gov.py -> rc=1：0（第三子项已消）",DOC-001,登记面 4 份并存未收敛；ACTIVE 架构页仍以已被取代的旧入口描述数据流,把 archive/review 两份移出活动面或加归档标注；docs/ARCHITECTURE.md 的旧入口改为 astrocs 三命令口径并给取代声明,RELEASE_STATUS 活动面唯一；docs/ARCHITECTURE.md 内 orchestrator.exe/astrocs-stage2 仅出现在「已被取代」声明上下文,ASTROCS_DESIGN §0/§11.3,原判据中 §17-12 AGENTS.md 状态机行已修（本轮 0 命中）
M6b-G-003,ACTIVE 文档宣称 S8 gate 本版实测 PASS 9/9，被引检查器在 ci/checks.json 命中 0,OPEN,"timeout 30 grep -n '本版实测|S8 gate|docs_machine_consistency' docs/ARCHITECTURE.md -> rc=0：:116「## 7. Machine Consistency (S8 gate, 本版实测)」、:119「tools/docs_machine_consistency.py PASS 9/9」、:5 同宣称；grep -n docs_machine_consistency docs/README-DOCS.md -> rc=0：:33（规范面引用）；timeout 30 grep -c -e docs_machine_consistency -e config_consistency_check ci/checks.json -> rc=1：0",DOC-001,以完成时口吻宣称机器门实测 PASS，但该检查器从未登记进唯一注册表（无 SHA/命令/时间/日志指针）,要么把该检查器登记进 ci/checks.json 使其成为真门，要么把该节标为历史并删除 PASS 断言,ci/checks.json 含该检查器且文档 PASS 断言绑定 SHA+命令+rc,ASTROCS_DESIGN §11.3+§12（状态声明须绑定当前提交证据）；ENGINEERING_SPEC §8（检查器能红能绿）,台账三点证据本轮逐字复现（行号 :114→:116 漂移）
M6b-G-008,PHASE3_PROJ_IMPL.md 内『不实现 ZEA 等』与『冻结四投影』两版表述并存且与 §5.3 八投影不一致,FIXED,"timeout 30 grep -n '非目标|不实现' docs/algorithms/PHASE3_PROJ_IMPL.md -> rc=0：:25「- 非目标: **生产 alpha 路径仍只走 TAN**（lib/phase3_session/p3_wcs.cpp，」（不再是不实现 ZEA/SIN/CAR/AIT）；timeout 30 grep -n 冻结四投影 docs/algorithms/PHASE3_PROJ_IMPL.md -> rc=0：仅 :377「> **依据订正说明**：本节 v1 版把「首批冻结四投影（TAN/SIN/CAR/AIT）」的唯一依据写成…故该依据作废；投影集合按 DESIGN §5.3 的**八投影**为准。」；timeout 30 sed -n 264,265p ASTROCS_DESIGN.md -> rc=0：「首批冻结 **TAN / SIN / CAR / AIT / STG / MOL / CEA / ZEA**」",DOC-001,-,-,-,修复证据（本轮实跑：旧『不实现 ZEA』句已改写为『生产 alpha 路径仍只走 TAN』的事实陈述，『冻结四投影』只剩订正说明并显式指向 DESIGN §5.3 八投影）,原判据的 registry 实现缺口由 GAP-011/P3-001 承接，不在本行
M7-A-120,GLOSSARY 自称唯一术语权威，但宪章 §4.1 十量中 snr/quality/coverage/validity/rejection_mask/provenance 六条无独立词条,OPEN,"timeout 30 python3 -c ""L=open('docs/GLOSSARY.md',encoding='utf-8').read().split(chr(10));print('rows|_start=',sum(1 for l in L if l.startswith('| ')),[(t,sum(1 for l in L if l.startswith('| '+t+' '))) for t in ['snr','quality','coverage','validity','rejection_mask','provenance']])"" -> rc=0：rows|_start= 19 [('snr',0),('quality',0),('coverage',0),('validity',0),('rejection_mask',0),('provenance',0)]；timeout 30 sed -n 1,30p docs/GLOSSARY.md -> rc=0：:3 本词典是**唯一术语权威**；:16 coverage 仅作 support 的 legacy alias 反向登记",DOC-001,词典自称唯一权威却缺六条核心量的词条出口，读者无法在唯一落点查到同名术语口径,为六条量补词条（或显式登记为 legacy alias 并指向权威锚），并让工具可判『核心术语全覆盖』,python3 统计上述六词独立行数全部 >=1；且 docs_machine_consistency.py 类工具能对缺词条变红,ENGINEERING_SPEC §3/§8；docs/design/UNIFIED_MODEL.md §2（数据对象各处一义）,台账统计口径与本轮完全一致（19 行、六词全 0）；GLOSSARY.md 读时 md5 7c9c51ae7d37 与包内一致
M7-A-121,两份 FROZEN SCI 对同名 quality 给出互斥类型；quality_mode 声明域与实现 (void)mode 不符,OPEN,"timeout 30 sed -n 20p;30p docs/science/PHASE2_UPM.md -> rc=0：「| `quality_factor` | 质量因子（cosmic/geom 质量） | `SCI-UPM-WEIGHT-001` |」/「`quality, control_reliability`：无量纲 [0,1]」；timeout 30 sed -n 38p;60p docs/science/CONTROL_WEIGHT_SNR.md -> rc=0：「| `frame quality` | 每星点 Phase1 SNR 目录质量位（uint32 位掩码） |」/「`frame quality`：**uint32 位掩码**…非浮点标量」；timeout 30 sed -n 186,188p lib/algorithms/coverage/src/upm.cpp -> rc=0：inline double quality_factor(std::uint32_t flags, int mode) { (void)mode;",DOC-001,"同名输入对象在两份 FROZEN SCI 里一为浮点 [0,1]、一为 uint32 位掩码且互不指认；quality_mode 形参被 (void) 丢弃，声明域无实现",统一 quality 的类型口径（或改名区分 quality_factor 与 quality_flags），quality_mode 要么实现要么从签名删除,两份 SCI 对同一字段的类型声明可交叉解析；quality_factor 不再出现 (void)mode,ENGINEERING_SPEC §3「禁止一个字段承载多个含义」；docs/design/UNIFIED_MODEL.md §2,台账记子事实『flags→因子映射无定义』已闭（impl 内 16→0/2→0.1/1→1.0/未知→0.5 可见），本轮复核属实
M7-A-122,NOISE_MODEL.md §2 与同篇量纲表对 ivar 单位互斥（pixel⁻²·ADU⁻² vs ADU⁻²）,FIXED,timeout 30 sed -n 16p;29p docs/science/NOISE_MODEL.md -> rc=0：:16「| `ivar` | `1/variance` (ADU⁻²) | `variance_bg_global` 倒数 / `fill` |」；:29「…`ivar`：`ADU⁻²`…」；timeout 30 grep -n pixel⁻² docs/science/NOISE_MODEL.md -> rc=1 零命中,DOC-001,-,-,-,修复证据（本轮实跑：两处口径已同为 ADU⁻²，pixel⁻² 全篇 0 命中）,台账原判 OPEN；判据对象为同篇两处单位互斥，现文已消除
M7-A-124,词典仍写无覆盖像素=0 / variance=0→ivar=0 单值口径，未同步 DATA-UNC-001 的 §30 NaN 同态双值,OPEN,"timeout 30 grep -n variance docs/GLOSSARY.md -> rc=0：:10「| variance | …无覆盖像素=0 | … | docs/contracts/DATA_SEMANTICS.md#4a |」；:11「| ivar | 逆方差=1/variance;variance=0/缺失 → ivar=0… | ADU⁻² | …#4a |」；timeout 30 sed -n 45,50p docs/contracts/DATA_SEMANTICS.md -> rc=0：「无覆盖值歧义消解（DATA-UNC-001 登记，2026-09-09）…Phase2 合成与 Phase3 传播**输出产品**的无覆盖/无效语义以 §30 为唯一权威（NaN 同态，§30.1/§30.4）；ivar=0 仅保留为 Phase2 读侧…」",DOC-001,词典两行的权威锚仍指 §4a，未同步同一合同 §30 的目标态双值口径，唯一术语权威与合同不一致,词典 variance/ivar 行补『§30 输出态为 NaN 同态双值』并改锚到 §30,词典行与 DATA_SEMANTICS §30 口径一致且可机器比对,ENGINEERING_SPEC §3；docs/design/UNIFIED_MODEL.md §2,DATA_SEMANTICS.md 自述『本文不在此处单方改写（归 Phase1 域）』，故残留属登记未同步
M7-A-211,NOISE_MODEL 自证精度句『差 <1e-12』为可判伪的假命题（实测 5.602e-12）,FIXED,"timeout 30 grep -n '差 <|e-12' docs/science/NOISE_MODEL.md -> rc=0：:94「…与之绝对差 **5.602e-12**、相对差 **3.779e-12**）」（无『差 <1e-12』句）；其余 e-12 命中均为 variance_floor 1e-12（另一对象）；timeout 30 python3 -c ""print(1.482602218505602-1.4826022185, 1/0.6745-1.482602218505602)"" -> rc=0：5.601963337653615e-12 -2.2529847336638653e-05（与文档所记一致）",DOC-001,-,-,-,修复证据（本轮实跑：文档不再主张 <1e-12，改为如实写 5.602e-12，与复算逐位一致）,台账原判 OPEN；本行与 M3-A-008 同源不同缺陷面
M7-A-212,COSMETIC_ALGORITHMS 的『中值对重复计数天然免疫』非普遍成立；label 0 的 size 说明与连通域定义相反,OPEN,timeout 30 grep -n '天然免疫|label 0|out_hot' docs/algorithms/COSMETIC_ALGORITHMS.md -> rc=0：:99「邻域重复计数由中值天然免疫（中值不因重复计数偏移，仅样本数变化）；」、:72「4. 背景 label 0 的 size 记为 `max_size`（cosmetic_corrector.cpp:70），」、:141-144 已显式声明 out_hot/out_cold,DOC-001,"数学断言不普遍成立（同值复制可移动中位数，如 {1,2,3}→{1,2,3,3}）；背景 label 0 无定义 size 的说明与连通域定义相反",把『天然免疫』改为带条件的正确表述（或给出反例边界）；label 0 行改为『不参与 size 统计』,文中不再出现无条件的『天然免疫』；label 0 语义与连通域定义一致,docs/plugins/algorithms_phase1/02_cosmetic.md §4（判定与修正来源须记录、validity 显式、variance 同步）,台账三子项中 out_hot/out_cold 已闭；余两子项在位
M7-A-213,四处以『≪』连接量纲/类别不同项且无各自数值与比较阈，等价性声明不可证伪,OPEN,"timeout 30 grep -rn '≪' docs/algorithms/DRIZZLE_GEOMETRY.md docs/algorithms/UPM_SOLVER.md docs/algorithms/NOISE_ESTIMATION.md docs/algorithms/REJECTION_ALGORITHMS.md -> rc=0：DRIZZLE_GEOMETRY.md:217「- 面积误差预算: float 面积 0.05% ≪ 候选保守性（零漏选）≪ 门禁」；UPM_SOLVER.md:110「误差排序：**数值 FP64(≪1e-12) ≪ 科学/统计容差(k_corr 冻结, 控制噪声) ≪ 门禁**。」；NOISE_ESTIMATION.md:101；REJECTION_ALGORITHMS.md:128 同型",DOC-001,不同量纲/类别项之间用『≪』作不可证伪的定性排序，无各自数值与比较阈,每处给出各项数值、单位与比较阈（或改为可判定的定量不等式）,grep '≪' 的每处同句含数值+单位+阈值，或零命中,docs/design/UNIFIED_MODEL.md §1（简化须说明删去什么并以误差门证明）+ ENGINEERING_SPEC §5.1,台账记 4 处（DRIZZLE :215 → 现 :217），本轮 :110/:101/:128 亦在位
M7-C-201,PHASE3_FITS_IMPL 声明 -64 输出 FP64 精度（台账原判 RESOLVED）,FIXED,timeout 30 grep -n '精度|PF64' docs/algorithms/PHASE3_FITS_IMPL.md -> rc=1：全文 0 命中（既无『精度』字样亦无 PF64）；timeout 30 grep -n bitpix docs/algorithms/PHASE3_FITS_IMPL.md -> rc=0：各命中行只把 -64 当容器位深，:205 明说上游为 f32,DOC-001,-,-,-,修复证据（本轮实跑：文档已删除『-64 输出 FP64 精度』声明，0 命中）,台账原判即 RESOLVED，本轮复核维持
M7-E-201,ASTROMETRY.md 与 DRIZZLE.md 的 ipv_wcs.cpp / spherical_overlap.cpp 行锚整段失效,OPEN,"timeout 30 sed -n 16p docs/science/ASTROMETRY.md -> rc=0：「| `CRPIX1/2` | 参考像素（1-based， `w/2+0.5, h/2+0.5`） | `ipv_wcs.cpp:154,276` |」；timeout 30 sed -n 154p;276p lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp -> rc=0：:154 为空行、:276 为 result->cd.cd11 = trans.x10 / 3600.0;（均非 CRPIX 语义）；timeout 30 grep -n HP_CIRCUMRADIUS_FACTOR lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp -> rc=0：:42 定义；sed -n 22p;65p;71p docs/science/DRIZZLE.md -> rc=0：三处仍引 spherical_overlap.cpp:40",DOC-001,行号锚在迁移+重写后整段失效（引用行不含所述语义）,一律改 path::符号 锚（如 ipv_wcs.cpp::build_... / spherical_overlap.cpp::HP_CIRCUMRADIUS_FACTOR）,grep 引用的行号锚可解析到所述符号,ENGINEERING_SPEC §8 + docs/ci/01_CHECKS.md §2 CHK-DANGLING,"台账引 :13-16,153-164,274-420,530-576；本轮锚已改写为 :154,276 但仍不中"
M7-E-202,REJECTION.md 行内自引 docs/science/REJECTION.md:16 指向错误行,OPEN,timeout 30 grep -n 'docs/science/REJECTION.md:' docs/science/REJECTION.md -> rc=0：:32「- `n` 为 planning 层 `nominal contributors`，一次解析，禁止 per-pixel effective 路由（`docs/science/REJECTION.md:16`）。」；timeout 30 sed -n 16p docs/science/REJECTION.md -> rc=0：「| `weights[i]` | 科学权重 | 同上 |」（§2 符号表行，不含 nominal contributors 语义）,DOC-001,文档内自引使用绝对行号，正文增删即失效,自引改节名/句锚（如 §4 nominal contributors 段）,grep 文档内自引零行号形,ENGINEERING_SPEC §8；docs/ci/01_CHECKS.md §2 CHK-DANGLING,同篇 :46/:80/:130 同族自引，本轮未逐条重算
