名称,处置,关联既有 ID,检验对象（真实对象）,命令,判据,正例（正确实现下判绿）,负例（注入什么必红）,层次与档位,对应文档条款,是否替换现有门（被替换 ID）,落地成本档,原名称（逐字留存）
CHK-L4-SEAM-FOOTPRINT,改造,,真实帧足迹上的有符号台阶度量（mosaic FITS + P1 帧目录）与九组判别力用例,python3 eng/tools/e2e/seam_footprint.py --self-test --json-out run/ci/seam-footprint/selftest.json,自检面保留为范本（无台阶绿 / 已知台阶红 / 旧盲区在同一输入判绿即复现 / 足迹在画幅外红 / 两侧噪声差 57× 无台阶绿 / 间距=对照偏移的阶跃必须红而旧口径整幅判绿 / 缺任一必需用例即自检失败）；产物单元的输入必须声明且由在册生产者产出,九组用例全中 + 真实 M42 产品树度量在门内 ⇒ 绿,①把注入台阶放到适用域外 ⇒ 断言红（fail-closed 已实现，须保留）；②产物单元输入无生产者 ⇒ GATE-INPUT-PRODUCER 红；③把门限写死进脚本而不指向正本 ⇒ 阈值来源门红,visual/measure,ACCEPTANCE_SPEC.md §6.2；docs/science/PHASE2_UPM.md §17（门限推导正本）；docs/ci/01_CHECKS.md §2 该行列,改造（拆清 self-test 与 product 两类的档与对象类别；product 单元当前读一个 run/ 下无生产者目录）,M,CHK-L4-SEAM-FOOTPRINT（改造）
CHK-SPARSE-PUNCH,保留,CHK-SPARSE-PUNCH-PROBE,裸形态体积削减的静态不变量 + 编译生产头成探针后跑真实系统调用的字节与 st_blocks 读数,python3 eng/tools/quality/check_sparse_punch.py --probe-run --workdir run/ci/sparse-punch/probe --json-out run/ci/sparse-punch/probe.json,打洞前后整文件 sha256 与 st_size 不变、st_blocks 必须下降（未下降即红）；两路独立读器逐 HDU 全等；NaN 带不被任何洞覆盖；对非零区强制打洞必须 VERIFY_MISMATCH；卷不支持 ⇒ rc=UNSUPPORTED 且逐字节不变（合法降级范本：显式、可溯、不改语义）,支持稀疏的卷上全项达标 ⇒ 绿,①去掉 NaN 断言 ⇒ 负例红；②把 st_blocks 判据删掉 ⇒ 「洞真打了」红；③把降级路径改成静默成功 ⇒ 降级登记缺失红,e2e/measure,ACCEPTANCE_SPEC.md §3.2；docs/design/PRODUCT_STORAGE_FORM.md §9,保留（订正：Windows 面未实测须由 object_class+platform 如实表达，不得以跳过得绿）,S,CHK-SPARSE-PUNCH / CHK-SPARSE-PUNCH-PROBE（保留）
CHK-HIPS-STORAGE-FORM,保留,,两形态产品树（裸目录与 .hips.zst 归档）、索引与 manifest 的 storage 段字段,python3 eng/tools/hipsform/check_hips_storage_form.py --self-test,归档必须整包 tar + 逐成员独立 zstd 帧且标准工具链能逐字节还原；properties 与裸形态逐字节一致；形态键缺省必须报 warn 且记 form_source=default；Phase2/3 输入注入该键必须 REJECT；逐层口径一致（--doc-consistency）按登记词表比对,两形态都产、都读、哈希相同 ⇒ 绿,①归档内 properties 写非标准 token ⇒ 红；②缺省不报 warn ⇒ 红；③某层把 storage_form 写成同义名 ⇒ doc-consistency 红,integration/quick,ACCEPTANCE_SPEC.md §3.1；ENGINEERING_SPEC.md §10 落盘形态条目,保留,S,CHK-HIPS-STORAGE-FORM（保留）
CHK-SCI-REF,保留,DOC-LINE-ANCHORS,全库文档行号锚 vs 源文件实测（扫描面 docs/**/*.md）+ 锚合同 §1 规模声明,python3 eng/ci/run_checks.py --check CHK-SCI-REF --quiet,C1 目标 tracked / C2 锚可解析且未解析逐条登记 / C3 区间在界内 / C4 逐符号绑定 / C5 豁免项仍是活锚 / C6 起止行取非空行 / C7 锚合同规模声明与实测逐字相等 / C8 未解析台账只减不增；9 豁免 + 26 未解析逐条点名,全锚可解析 ⇒ 绿,①改一个被锚符号的行数而不改文档 ⇒ 红；②把豁免项的锚删掉 ⇒ C5 红；③台账新增一条未解析 ⇒ C8 红,module/quick,docs/algorithms/anchors/ANCHOR_CONTRACT.md；ENGINEERING_SPEC.md §10,保留（订正：C7 的「声明与实测逐字相等」归 GATE-NO-HAND-COPIED-NUMBERS 统一口径，避免两处各判一次规模数字）,S,CHK-SCI-REF / DOC-LINE-ANCHORS（保留+接双要素）
DOC-INDEX,改造,DOC-INDEX-SELFTEST,docs/DOCUMENT_INDEX.yaml 全部条目 × git ls-files 跟踪集（含 实验/ 与 工程控制/）,python3 eng/tools/doccheck/check_doc_index.py --strict,按《索引重建规格》C1–C12 执行：对象集唯一推导自跟踪集（不掺磁盘遍历）、登记义务全覆盖、排除面逐条带理由且被复算、role/topic 封闭枚举不从目录名派生、上游号—标题双要素、任意路径形态指针可解析、派生字段现算回写,干净克隆上全登记全解析 ⇒ 绿,①删一条登记 ⇒ C3 红；②把口径缩回只查 docs/** ⇒ C3 红（93 份口径外对象即证据）；3 上游写 §8.4（模块与 ABI）而该节标题是「顶层结构」⇒ C8 红,module/quick,标准 01 §3；《索引重建规格》§1/§6,改造（C1–C12 落地即其判据；19 例自检保留并补 C5/C6/C9 用例）,M,DOC-INDEX / DOC-INDEX-SELFTEST（改造）
CHK-DOC-HYGIENE,改造,,正式文档层正文的写法形态 + docs/KNOWN_LIMITATIONS.md 条目号与证据台账编号表,python3 eng/tools/doccheck/check_doc_hygiene.py --json-out run/ci/doc-hygiene/doc_hygiene.json,D1 判红面 = 逐字裁决引述 / 订正流水 / 工作项编号（豁免面固定登记，不从目录名现算）；D2 条目号与台账编号表双向一致、仓库内引用全部可解析；PREEXISTING 台账只减不增；词表为空即红,全清 ⇒ 绿,①正文加日期流水一行 ⇒ 红；②台账新增条目 ⇒ 棘轮红；③把命名空间前缀来源改回目录名 ⇒ 干净克隆上词表空 ⇒ 红（这是本条必须修的直接原因）,module/quick,负责人文档口径；《索引重建规格》C11；本件 §7.6,改造（判据集合来源固定化，见 GATE-WRITING-STYLE-VOCAB）,M,CHK-DOC-HYGIENE / -SELFTEST（改造）
CHK-NAMING-SURFACE,保留,,git grep -w 扫到的历史名三族命中集 × eng/ci/ledgers/naming_surface.json 的保留类与 path_globs,python3 eng/ci/check_naming_surface.py --json-out run/ci/naming-surface/naming_surface.json,R1 类闭包（每处命中必须落在登记类内）/ R2 保留类非空（僵尸类判红）/ R3 定义面棘轮只减不增 / R4 类 path_globs 必须真命中（静默失效判红）/ R5 变更集覆盖不可改类即红；输入缺失或正则非法 fail-closed；14 例自检,全命中落类 ⇒ 绿,①注册一个 glob 命中 0 文件的保留类 ⇒ R4 红；②在类外留一处旧名 ⇒ R1 红；③把唯一源（ENGINEERING_SPEC §15）改词表不同步 ⇒ 红,module/quick,ENGINEERING_SPEC.md §15；docs/ci/01_CHECKS.md §2 该行列,保留（其 R4「登记项必须真命中」是全仓与 GATE-INPUT-PRODUCER 同型的守卫，作为范本引用）,S,CHK-NAMING-SURFACE（保留）
CHK-REGISTRATION-ANCHORS,保留,,eng/contracts/** 与 eng/ci/** 登记 JSON 的活引用路径值 + 棘轮台账,python3 eng/ci/check_registration_anchors.py --json-out run/ci/registration-anchors/report.json,R1 白名单键的活引用必须存在；R2 登记册对象一律落正式面（run/ 在登记面之外）；台账按（规则|文件|类别）逐值登记只减不增，对象回来了判红；输入缺失或扫描面空判红；13 例正负例,全部活引用可解析且台账无新增 ⇒ 绿,①删一个被登记文件 ⇒ 红；②把登记项指向 run/ ⇒ R2 红；③台账新增一条 ⇒ 棘轮红,module/quick,ENGINEERING_SPEC.md §10 锚存活；docs/ci/01_CHECKS.md §2 该行列,保留（该 ID 的文档行现写「实现已落地，注册项待写入」而它已在册，该措辞由 GATE-DOC-TABLE-GENERATED 强制订正）,S,CHK-REGISTRATION-ANCHORS / -SELFTEST（保留）
CHK-MUTATION-GATES,保留,,eng/ci/mutation_gates.json 的 design_claim 锚（文档/节号/行号/引文四查）+ 每条 gate 的 driver/registration/evidence 路径,python3 eng/ci/check_mutation_gates.py,锚四查任一失败即红；登记项的对象缺失且未在 gone_artifacts 显式登记即红；gone_artifacts 只减不增；输入缺失/不可解析 fail-closed,10 条科学变异门全部有对象 ⇒ 绿,①删一条 driver 文件 ⇒ 红；②把 gone_artifacts 条目删掉而对象仍缺 ⇒ 红；③文档行号漂移而引文未更新 ⇒ 四查重算红,module/quick,docs/ci/01_CHECKS.md §2 该行列；eng/ci/mutation_gates.json 自述,保留（限定：它是「科学缺陷注入是否还有对象」的门，不是「门禁有无判别力」的证据；任何文档不得用它替代 GATE-DISCRIMINATION-SURVEY）,S,CHK-MUTATION-GATES（保留+限定表述）
CHK-BLOCKFLOW-SPEC,保留,,块流规格注册表 × 阶段块图 × 代码侧端口锚点（文件:行 + token）× 一致性登记册,python3 eng/ci/run_checks.py --check CHK-BLOCKFLOW-PORTS-VS-CODE --quiet,节点集/operation/entry/端口逐字一致；DAG 拓扑序与生产者唯一；每条证据的文件:行 + token 复核（代码改了即红）；符号级锚抗行号漂移；禁注释行凑证据；C3 实现⇒声明双向；C4 方向须被变量流角色证据确认，推不出即红；C6 非退化（模块/端口/token/边数下界，空注册表判红）,规格与代码双向闭合 ⇒ 绿,①改一个端口名不改文档 ⇒ C2 红；②代码里新增一个产物 token 不声明 ⇒ C3 红；③把证据换成注释行 ⇒ 红；④清空注册表 ⇒ C6 红,module/quick,ASTROCS_DESIGN.md §8.2；docs/contracts/PIPELINE_BLOCK_CONTRACT.md；ENGINEERING_SPEC.md §10,保留（其「文件:行 + token 复核 + 双向」是本件 §7.1 双要素判据的实现范本）,S,CHK-BLOCKFLOW-SPEC / -CONFORMANCE / -PORTS-VS-CODE（保留）
CHK-ALGO-WIRING,改造,,算法/关键 API 在生产调用图中的可达性 + DORMANT 台账,python3 eng/ci/check_algo_wiring.py --json-out run/ci/fix-gates/algo_wiring.json,判据面保留；本条的处置是数据：该项登记 platform=linux 同时进 windows-main 档且 waivable=false，使同一注册项在 CI 面必判 FAIL(prerequisite)、在人工面判 rc=0——两列今天已经互相打脸,改 platform:any 或移出 windows-main（择一，同提交）后两入口给出同一判定 ⇒ 绿,不修数据 ⇒ GATE-PROFILE-PLATFORM 红；把它改成 waivable=true 以让 CI 闭嘴 ⇒ GATE-EXEMPTION-DISCIPLINE 红,module/quick,AGENTS.md §6（不串三阶段/不静默跳过）；docs/ci/CI_SPEC.md §2.6,改造（仅数据与平台声明，判据不动）,S,CHK-ALGO-WIRING（改造：数据）
CHK-P3-PROJ-DECL,保留,,投影注册表声明集 × 实际可运行集 × CLI 面对未实现投影的显式拒绝输出,python3 eng/ci/run_checks.py --check CHK-P3-PROJ-DECL --quiet,声明集==可运行集；未实现投影必须显式报「不支持」，静默回落 TAN 即红；注册表自检单元跑 p3_projection_unsupported_cli,全投影要么可运行要么显式拒绝 ⇒ 绿,①注册一个无实现的投影且不加拒绝分支 ⇒ 红；②把拒绝文案正则改掉 ⇒ CLI 面红（该项 platform:linux，人工面须由唯一执行器判 not_effective 而非绿——GATE-ZERO-EFFECTIVE 的点名样本）,module/quick,ASTROCS_DESIGN.md §6.3；docs/science/ASTROMETRY.md,保留,S,CHK-P3-PROJ-DECL / -SELFTEST（保留）
CHK-AIO-IO-BOUNDARY,保留,AIO-IO-BOUNDARY-SELFTEST,lib/** 源码中除 aio 之外的 I/O 原语命中集 + 台账 inventory,python3 eng/ci/check_aio_io_boundary.py --self-test,HARD H1/H2 + 代码面 + 台账棘轮：除 aio 外越界 I/O 命中数必须为 0；台账缺失 fail-closed；HARD 层不得被台账豁免（8 条负例覆盖）,越界命中 0 且台账与实扫一致 ⇒ 绿,①在某节点 TU 直接 fopen ⇒ 红；②把越界命中写进台账想豁免 HARD 层 ⇒ HARD 不可豁免负例红,module/quick,ASTROCS_DESIGN.md §10；docs/architecture/IO_AND_ATOMICITY.md,保留,S,CHK-AIO-IO-BOUNDARY / AIO-IO-BOUNDARY-SELFTEST（保留）
CHK-CONFIG-DEFAULTS,改造,,同一配置键的全部默认值载体：代码兜底 / eng/packaging/config/defaults.json / 出厂配置模板 / CLI 骨架默认值,python3 eng/ci/check_config_defaults.py --json-out run/ci/fix-gates/config_defaults.json,逐键核对四侧默认值完全相等且指向同一数值源；任一侧缺载体或值不等即红；模板锚缺失 ⇒ ANCHOR_MISSING 红（保留）；本件加严：判据不得只比「键存在」，必须比数值字面量,全键四侧合流 ⇒ 绿,①把 defaults.json 某键改值而代码兜底不改 ⇒ 红；②删掉一个模板 ⇒ 红；③新增键只在一侧出现 ⇒ 红,module/quick,ASTROCS_DESIGN.md §3.2；docs/contracts/CONFIG_CONTRACT.md；ENGINEERING_SPEC.md §7 形态键缺省条款,改造（把「存在性比较」订正为「数值比较」并把全部载体纳入扫描面）,M,CHK-CONFIG-DEFAULTS（改造）
CHK-GATES-AND-TOLERANCES,保留,,门与容差表（docs/algorithms/GATES_AND_TOLERANCES.md）× 实现里的对应常量与判据,python3 eng/tools/check_gates_and_tolerances.py --self-test,表内每条科学阈值/容差在实现面可解析且数值相等；表有而实现无、或实现有而表无 ⇒ 红；7 组注入覆盖两侧,表与实现逐条对齐 ⇒ 绿,①改实现常量不改表 ⇒ 红；②改表不查实现（历史上该表此前没有任何门校验）⇒ 红；③新增常量未进表 ⇒ 红,module/quick,docs/algorithms/GATES_AND_TOLERANCES.md；标准 05 §5 一条门对应一条口径,保留（阈值对照的唯一面；与 GATE-NO-HAND-COPIED-NUMBERS 分工：本条比数值一致性，后者禁止手抄规模读数）,S,CHK-GATES-AND-TOLERANCES / -SELFTEST（保留）
CHK-TEST-DISCRIMINATIVE,保留,,eng/tests/** 与 lib/** 测试源码里的空断言/恒真断言形态（Python AST + C++ 剥注释扫描）,python3 eng/ci/run_checks.py --check CHK-TEST-DISCRIMINATIVE --quiet,findings 必须为 0；扫描面为空即红；其 2 正 + 6 负例必须注册进 negative 字段（今天该面只有 1 个执行单元、文档写了 --self-test 但注册命令面不含它）,全测试面无恒真断言 ⇒ 绿,①塞一条 CHECK(true) ⇒ 红；②把扫描面指向空目录 ⇒ 红；③把 self-test 单元从注册表删掉 ⇒ GATE-DISCRIMINATION-SURVEY 的 S1 面红,unit/quick,标准 05 §2 恒真断言无证据资格；ENGINEERING_SPEC.md §10,保留（补 negative 字段与文档行，不新增判据）,S,CHK-TEST-DISCRIMINATIVE（保留+补登记）
CHK-EXIT-CONSISTENCY,保留,,全部在册检查器源文件里「打印 FAIL 判词」与「非零退出路径」的静态配对,python3 eng/tools/quality/check_exit_conclusion_consistency.py --json-out run/ci/exit-consistency.json,打印 FAIL/红判词的门必须存在非零退出路径（防 fail-open）；含自检单元,全部门两侧配对成立 ⇒ 绿,①写一个打印 FAIL 但恒 return 0 的检查器 ⇒ 红；②把该静态扫描的扫描面清空 ⇒ 自检红,unit/quick,ENGINEERING_SPEC.md §10 fail-closed；docs/ci/01_CHECKS.md §2 该行列,保留（方向正确的静态门；与 GATE-DISCRIMINATION-SURVEY 互补：静态防 fail-open，动态证能抓缺陷）,S,CHK-EXIT-CONSISTENCY（保留）
CHK-DEEP-PROFILES-TESTS,合并,,prerequisite 三分支探测、注册表 strict 接受/拒绝、plan-only 档位选择、deep 工具越界行为,python3 -B -m unittest discover -s eng/ci/tests -t eng/ci/tests -p test_deep_profiles.py,其 33 例是本件 GATE-ZERO-EFFECTIVE / GATE-PROFILE-PLATFORM / GATE-REGISTRY-FIELDS / GATE-TIER-BUDGET 四条判据的用例载体：合并为这四条门的自检面，不再作为独立注册项计入「门总数」,四组用例全绿 ⇒ 对应四条门各自的正例,①plan-only 选择器把真跑 CTEST 拉进 fast ⇒ 档位选择用例红；②prerequisite 缺失非 waivable 却出 SKIP ⇒ 三分支用例红,unit/quick,docs/ci/CI_SPEC.md §2.6；标准 05 §4,合并（用例并入上述四条门的 negative/positive 面；该 ID 退役并登记去向）,M,CHK-DEEP-PROFILES-TESTS（合并）
CHK-COVERAGE,改造,,本轮覆盖率测量报告（lcov/coverage.py 产物）与阈值面,python3 eng/ci/run_checks.py --check CHK-COVERAGE --quiet,文档标 P2（报告项）而该项 platform:linux ⇒ 人工面可整项零执行记 PASS；改造后：报告项必须声明 layer=module、tier=measure、object_class=build，且报告类单元的「绿」只能表述为「报告已产出」，不得进入任何层的达标分子,报告产出且读数落证据 ⇒ 记 produced（不是 pass）,①把报告项写成 pass 计入层结论 ⇒ GATE-LAYER-SYNTHESIS 红；②报告未产出而登记了 outputs ⇒ FAIL(missing_output) 红,module/measure,docs/ci/01_CHECKS.md §3 分级定义；标准 05 §6,改造（报告项与门的分界显式化；解除零执行可记绿的暴露面）,S,CHK-COVERAGE（改造：定性）
CHK-SANITIZER,改造,,ASan/UBSan 构建下的真跑测试结果集,python3 eng/ci/run_checks.py --check CHK-SANITIZER --quiet,判据保留；处置项：该项 platform:linux 且属 23 个可整项零执行的注册项之一，文档标 P1 ⇒ 必须经唯一执行器在登记平台上执行才计层，人工点名一律记 not_effective,在 Linux 上真跑且无 sanitizer 报错 ⇒ 绿,在 Windows 上点名 ⇒ rc≠0 且判词点名「平台不符，未执行」（今天 rc=0）,integration/measure,ACCEPTANCE_SPEC.md §4；docs/ci/CI_SPEC.md §2.6,改造（数据与表述面，判据不动）,S,CHK-SANITIZER（改造：档与暴露面）
SPEC-POLARITY-CONSIST-01,改造,,验收判据关键词 × 最高设计冻结语句（P1 在场 / P2 反义 / P3 段内可解析到配置键或推导式 / P4 配置真值逐键复算活载体）,python3 eng/tools/doccheck/check_spec_polarity_consistency.py --self-test,四条子判据齐备；缺输入/寄存器为空/扫描面空一律红；12 例（2 绿 + 10 红）；本条订正三处：①文档 §2 该行列写「注册项待写入」而该项已在册（口径与事实打架，无门可见）；②其顶层与 step 均缺 waivable 显式声明（靠继承，属 GATE-REGISTRY-FIELDS 的回填对象）；③自检单元登记了本体的证据路径 run/ci/spec-polarity/gate.json（证据归属互串，全表唯一一例）,三项订正完成后：冻结语句在场且无反义 ⇒ 绿,①把「仍是线性面亮度」在验收面写成「落盘为星等」⇒ P2 红；②文档保留「注册项待写入」字样而该项在册 ⇒ GATE-DOC-TABLE-GENERATED 红；③把配置默认值改一侧不改另一侧 ⇒ P4 红,module/quick,ACCEPTANCE_SPEC.md §2 冻结语句条款；ASTROCS_DESIGN.md §2.1/§2.2；docs/ci/01_CHECKS.md §2 该行列,改造（三条订正，判据不动）,M,SPEC-POLARITY-CONSIST-01 / -SELFTEST（改造）
CHK-DOCS-MACHINE-CONSISTENCY,保留,,文档↔代码机器一致性 11 条检查（配置键作废留痕、frame-id、退出码集、积分/排异状态全集、stage ID、SNR 常数、产品位、drizzle 方差公式、同常数多写法、源路径锚存活）,python3 eng/tools/docs_machine_consistency.py --json-out run/ci/docs-machine-consistency/docs_consistency.json,11 条各自 fail-closed；同常数多写法判「一种全精度写法 + 截断只能在 ≈/简写语境且给权威值」；锚存活按 basename + 期望内容在跟踪面解析（迁移改址自动跟随）；--self-test 用临时 mini-repo、--fault-inject 在真仓副本注入,11 条全一致 ⇒ 绿,①把一个科学常数写成两种精度 ⇒ 第 10 条红；②删一个被文档锚定的源文件 ⇒ 第 11 条红；③退出码集缺一 ⇒ 第 3 条红,module/quick,ENGINEERING_SPEC.md §8 五条规则；docs/ci/01_CHECKS.md §2（该 ID 现缺文档行，须补）,保留 + 补 §2 表行与 step 级登记（现只有 2 个顶层项、其文档行零登记）,S,CHK-DOCS-MACHINE-CONSISTENCY / -SELFTEST（保留+补登记）
CHK-PROD-WIRING,改造,,能力声明面（lib/**/module.yaml、integration.json、module_ports.registry.json、公共头 AC_API）× 生产调用图 × 调用点实参字面量,python3 eng/ci/check_prod_wiring.py --json-out run/ci/prod-wiring/report.json,W1 声明符号在生产调用图不可达即红；W2 输入侧形参在所有生产调用点恒传退化字面量即红；台账显式豁免必须逐条带理由且被复算；判据自述「过近似 ⇒ 判绿方向可能偏松」，因此豁免面必须有负例；本条订正：该注册项只有 1 个执行单元、无 outputs、无负例入口登记,全声明可达且无退化实参 ⇒ 绿,①把某能力实现好但不接节点（历史母题「cosmetic 恒等 pass」形态）⇒ W2 红；②新增一条台账豁免而不带理由 ⇒ 复算红；③把豁免写成全局放行 ⇒ 豁免分支负例红,module/quick,ASTROCS_DESIGN.md §8；docs/architecture/MODULE_MAP.md（该 ID 在 docs/ci/** 零出现，属须补登记面）,改造（补结构化证据 + negative 面 + 文档行；判据不动）,M,CHK-PROD-WIRING（改造：补负例与豁免分支）
CHK-KNOWN-FAILURES-BASELINE,改造,,本轮全部 per-check 结果与 ctest JUnit × 版本化基线文件 eng/ci/known_failures_baseline.json,python3 eng/ci/run_checks.py --check CHK-KNOWN-FAILURES-BASELINE --quiet,保留「末位聚合：读同 run 全部上游结果」（既有 R10 与 reads_run_results 屏障）；删除其盖红能力：KNOWN_FAIL 必须在汇总面仍判红；基线条目必须带条件与到期核对，新增门级条目即红（并入 GATE-EXEMPTION-DISCIPLINE 的 R-d/R-e）,基线与本轮读数为空且无过期条目 ⇒ 绿,①把一条 CHK-* 门级红写进基线 ⇒ 红；②基线条目过期 ⇒ 红；③聚合单元排在上游之前 ⇒ 读数不全即红,release/measure,docs/ci/CI_SPEC.md §4；标准 05 §6 不以豁免静默覆盖红灯,改造（保留聚合职责，剥离洗绿职责）,M,CHK-KNOWN-FAILURES-BASELINE（改造）
eng/tools/check_p1_symbol_map.py + lib/phase1_session/README.md §7,退役,,被点名的判据对象 docs/refactor/P1_SYMBOL_MAP.md 已随归档提交删除（跟踪集 ls-files 为空 + 删除历史在案）,（无——本条是删除动作，不是命令）,三重虚假授权必须消除：README 以现在时点名一个从未在册、一跑即抛（模块级读已删文件 ⇒ import 期 FileNotFoundError）、判据对象不在库内的脚本；同时 docs/ci/01_CHECKS.md §2.1 把它分类为「非检查器（无判据、无退出码语义）」，而该文件本体明写三条判据并有 return 1/0 ⇒ 分类不成立,删除 README 点名两行 + 删除脚本 + 订正分类理由 ⇒ 文档锚门与索引门全绿,①只删脚本不删 README 点名 ⇒ DOC-INDEX 悬空判红；②只删 README 不删脚本 ⇒ 死件仍在跟踪集且 GATE-DOC-TABLE-GENERATED 看不见（它不在注册表）；③两者分两个提交 ⇒ 中间态必红（故必须同提交）,module/quick,标准 05 §5 孤儿检查器定案；ENGINEERING_SPEC.md §8 规则 4 悬空即缺陷,退役（两处同提交删除）,S,eng/tools/check_p1_symbol_map.py + lib/phase1_session/README.md §7（退役双删）
eng/ci/polarity_probe.py / reconcile_state.py / verify_ciqa_report.py,定案,,三者的调用面：eng/ci/checks.json、.github/workflows/*、eng/ci/steps/*、任何 import 方（实算全为零命中）,（按定案分支：注册后为 python3 eng/ci/run_checks.py --check <新 ID>；退役则无参调用打印退役标识并 exit 2）,孤儿检查器三选一并留痕：注册为门 / 按退役契约退役 / 删除。其中 polarity_probe 的「逐门真跑命令」探针面正是 GATE-DISCRIMINATION-SURVEY 缺的那一层 ⇒ 优先改造接进 S1；同时 eng/ci/polarity_evidence.json 的 generated_by 仍署名该死件 ⇒ 在册证据由从未被跑的东西产出，必须撤证据面或注册生产者,定案完成：要么该 ID 在注册表可跑，要么退役标识+显式复跑入口在位且证据面已撤 ⇒ 绿,①保留 polarity_evidence.json 而被署名者仍无入口 ⇒ GATE-EVIDENCE-FRESHNESS/OWNERSHIP 红；②退役但无 --self-test 面 ⇒ 退役契约不合规即红（同类已有一例）,module/quick,标准 05 §5；docs/ci/01_CHECKS.md §2.1 退役契约,改造后注册（polarity_probe）；另两者退役或删除,M,eng/ci/polarity_probe.py / reconcile_state.py / verify_ciqa_report.py（定案）
eng/ci/select_candidate.py,纳入注册,,fatduck 候选选择决策：GitHub API 读取的候选状态 + 本地登记面；其 rc=3 分支在 fatduck.yml 里直接决定「Windows 候选缺失是否失败」,python3 eng/ci/select_candidate.py（注册为 fatduck 档单元，含 timeout、inputs、optional_inputs、waivable=false）,一条能决定候选成败的判据不得跑在注册表面外：无登记 timeout、无 outputs 证据、无 waivable 语义、不被任何普查覆盖、不进分级表 ⇒ 现状五项全缺；注册后按同判据复核,注册后 rc=0/1/3 三态均有证据件与判词 ⇒ 绿,①把它从注册表删掉而 workflow 仍直调 ⇒ workflow 治理判据红；②候选缺失却返回 0 ⇒ 其自身负例红（须先补 --self-test）,release/measure,docs/ci/CI_SPEC.md §2.1（注册表是唯一派发面）；标准 05 §5,新增注册（现有脚本转正，非新写判据）,M,eng/ci/select_candidate.py（注册）
eng/tools/quality/check_source_inventory.py / eng/tools/check_traceability_matrix.py / eng/tools/check_traceability.py,改名,,三个件的「名实相符」面：文件名承诺 check 判据 vs 实际是否有判据与退出码语义；两个同名 check_traceability_matrix.py 是否同物,（不适用——本条是改名/补齐动作，改后由各自主门校验）,①名为 check 实为枚举生成器（main 只有 return 0，无判据）⇒ 改 gen_* 或并入 build 面，且改后其历史命令引用方必须同步；②与在册门同名的退役件必须改名或移目录，杜绝「同名不同物」被下轮当同一件；③按退役契约的件若缺 --self-test 或复跑入口不是 --legacy-* 而是位置参数 ⇒ 文档的全称断言「每个都带 --self-test」不成立 ⇒ 补齐或逐条如实改写,三项订正后，docs/ci/01_CHECKS.md §2.1 的全称句与逐件事实一致 ⇒ 绿,①留一个 check_*.py 而它无任何退出码语义 ⇒ 退役契约/注册表门红；②同名两件同时存在 ⇒ 锚门按 basename 解析时给出两候选 ⇒ 歧义即红（现有件已按「多候选择全查」写过，复用该判据）,module/quick,docs/ci/01_CHECKS.md §2.1 退役契约；标准 05 §5,改造（改名/补齐，不新增判据）,S,eng/tools/quality/check_source_inventory.py / eng/tools/check_traceability_matrix.py / eng/tools/check_traceability.py（改名与补齐）
BATCH-B1,批量族,,116 个执行单元共用的 ctest 单目标驱动：构建树内已注册目标集 × 每单元 --target 表达式,python3 eng/tools/quality/deep_ci_driver.py ctest-target --build-dir <dir> --target <t> --output run/ci/ctest/<t>.json,保留其零命中守卫（构建树未 configure 或目标未注册时 ctest -R 打印 No tests 且 rc=0 的历史缺陷已按 matched==0 ⇒ rc=1 堵死）；加 shared_driver 维度：结果面按驱动去重后报「独立判据数」，禁止用单元数冒充独立裁判数；登记侧 glob 与命令侧正则必须做集合等价校验（两侧覆盖集分叉即红）,目标命中数 >0 且两侧集合等价 ⇒ 绿,①把 build-dir 指向未 configure 的目录 ⇒ matched=0 ⇒ 红；②登记 ctest_targets 写 foo_* 而命令 --target 写 foo.* 且存在歧义目标 ⇒ 集合等价判据红；③注册一条匹配不到任何现存目标的历史目标 ⇒ 陈旧注册红,unit|module/measure,标准 05 §4 分层；docs/ci/CI_SPEC.md §2.3 ctest_targets 条款,保留（批量按规则归类，未逐条判 116 个目标单元的内容判据）,M,BATCH-B1 ctest 目标族（批量）
BATCH-B2,批量族,,45 个以 python -m unittest discover 执行的单元：目录内用例采集数与结果,python3 -B -m unittest discover -s <dir> -t <dir>,保留 R11（采集用例数>0、直跑验收脚本必须贡献≥1 用例）；加严：discover 族必须落机器可读结果（JUnit 或 JSON）进 outputs，不得只靠 rc；「整目录 discover 的绿是 sys.path 顺序副作用」这类已知形态必须以逐文件独立进程跑（现有 CHK-CI-CONTRACT-SELFTESTS 的做法推广）,用例数>0 且结果件在场 ⇒ 绿,①把目录清空 ⇒ R11 红；②删掉一个坏模块使 discover 静默少跑 ⇒ 逐文件面红；③无结果件 ⇒ FAIL(missing_output) 红,unit/measure,ENGINEERING_SPEC.md §5/§10；docs/ci/01_CHECKS.md §2 CHK-CI-CONTRACT-SELFTESTS 行,保留（批量归类，未逐条判 45 个目录的断言内容）,M,BATCH-B2 unittest 族（批量）
