路径,层级,当前存在,现存文件数,被提交触及次数,累计增行,累计删行,引入_seq,引入_sha8,引入日期,引入消息,最后改动_seq,最后改动_sha8,最后改动日期
reports/wbpp_feature_matrix.md,已不在树中,否,,3,56,6,658,1145a28f,2026-08-14,reports+v16: final status / feature matrix / normalization / satellite v2 / full,980,e1604f14,2026-08-27
runtime/pipeline,目录,是,8,3,1418,0,1483,5d38ebd7,2026-09-02,feat(runtime): RT-001 实现类型化运行图,1930,adfdda7e,2026-09-14
tests/io,目录,是,13,3,1610,0,1486,caee3e67,2026-09-03,feat(io): IO-001 实现流式FITS读写API并修复F32字节序,1510,442958df,2026-09-03
tools/README.md,目录或文件,否,,3,166,83,151,5ec98660,2026-07-27,tools: 新增 astro_toolkit.py Python 工具集（跳过沙箱确认）,343,dac3b8cf,2026-08-04
tools/api_doc_consistency.py,目录或文件,否,,3,257,23,664,85851c2f,2026-08-14,docs(phase2-v17): docs/API/config machine consistency - PUBLIC_API/SCIENCE_FREEZ,1701,6c5f5fc9,2026-09-08
tools/assemble_v17_review_pkg.py,目录或文件,否,,3,355,12,667,88293174,2026-08-14,"tools+v17: repo source manifest generator (4197 files SHA256), review package as",738,d22a3ff6,2026-08-22
tools/check_cli_run_preset.py,目录或文件,否,,3,84,22,1325,e5b84f30,2026-08-31,CLI-002: run preset/IR 驱动 + Artifact 哈希链,1583,5e457d42,2026-09-06
tools/check_legacy_exit.py,目录或文件,否,,3,86,1,1328,fb0d081d,2026-08-31,LEG-002: 旧 Orchestrator 退出生产,1330,6a66acab,2026-08-31
tools/check_release_consistency.py,目录或文件,否,,3,68,10,1345,457dcf6b,2026-08-31,G11-CONSISTENCY: 发布一致性校验 (VERSION/SBOM/checksums),1701,6c5f5fc9,2026-09-08
tools/check_reproducible_build.py,目录或文件,否,,3,117,21,1352,60493ea3,2026-08-31,QA-005: 可复现构建依赖与 SBOM,1593,f0bc039a,2026-09-07
tools/make_linux_release.py,目录或文件,否,,3,175,4,1194,5364fc17,2026-08-29,(LNX-005) Linux alpha amd64发布包生成器+SBOM/manifest/hash+空目录smoke单exe PASS,1367,99a79200,2026-08-31
tools/make_windows_release.py,目录或文件,否,,3,188,4,1231,b8ce3669,2026-08-30,(WIN-009) 新增 Windows 发布包工具 make_windows_release.py: 单一 astrocs.exe+私有VC运行时DLL+MA,1367,99a79200,2026-08-31
tools/science_contract_lint.py,目录或文件,否,,3,85,9,1047,cc64ba1a,2026-08-28,(SCI-001) Calibration科学合同补全 — Frames/专属问题7项逐锚回答/Primary literature 3条核验定位/Accept,1572,63721d70,2026-09-06
ci/actions.lock.json,目录或文件,否,,2,41,2,1538,a032c0cc,2026-09-06,feat(ci): V8-CI-007 双平台 workflow、action 锁与 CI 辅助链 [V8-CI-007],1540,9b3fe93e,2026-09-06
ci/ci_repair_round.py,目录或文件,否,,2,734,5,1818,71cdc28f,2026-09-12,feat(CI/CI-REPAIR-001): CI修复常驻线轮报器(Checks API全量回拉+失败job日志+归因映射),1821,830b38c6,2026-09-12
ci/known_failures.json,目录或文件,否,,2,106,23,1822,778fe98e,2026-09-12,feat(CI/CI-BASELINE-001): known-failures 基线机器化——失败集 ⊆ 版本化基线成为不可豁免 CI 门（STD-F9 处置,1944,ccc7a933,2026-09-14
ci/resource_monitor.py,目录或文件,否,,2,82,0,1534,e1fde093,2026-09-06,feat(ci): V8-CI-005 linux-deep 检查注册与 deep 构建驱动链 [V8-CI-005],1548,77da09ef,2026-09-06
ci/toolchain.lock.json,目录或文件,否,,2,191,47,1524,becc85a0,2026-09-05,chore(ci): V81-ADOPT-004 Agent 主机工具链盘点与锁存 [V81-ADOPT-004],1559,b6001684,2026-09-06
ci/validate_candidate.py,目录或文件,否,,2,312,3,1538,a032c0cc,2026-09-06,feat(ci): V8-CI-007 双平台 workflow、action 锁与 CI 辅助链 [V8-CI-007],1542,1e50d49e,2026-09-06
ci/verify_remote_run.py,目录或文件,否,,2,473,3,1553,2ca7361e,2026-09-06,fix(ci): V8-CI-012 修复轮 1 ASan 目标旗标/coverage 工具链/远端验证器 [V8-CI-012],1554,485b8b86,2026-09-06
ci/verify_workspace_adoption.py,目录或文件,否,,2,257,7,1522,af9ecdc5,2026-09-05,chore(evidence): V81-ADOPT-002 冻结预存状态与远端关系 [V81-ADOPT-002],1574,e4f77ccb,2026-09-06
ci/workflow_binding.json,目录或文件,否,,2,229,2,1823,a67bbc83,2026-09-12,feat(CI/CI-001B): workflow与注册表联动核死(workflow只调run.py + 候选缺失fail-closed + actions锁,1872,c21eec50,2026-09-13
cli/memory_report.h,目录或文件,否,,2,671,57,1754,acceab68,2026-09-09,test(resource): MON-002 增加内存增长检测——memory_report.h 双探针(glibc mallinfo2+/proc smap,1949,c1959436,2026-09-14
cli/process.h,已不在树中,否,,2,45,0,1681,dd89e530,2026-09-08,fix(p1-batchG): cli P1×2+bench verdict——std::system 拼接族×2 改跨平台进程API(argv零shell解析,1683,fa60113b,2026-09-08
cli/resource_events.h,目录或文件,否,,2,136,1,1142,af69a9c4,2026-08-29,(MON-002) 资源事件分层 — --resource-detail summary|timeseries+resource/backend事件(07§2指,1439,e25f3f0c,2026-09-01
contracts/schemas_tmp,已不在树中,否,,2,0,0,1781,64c1e988,2026-09-09,fix(P1-HIPS-TEST): tree_digest FITS CHECKSUM/DATASUM 时间戳归一化——fnv_file 对 .fits/.f,1782,009ee419,2026-09-09
docs/BUILD_RELEASE.md,已不在树中,否,,2,32,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/DATA_CONTRACTS.md,已不在树中,否,,2,44,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/DESIGN_IMPL_GAP.md,已不在树中,否,,2,687,687,112,d411565e,2026-07-24,"docs: integrate root documentation, specs, and gitignore into main repo",203,036a3bb5,2026-07-29
docs/DIAGNOSTICS.md,已不在树中,否,,2,47,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/ERROR_TAXONOMY.md,已不在树中,否,,2,57,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/MODULE_INDEX.md,已不在树中,否,,2,17,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/PERFORMANCE.md,已不在树中,否,,2,28,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/PHASE2.md,已不在树中,否,,2,49,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/PIPELINE_OVERVIEW.md,已不在树中,否,,2,59,59,112,d411565e,2026-07-24,"docs: integrate root documentation, specs, and gitignore into main repo",203,036a3bb5,2026-07-29
docs/PROJECT_OVERVIEW.md,已不在树中,否,,2,217,217,112,d411565e,2026-07-24,"docs: integrate root documentation, specs, and gitignore into main repo",203,036a3bb5,2026-07-29
docs/SCIENTIFIC_ALGORITHMS.md,已不在树中,否,,2,17,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/SNR_NOISE_MODEL.md,已不在树中,否,,2,120,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/TESTING_AND_ACCEPTANCE.md,已不在树中,否,,2,33,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/archive,目录,是,28,2,2275,2,1480,b7b2dea7,2026-09-02,docs(governance): GOV-002 归档非当前工程文档,1491,9bc3d0fd,2026-09-03
docs/governance,目录,是,1,2,108,9,1482,39e77317,2026-09-02,build(version): GOV-003 统一Alpha版本事实源,1526,b4f923cc,2026-09-05
docs/performance,目录,是,2,2,42,0,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,627,7baeaa99,2026-08-13
docs/phase2,已不在树中,否,,2,89,0,965,535e7387,2026-08-25,feat(pre-release): complete R70 AstroCS v20 pre-release science closure (all fix,1480,b7b2dea7,2026-09-02
docs/release,已不在树中,否,,2,47,0,965,535e7387,2026-08-25,feat(pre-release): complete R70 AstroCS v20 pre-release science closure (all fix,1480,b7b2dea7,2026-09-02
docs/stage1_fix,已不在树中,否,,2,1057,1057,227,b4bcf8e7,2026-07-31,docs(stage1_fix): 新增Stage1/HISS修复规范文档,341,6e9dc1b8,2026-08-04
docs/superpowers,已不在树中,否,,2,9564,9564,112,d411565e,2026-07-24,"docs: integrate root documentation, specs, and gitignore into main repo",203,036a3bb5,2026-07-29
engineering/00_START_HERE.md,已不在树中,否,,2,54,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/01_PROJECT_CHARTER.md,已不在树中,否,,2,73,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/02_BASELINE_AUDIT.md,已不在树中,否,,2,106,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/03_TARGET_SYSTEM_ARCHITECTURE.md,已不在树中,否,,2,123,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/04_ENGINEERING_CONTROL_MODEL.md,已不在树中,否,,2,92,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/05_REPOSITORY_AND_DEPENDENCY_MANAGEMENT.md,已不在树中,否,,2,97,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/06_DATA_MANAGEMENT_SPEC.md,已不在树中,否,,2,146,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/07_INTERFACE_MANAGEMENT_SPEC.md,已不在树中,否,,2,100,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/08_CONFIGURATION_AND_BUILD_SPEC.md,已不在树中,否,,2,74,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/09_TEST_AND_VERIFICATION_STRATEGY.md,已不在树中,否,,2,109,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/10_REFERENCE_DATASET_SPEC.md,已不在树中,否,,2,66,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/11_STAGE1_VALIDATION_SPEC.md,已不在树中,否,,2,107,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/12_STAGE2_STACKING_VALIDATION_SPEC.md,已不在树中,否,,2,127,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/13_OBSERVABILITY_AND_DIAGNOSTICS_SPEC.md,已不在树中,否,,2,64,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/14_RELEASE_AND_VERSIONING_SPEC.md,已不在树中,否,,2,48,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/15_ROADMAP_AND_GATES.md,已不在树中,否,,2,61,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/AUTONOMOUS_ENTRY.md,已不在树中,否,,2,30,30,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
engineering/PACKAGE_SHA256.txt,已不在树中,否,,2,68,0,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,128,ba4f0d34,2026-07-25
engineering/PACKAGE_VERSION.txt,已不在树中,否,,2,1,1,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
engineering/README.md,已不在树中,否,,2,28,28,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
engineering/SHA256SUMS.txt,已不在树中,否,,2,91,91,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
engineering/START_PROMPT.txt,已不在树中,否,,2,1,1,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
engineering/docs,已不在树中,否,,2,1063,1063,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
engineering/engineering,已不在树中,否,,2,62,62,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,203,036a3bb5,2026-07-29
engineering/reference,已不在树中,否,,2,88,88,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
evidence/QA-V19R7-A2-01,已不在树中,否,,2,37,0,744,b1e3d138,2026-08-22,chore(qa): mark A stage DONE + evidence indices [QA-V19R7-A2],1040,1c580eb9,2026-08-28
evidence/QA-V19R7-A2-02,已不在树中,否,,2,40,0,744,b1e3d138,2026-08-22,chore(qa): mark A stage DONE + evidence indices [QA-V19R7-A2],1040,1c580eb9,2026-08-28
evidence/QA-V19R7-A2-03,已不在树中,否,,2,43,0,744,b1e3d138,2026-08-22,chore(qa): mark A stage DONE + evidence indices [QA-V19R7-A2],1040,1c580eb9,2026-08-28
evidence/QA-V19R7-A2-04,已不在树中,否,,2,44,0,744,b1e3d138,2026-08-22,chore(qa): mark A stage DONE + evidence indices [QA-V19R7-A2],1040,1c580eb9,2026-08-28
evidence/QA-V19R7-A2-05,已不在树中,否,,2,40,0,744,b1e3d138,2026-08-22,chore(qa): mark A stage DONE + evidence indices [QA-V19R7-A2],1040,1c580eb9,2026-08-28
evidence/QA-V19R7-A2-06,已不在树中,否,,2,43,0,744,b1e3d138,2026-08-22,chore(qa): mark A stage DONE + evidence indices [QA-V19R7-A2],1040,1c580eb9,2026-08-28
evidence/QA-V19R7-A2-07,已不在树中,否,,2,45,0,744,b1e3d138,2026-08-22,chore(qa): mark A stage DONE + evidence indices [QA-V19R7-A2],1040,1c580eb9,2026-08-28
evidence/QA-V19R7-A2-08,已不在树中,否,,2,68,0,743,233c82b6,2026-08-22,docs(qa): audit findings summary A Gate [QA-V19R7-A2-08],1040,1c580eb9,2026-08-28
lib/phase3_proj,目录,是,5,2,911,8,1722,de15efc9,2026-09-08,"docs(P3-PROJ-DOC): 投影域冻结合同——ALG-P3-PROJ-IMPL-001(14节,G1/G2承接,公式零改动)+DATA-P3-WCS/",1806,9953f103,2026-09-11
modules/services,目录,是,4,2,1147,0,1486,caee3e67,2026-09-03,feat(io): IO-001 实现流式FITS读写API并修复F32字节序,1490,316d4175,2026-09-03
reports/algorithm_doc_review.md,已不在树中,否,,2,124,0,937,8c799f4c,2026-08-22,"docs(algorithms): stage B review 11/11 PASS, P0=0 + 2 minimal edits",980,e1604f14,2026-08-27
reports/bottleneck_classification.md,已不在树中,否,,2,8,0,683,f12d39a1,2026-08-15,reports(phase1-v18r2): final status + bottleneck classification + hips io + phas,980,e1604f14,2026-08-27
reports/browser_stf.md,已不在树中,否,,2,46,0,651,f2d7f5a1,2026-08-14,fix(phase2-v15): ACR-path underdetermined counting uses resolved plan; docs+repo,980,e1604f14,2026-08-27
reports/code_quality.md,已不在树中,否,,2,5,0,683,f12d39a1,2026-08-15,reports(phase1-v18r2): final status + bottleneck classification + hips io + phas,980,e1604f14,2026-08-27
reports/controlled_rejection_truth.md,已不在树中,否,,2,41,0,668,d00b9f42,2026-08-14,reports+v17: V17 required deliverables - integration_contract/wbpp_final/large_s,980,e1604f14,2026-08-27
reports/docs_consistency.md,已不在树中,否,,2,32,0,668,d00b9f42,2026-08-14,reports+v17: V17 required deliverables - integration_contract/wbpp_final/large_s,980,e1604f14,2026-08-27
reports/drizzle_optimization.md,已不在树中,否,,2,47,0,673,137f20d5,2026-08-15,reports(phase1-v18): drizzle optimization record - PERF-001..005/010 implemented,980,e1604f14,2026-08-27
reports/engineering_doc_review.md,已不在树中,否,,2,98,0,938,a6c88115,2026-08-22,docs(architecture): stage C engineering anchor — ARCHITECTURE + API_REFERENCE + ,980,e1604f14,2026-08-27
reports/hips_io_optimization.md,已不在树中,否,,2,5,0,683,f12d39a1,2026-08-15,reports(phase1-v18r2): final status + bottleneck classification + hips io + phas,980,e1604f14,2026-08-27
reports/hotpath_complexity.csv,已不在树中,否,,2,13,0,677,c8c40855,2026-08-15,"reports(phase1-v18r2): resource timeline before/after (RSS 37.5GB->1.2GB, exit 4",980,e1604f14,2026-08-27
reports/integration_contract.md,已不在树中,否,,2,66,0,668,d00b9f42,2026-08-14,reports+v17: V17 required deliverables - integration_contract/wbpp_final/large_s,980,e1604f14,2026-08-27
reports/large_scale_rejection.md,已不在树中,否,,2,62,0,668,d00b9f42,2026-08-14,reports+v17: V17 required deliverables - integration_contract/wbpp_final/large_s,980,e1604f14,2026-08-27
reports/legacy_removal.md,已不在树中,否,,2,56,0,668,d00b9f42,2026-08-14,reports+v17: V17 required deliverables - integration_contract/wbpp_final/large_s,980,e1604f14,2026-08-27
reports/phase1_final_performance.md,已不在树中,否,,2,6,0,683,f12d39a1,2026-08-15,reports(phase1-v18r2): final status + bottleneck classification + hips io + phas,980,e1604f14,2026-08-27
reports/phase1_source_audit.md,已不在树中,否,,2,77,0,666,a46e7028,2026-08-14,"reports+v17: Phase1 source audit (single call graph, no hidden path), performanc",980,e1604f14,2026-08-27
reports/phase2_regression.md,已不在树中,否,,2,5,0,683,f12d39a1,2026-08-15,reports(phase1-v18r2): final status + bottleneck classification + hips io + phas,980,e1604f14,2026-08-27
reports/phase2_wbpp_stf_fix.md,已不在树中,否,,2,64,0,646,dbb3eecc,2026-08-14,docs(phase2-v14): WBPP rejection + STF 3-control fix audit report (methods/auto/,980,e1604f14,2026-08-27
reports/pipeline_audit.md,已不在树中,否,,2,45,0,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,980,e1604f14,2026-08-27
reports/repeated_work.md,已不在树中,否,,2,36,0,677,c8c40855,2026-08-15,"reports(phase1-v18r2): resource timeline before/after (RSS 37.5GB->1.2GB, exit 4",980,e1604f14,2026-08-27
reports/resource_timeline.md,已不在树中,否,,2,50,0,677,c8c40855,2026-08-15,"reports(phase1-v18r2): resource timeline before/after (RSS 37.5GB->1.2GB, exit 4",980,e1604f14,2026-08-27
reports/science_doc_review.md,已不在树中,否,,2,127,0,936,10b91990,2026-08-22,"docs(science): stage A review 10+2 PASS, P0=0 [science_freeze]",980,e1604f14,2026-08-27
reports/self_review_round1.md,已不在树中,否,,2,99,0,942,dc196346,2026-08-22,reports: self_review round1 P0=0 P1=4 (fix 3 commits) + 4 machine PASS [round1],980,e1604f14,2026-08-27
reports/self_review_round2.md,已不在树中,否,,2,89,0,943,af720917,2026-08-22,reports: self_review round2 0 P0/0 P1 (doc dim) + 4 machine PASS + 0新增 [round2] ,980,e1604f14,2026-08-27
reports/technical_debt_closed.md,已不在树中,否,,2,18,0,626,1f94e9f9,2026-08-13,docs(phase2-v14): final status + technical debt + performance reports; V14 audit,980,e1604f14,2026-08-27
reports/wbpp_final.md,已不在树中,否,,2,41,0,668,d00b9f42,2026-08-14,reports+v17: V17 required deliverables - integration_contract/wbpp_final/large_s,980,e1604f14,2026-08-27
runtime/monitoring,目录,是,12,2,1364,1,1515,4ca0d0e9,2026-09-04,feat(monitor): LOG-002 资源监控 CSV 落盘与机器验证,1572,63721d70,2026-09-06
tests/contracts,目录,是,6,2,107,0,1266,0f78c111,2026-08-30,DOC-001: 建立合同 ID 注册表,1270,e351f3fb,2026-08-30
tests/sciencelint,目录,是,5,2,54,0,1047,cc64ba1a,2026-08-28,(SCI-001) Calibration科学合同补全 — Frames/专属问题7项逐锚回答/Primary literature 3条核验定位/Accept,1054,199b21e2,2026-08-28
tools/_commit_audit.json,已不在树中,否,,2,8,8,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,162,0d1857de,2026-07-27
tools/_commit_audit_msg.txt,已不在树中,否,,2,12,12,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,162,0d1857de,2026-07-27
tools/_p06_002_commit_msg.txt,已不在树中,否,,2,28,28,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p06_002_run_snr_debug.json,已不在树中,否,,2,38,38,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p06_002_run_snr_debug.log,已不在树中,否,,2,83,83,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p06_002_run_tests.json,已不在树中,否,,2,158,158,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p06_002_run_tests.log,已不在树中,否,,2,352,352,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p06_003_commit_msg.txt,已不在树中,否,,2,12,12,153,50310948,2026-07-27,P06-003 HCSD 输出与独立读取 (VERDICT: PASS),243,428746c6,2026-07-31
tools/_p07_001_git.json,已不在树中,否,,2,52,52,154,4c1f546e,2026-07-27,P07-001 性能与峰值内存基线 (VERDICT: PASS),243,428746c6,2026-07-31
tools/_p07_001_git.log,已不在树中,否,,2,126,126,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_001_git2.json,已不在树中,否,,2,5,5,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_001_git2.log,已不在树中,否,,2,51,51,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_002_commit_msg2.txt,已不在树中,否,,2,8,8,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_002_git.json,已不在树中,否,,2,70,70,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_002_git.log,已不在树中,否,,2,144,144,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_002_git2.json,已不在树中,否,,2,5,5,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_002_git2.log,已不在树中,否,,2,51,51,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p07_002_setup.json,已不在树中,否,,2,9,9,156,c3865eb6,2026-07-27,P07-002 长批次与故障稳定性 (VERDICT: PASS),243,428746c6,2026-07-31
tools/_p07_002_setup.log,已不在树中,否,,2,108,108,156,c3865eb6,2026-07-27,P07-002 长批次与故障稳定性 (VERDICT: PASS),243,428746c6,2026-07-31
tools/_p08_001_commit_msg.txt,已不在树中,否,,2,18,18,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p08_001_release.json,已不在树中,否,,2,55,55,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p08_001_release.log,已不在树中,否,,2,93,93,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/_p08_dll_deps.txt,已不在树中,否,,2,1,1,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,243,428746c6,2026-07-31
tools/check_api_docs.py,目录或文件,否,,2,389,1,1182,ea1145fb,2026-08-29,(DOCCHK-001) 机器核对文档函数名/签名/schema/命令/退出码 PASS,1782,009ee419,2026-09-09
tools/check_cli_command_layer.py,目录或文件,否,,2,59,10,1324,bb2d9fcd,2026-08-31,CLI-001: 稳定 command 层 (kRules 表驱动),1576,3a4b265b,2026-09-06
tools/check_contract_graph.py,目录或文件,否,,2,109,2,1266,0f78c111,2026-08-30,DOC-001: 建立合同 ID 注册表,1663,d699d8ca,2026-09-08
tools/check_duplication.py,目录或文件,否,,2,59,2,1351,1ee07955,2026-08-31,QA-004: 重复实现与所有权审查,1593,f0bc039a,2026-09-07
tools/check_final_traceability.py,目录或文件,否,,2,51,2,1338,97f6ee8e,2026-08-31,REL-002: 最终追溯校验 + 旧入口扫描,1367,99a79200,2026-08-31
tools/check_glossary.py,目录或文件,否,,2,94,1,1046,4dd9385b,2026-08-28,(DOC-001) 术语单位词典冻结 — GLOSSARY 18核心术语唯一含义+bad_mask极性实测(1=坏点)+pixel_weight与frame_q,1572,63721d70,2026-09-06
tools/check_module_readmes.py,目录或文件,否,,2,62,7,1333,b63958b2,2026-08-31,DOC-003: 每模块 L2 README + 合同链接,1701,6c5f5fc9,2026-09-08
tools/check_p3_status.py,目录或文件,否,,2,48,5,1317,be2d6c0d,2026-08-31,P3-001: 移除 prototype registry/preset + 文档状态统一,1576,3a4b265b,2026-09-06
tools/check_pipeline_trace.py,目录或文件,否,,2,126,31,1335,6608b166,2026-08-31,DOC-005: 静态 Pipeline 图与运行 trace 一致性,1701,6c5f5fc9,2026-09-08
tools/check_serial_hardcode.py,目录或文件,否,,2,89,4,1349,f8001e29,2026-08-31,QA-002: 串行/硬编码静态禁令 + GLOB 清零 + ACR 剔出,1574,e4f77ccb,2026-09-06
tools/check_traceability.py,目录或文件,否,,2,125,1,1045,45e64640,2026-08-28,(TRACE-001) 六层追溯schema与检查器 — claim_id格式+R1-R7链规则+引用存在(路径/符号级)+VER域6claim种子+5测试含删,1184,8a0a02f8,2026-08-29
tools/check_unit_closure.py,目录或文件,否,,2,114,2,1184,8a0a02f8,2026-08-29,(DOCCHK-002) 六层追溯闭环66claim+单位二义性mutation门 PASS,1701,6c5f5fc9,2026-09-08
tools/gen_v19_evidence.py,目录或文件,否,,2,220,1,694,729f150c,2026-08-15,fix(v19-round5): red-team 17/17 - variance no-data tile skip + evidence tools,738,d22a3ff6,2026-08-22
tools/gen_v19_source_snapshot.py,目录或文件,否,,2,88,1,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,738,d22a3ff6,2026-08-22
tools/pack_audit_package.py,目录或文件,否,,2,117,1,1260,ac2d230d,2026-08-30,(审核包打包工具) tools/pack_audit_package.py: 打包基线代码(不含数据/第三方/二进制/运行时)+证据为 zip. 产物 arti,1782,009ee419,2026-09-09
tools/phase1_e2e_bench.py,目录或文件,否,,2,142,1,665,2d3b31fc,2026-08-14,fix(phase1-v17): orchestrator rebuild after legacy removal - restore load_module,686,44a23e52,2026-08-15
tools/redteam_v19.py,目录或文件,否,,2,269,1,694,729f150c,2026-08-15,fix(v19-round5): red-team 17/17 - variance no-data tile skip + evidence tools,738,d22a3ff6,2026-08-22
