目录,月份,提交数,增行,删行
tools/astro_toolkit.py,2026-08,3,498,493
tools/astro_toolkit.py,2026-09,1,26,2
tools/astrocs_diagnose.py,2026-08,1,225,0
tools/astrometry_oracle,2026-08,1,348,0
tools/check_abi_boundary.py,2026-08,1,62,0
tools/check_agents_gov.py,2026-08,1,42,0
tools/check_aio_ownership.py,2026-08,1,55,0
tools/check_api_docs.py,2026-08,1,388,0
tools/check_api_docs.py,2026-09,1,1,1
tools/check_ast_api.py,2026-08,1,71,0
tools/check_baseline_opcodes.py,2026-08,1,42,0
tools/check_cli_command_layer.py,2026-08,1,48,0
tools/check_cli_command_layer.py,2026-09,1,11,10
tools/check_cli_run_preset.py,2026-08,1,43,0
tools/check_cli_run_preset.py,2026-09,2,41,22
tools/check_contract_graph.py,2026-08,1,100,0
tools/check_contract_graph.py,2026-09,1,9,2
tools/check_data_artifacts.py,2026-08,1,100,0
tools/check_duplication.py,2026-08,1,51,0
tools/check_duplication.py,2026-09,1,8,2
tools/check_final_traceability.py,2026-08,2,51,2
tools/check_glossary.py,2026-08,1,89,0
tools/check_glossary.py,2026-09,1,5,1
tools/check_l0_docs.py,2026-08,1,38,0
tools/check_legacy_exit.py,2026-08,3,86,1
tools/check_link_scan.py,2026-08,1,37,0
tools/check_module_readmes.py,2026-08,1,51,0
tools/check_module_readmes.py,2026-09,1,11,7
tools/check_p1_symbol_map.py,2026-08,1,46,0
tools/check_p2_symbol_map.py,2026-08,1,53,0
tools/check_p3_status.py,2026-08,1,41,0
tools/check_p3_status.py,2026-09,1,7,5
tools/check_pipeline_trace.py,2026-08,1,60,0
tools/check_pipeline_trace.py,2026-09,1,66,31
tools/check_release_consistency.py,2026-08,2,53,2
tools/check_release_consistency.py,2026-09,1,15,8
tools/check_release_layout.py,2026-08,1,45,0
tools/check_reproducible_build.py,2026-08,2,56,2
tools/check_reproducible_build.py,2026-09,1,61,19
tools/check_serial_hardcode.py,2026-08,1,58,0
tools/check_serial_hardcode.py,2026-09,1,31,4
tools/check_traceability.py,2026-08,2,125,1
tools/check_unit_closure.py,2026-08,1,110,0
tools/check_unit_closure.py,2026-09,1,4,2
tools/check_version_consistency.py,2026-08,3,97,7
tools/check_version_consistency.py,2026-09,7,105,12
tools/check_warning_suppression.py,2026-08,1,52,0
tools/check_warning_suppression.py,2026-09,3,86,25
tools/config_consistency_check.py,2026-08,5,279,67
tools/config_consistency_check.py,2026-09,1,51,2
tools/doccheck,2026-09,6,741,17
tools/docs_machine_consistency.py,2026-08,7,202,20
tools/gen_audit_pack.py,2026-07,1,178,0
tools/gen_audit_pack.py,2026-08,4,203,184
tools/gen_backends_manifest.py,2026-08,1,60,0
tools/gen_cfitsio_list.py,2026-08,1,16,0
tools/gen_provider_manifests.py,2026-08,1,186,0
tools/gen_repo_source_manifest.py,2026-08,1,140,0
tools/gen_v19_evidence.py,2026-08,2,220,1
tools/gen_v19_source_snapshot.py,2026-08,2,88,1
tools/gen_version.py,2026-08,1,55,0
tools/gen_visual_views.py,2026-08,1,59,0
tools/graph,2026-09,1,942,0
tools/make_capsule.py,2026-08,1,53,0
tools/make_linux_release.py,2026-08,3,175,4
tools/make_rev2_capsule.py,2026-08,1,161,0
tools/make_windows_release.py,2026-08,3,188,4
tools/migrate_stage2_config.py,2026-08,1,71,0
tools/monitoring,2026-09,5,1572,15
tools/no_legacy_production_reference.py,2026-08,1,65,0
tools/pack_audit_package.py,2026-08,1,116,0
tools/pack_audit_package.py,2026-09,1,1,1
tools/phase1_e2e_bench.py,2026-08,2,142,1
tools/quality,2026-08,26,8502,37
tools/quality,2026-09,31,4487,199
tools/realdata,2026-09,1,859,0
tools/redteam_v19.py,2026-08,2,269,1
tools/science_contract_lint.py,2026-08,2,80,8
tools/science_contract_lint.py,2026-09,1,5,1
tools/testkit,2026-09,1,340,0
tools/traceability,2026-09,2,511,1
tools/validate_cpu_profile.py,2026-08,1,101,0
tools/validate_cpu_profile.py,2026-09,3,59,30
工程控制/ACTIVITY_STATE.md,2026-09,3,120,8
工程控制/AUDIT_PACK.md,2026-07,1,0,0
工程控制/AUTONOMOUS_ENTRY.md,2026-07,1,0,0
工程控制/AstroCS_CONSTITUTION_ALIGNMENT_CONTROL_V1_20260909,2026-09,11,7201,1678
工程控制/AstroCS_V6_1_REWORK_CONTROL_20260831,2026-09,1,41,0
工程控制/CONTROL_V4,2026-08,1,1102,0
工程控制/CONTROL_V6,2026-08,1,3809,0
工程控制/MANIFEST.md,2026-07,1,0,0
工程控制/PACKAGE_VERSION.txt,2026-07,1,0,0
工程控制/README.md,2026-07,1,7,7
工程控制/REAUDIT_V3,2026-08,28,10169,48
工程控制/REAUDIT_V4,2026-08,3,1468,1466
工程控制/RELEASE_V5,2026-08,106,1676,106
工程控制/SHA256SUMS.txt,2026-07,1,0,0
工程控制/START_PROMPT.txt,2026-07,1,0,0
工程控制/agent,2026-07,1,0,0
工程控制/archive,2026-08,1,0,0
工程控制/checklists,2026-07,1,0,0
工程控制/checklists,2026-08,2,348,0
工程控制/configs,2026-08,6,70,14
工程控制/contracts,2026-07,1,0,0
工程控制/control,2026-07,1,0,0
工程控制/control,2026-08,77,258,101
工程控制/cprun-v4-pack-template,2026-09,1,428,0
工程控制/docs,2026-07,1,0,0
工程控制/docs,2026-08,17,14401,12
工程控制/evidence,2026-07,5,12010,10
工程控制/evidence,2026-08,14,221296,17265
工程控制/migration,2026-07,1,0,0
工程控制/schemas,2026-08,8,565,85
工程控制/tasks,2026-07,1,0,0
工程控制/tasks,2026-08,8,12746,2881
工程控制/templates,2026-07,1,0,0
工程控制/tools,2026-07,1,0,0
流程概述.txt,2026-07,1,25,0
问题扫描/00_README.md,2026-09,1,46,0
问题扫描/10_PROTOCOL.md,2026-09,2,122,0
问题扫描/20_AGENT_PLAN.md,2026-09,3,77,1
问题扫描/40_OWNER_DECISIONS.md,2026-09,19,151,18
问题扫描/INDEX.md,2026-09,6,314,253
问题扫描/SUMMARY.md,2026-09,8,193,14
问题扫描/_cache,2026-09,38,17975,107
问题扫描/_merge,2026-09,55,8568,3772
问题扫描/_tools,2026-09,5,1001,4
问题扫描/_verify,2026-09,16,24850,153
问题扫描/findings,2026-09,37,11440,795
问题扫描/账本,2026-09,22,2382,1133
马赛克叠加梯度建模计划.md,2026-07,1,352,0
