seq,sha8,日期,作者,分级,文件数,增行,删行,编号,主题
444,c8dc867f,2026-08-06,fujiaze,S,6,68,5,,fix(acr): partial scratch contract with attempt reset
445,3ec62c36,2026-08-06,fujiaze,S,5,20,15,,fix(acr): staging ledger semantics and resident peak accounting
446,41797b3a,2026-08-06,fujiaze,S,1,31,1,,test(acr): qualified cpu-only routing and partial scratch contract
447,450e78c6,2026-08-06,fujiaze,M,4,365,55,PERF-001,perf(hiss): HISS I/O 修复 (R13 HISS_IO_REPAIR) — 写入 119s->12.9s (4096^2 等规模)
448,83c4696d,2026-08-06,fujiaze,M,4,254,10,PERF-001,perf(hiss): HISS Verify 单句柄 session API (R13 HISS_IO_REPAIR) — 130s->0.85s
449,610d7b6a,2026-08-06,fujiaze,S,2,34,9,,test(acr): stable gpu test ordering and record v3 progress
450,6babe222,2026-08-06,fujiaze,S,3,41,29,,"perf(hiss): Reader/Transform 逐Tile日志门控 (R13 HISS_IO_REPAIR) — Verify 40s->~1s, 写入 33s->~3s"
451,08a758ab,2026-08-06,fujiaze,S,4,95,0,,"docs(memory): R13 Phase1 最终闭合验收记录 (完整帧 45.43s, 门禁全过, 偏差如实记录)"
452,ed50c33e,2026-08-06,fujiaze,M,5,545,120,REV-101;REV-104;REV-105;REV-106,feat(reverse): 正式集成反向球面面积 Drizzle (REV-101..107)
453,c7d3b8ff,2026-08-06,fujiaze,S,1,56,7,ORA-101;REV-107,"fix(spherical): 候选安全上界 1.25 + WCS 收敛阈值下限 + 大半球契约 (ORA-101/103, REV-107)"
454,6f7bba7d,2026-08-06,fujiaze,M,4,1016,5,,test(reverse+oracle): 解析球面科学矩阵 30/30 + DLL API 8/8 + edge-cross Oracle 0漏报 + 历史红灯清零
455,af29af93,2026-08-06,fujiaze,S,4,67,0,,"docs(memory): Phase1 签字修正验收记录 (Reverse Drizzle 30/30, Oracle 0漏报, 完整FP32 50.37s)"
456,ef2106cb,2026-08-06,fujiaze,M,4,252,36,,acr: freeze focused mixed execution contracts
457,b78c58d3,2026-08-06,fujiaze,M,5,365,3,,acr: add resident cuda weighted integration launcher
458,771fc80a,2026-08-06,fujiaze,M,6,1565,0,,acr: add weighted integration cpu openmp and mixed benchmark
459,fd0e8531,2026-08-06,fujiaze,M,3,453,0,,acr: add weighted integration correctness and residency tests
460,38b85702,2026-08-06,fujiaze,M,23,1536,0,,docs(acr): freeze architecture and weighted integration control package
461,153042d2,2026-08-06,fujiaze,S,1,0,13,,fix(acr): remove submit debug fprintf leftovers from invocation path
462,7d966297,2026-08-06,fujiaze,S,1,7,0,,docs(acr): record weighted integration perf fix and results
463,eb52e066,2026-08-06,fujiaze,M,5,228,41,,fix(signoff): 微型修正 — 真实负值场/SIP5/严格阈值 (MICROFIX #2-4)
464,8c501102,2026-08-06,fujiaze,S,4,53,0,,"docs(memory): Phase1 基础算法闭合 — 最终签字微修正验收记录 (eb52e06, wiki 6739028)"
465,584b04ee,2026-08-07,fujiaze,M,7,849,447,,"fix(acr): fair weighted benchmark scenarios, real stats, chunk calibration, single-stream decision"
466,323b441f,2026-08-07,fujiaze,S,1,33,0,,docs(acr): record fair weighted benchmark and real stats round
467,8aefbcd8,2026-08-07,fujiaze,S,1,50,2,,fix(acr): align weighted benchmark report to schema 1.1 gates and vram peaks
468,3502e496,2026-08-07,fujiaze,M,14,1096,298,CFG-001;DF-001;DF-002;DF-003;DF-004;STRUCT-001;TYPE-001;TYPE-002,"fix(dataflow): Phase1 彻底冻结 BLOCKER 修复 (DF-001..004, TYPE-001/002, STRUCT-001, CFG-001)"
469,9a5c70f4,2026-08-07,fujiaze,S,1,29,0,,docs(memory): Phase1 彻底冻结验证 — BLOCKER 修复记录 (3502e49)
470,11bbfd41,2026-08-07,fujiaze,M,6,424,2,,fix(fuzz+abi): Gate 1/4 — AIO ABI 握手 + 固定种子 Fuzz + HISS 资源上限 + snr_model payload 修正
471,8563c8d4,2026-08-07,fujiaze,L,12,2232,494,,"feat(acr): benchmark-driven routing with route profile v2, estimator and holdout replay"
472,c0ae7fe7,2026-08-07,fujiaze,S,1,4,0,,chore(acr): ignore local build2 configure directory
473,1d75c2b9,2026-08-07,fujiaze,S,3,11,6,,fix(chain): T4 裁剪链端到端验证修复 (FITS master 回退 / snr_model payload 28 / points 偏移)
474,b4122f38,2026-08-07,fujiaze,S,1,20,0,,docs(memory): Phase1 彻底冻结验证 — Fuzz/ABI/链/真实数据矩阵结果与未完成项 (1d75c2b)
475,c161c7b3,2026-08-07,fujiaze,S,1,98,27,,fix(acr): align weighted benchmark report to schema 1.3 replay and scenario fields
476,7c5cd373,2026-08-07,fujiaze,M,5,719,461,,"fix(acr): per-token chunk service curves, mixed e2e primary cost, scenario isolation and 8 holdouts"
477,2a7fbe3b,2026-08-07,fujiaze,S,1,33,5,,fix(acr): serialize chunk service curves at operation top level per schema
478,70ac84cc,2026-08-07,fujiaze,S,1,15,0,,"docs(memory): 根目录清理 — 旧工程包/审核包归档至 archive_deliverables, 每系列保留最新"
479,ab486b62,2026-08-07,fujiaze,M,6,847,228,,refactor(pipeline): 修订星点链 PSF/STAR_MEASURE 先于 PLATESOLVE
480,3a0b0c15,2026-08-07,fujiaze,L,10,3003,0,PSF-001,test(gate4): DR3SP schema 审计 + GaiaXPy 官方 Oracle 对比 + PSF Photutils Oracle
481,30293051,2026-08-07,fujiaze,M,7,1061,1,,feat(hips): IVOA HiPS 迁移 — AIO 唯一写入器 + 编排器接入 + Gate3/7 Oracle
482,3d21c724,2026-08-08,fujiaze,S,2,239,0,,feat(trace): Gate 8 实际 buffer 随机抽样 trace 观察器
483,597b3d01,2026-08-08,fujiaze,S,1,32,0,PSF-001,docs(memory): Phase1 Full Freeze v2 — 修订流水线/DR3SP GaiaXPy/HiPS/trace 进展与 PSF-001 BLOCKER
484,4ed69ce1,2026-08-08,fujiaze,S,1,1,1,,chore(wiki): Phase1 Full Freeze v2 状态同步 (wiki 4274db4)
485,230e7b02,2026-08-08,fujiaze,M,1,414,0,PSF-001,tool(diag): Gaia 星点重投影 vs sdet/DPSF 视觉验证 (PSF-001 归因)
486,ee582449,2026-08-08,fujiaze,S,2,99,21,PSF-001,fix(psf+chain): PSF-001 坐标契约修复 + 星点链消费 PSF 拟合中心
487,863a8490,2026-08-08,fujiaze,M,1,333,0,,test(psf): Phase A 坐标契约最终测试 — G1-G6 全过
488,70edb842,2026-08-08,fujiaze,M,8,602,19,,feat(xpsd): PCL 官方解码生产链 — fluxMin/fluxMul 线性解码替代 uint8*10^-0.4G
489,f75d4eb4,2026-08-08,fujiaze,S,1,12,0,,"fix(reverse): 增加 WCS 物理范围校验 (crval DEC∈[-90,90], CD 元素有限且 ≤1°/px)"
490,732c3a62,2026-08-08,fujiaze,M,6,0,495,,"chore(configs): 移除旧 schema 配置, configs/ 仅保留 stage1.schema.json + stage1.template.json"
491,57112296,2026-08-08,fujiaze,S,2,24,0,,docs(memory): XPSD 官方解码语义与生产链记录 (Phase B)
492,4769979c,2026-08-08,fujiaze,M,2,252,3,,feat(acr): scenario-level qualification and probe/final stats in route profile v2
493,91737ae1,2026-08-08,fujiaze,M,2,273,78,,"fix(acr): 2D chunk service interpolation, scenario-gated routing and diagnostic replay mode"
494,d61c7560,2026-08-08,fujiaze,M,1,966,460,,"fix(acr): fit/probe/final isolation, real adaptive refinement, true cold mixed, chunk stride and sanity"
495,23378a25,2026-08-08,fujiaze,M,1,163,217,,"fix(acr): replay report from profile, scenario-grouped best and real gates in weighted benchmark"
496,effc4308,2026-08-08,fujiaze,S,2,142,10,,test(acr): route estimator scenario/2D-chunk tests and focused mixed dispatcher reuse
497,7c1e3497,2026-08-08,fujiaze,S,1,61,0,,docs(acr): record BDR Reviewed correction round and verification results
498,5d5be0ac,2026-08-08,fujiaze,L,186,265118,516,,feat(hips): Phase1 V3 HiPS 直写生产链 — Drizzle→AIO 无 HISS 中转
499,2dd84a33,2026-08-08,fujiaze,M,1,209,149,,"test(gate7): HiPS 直写产品集独立验证 (astropy, 不经 AIO)"
500,7abe75f6,2026-08-08,fujiaze,S,1,4,2,,test(acr): stabilize focused mixed auto benchmark with 5-round median and auto warmup
501,e66e267f,2026-08-08,fujiaze,S,1,5,2,,"test(acr): record-only axpy cross-device ordering (memory-bound, >=0.5 guard)"
502,49b01cac,2026-08-08,fujiaze,S,4,146,1,,fix(gaia)+test(sanitize): WSL ASan/UBSan/LSan 可移植核心
503,30feb203,2026-08-08,fujiaze,S,2,11,6,,"fix(acr): cpu-only auto uses estimate chunk, remove in-test tbb shutdown crash"
504,a1a71b95,2026-08-08,fujiaze,S,2,151,0,,test(hips): tile mapping 独立 Oracle (astropy-healpix) mismatch=0
505,245a0e34,2026-08-08,fujiaze,S,5,85,0,,docs(memory): Phase1 V3 进度同步 + gate8 trace 扩展 (dr3sp lineage/生产末端顺序)
506,b01f3092,2026-08-08,fujiaze,S,1,11,5,,docs(readme): Phase1 V3 生产末端 HiPS + HISS deprecated 状态同步
507,1878e6d8,2026-08-08,fujiaze,M,3,281,1,,chore: AstroCS.wiki 子模块指针同步 + 补录上一轮冻结验证测试源码
508,881dba93,2026-08-08,fujiaze,S,4,33,3,,"fix(acr): global-index hash for resident drizzle, gpu attempt clear, minGW oneTBB skip"
509,da5a2807,2026-08-08,fujiaze,S,1,1,0,,test(acr): run focused mixed performance tests serially to avoid load-guard flaky skip
510,936c6a31,2026-08-09,fujiaze,S,1,37,0,,docs(acr): record BDR3 final benchmark conclusions and limits
511,be0f6089,2026-08-09,fujiaze,S,2,52,1,,fix(acr): compare e2e interpolation lower_bound against usable.end()
512,98d0d61f,2026-08-09,fujiaze,M,5,352,102,,"fix(acr): keep final holdout untouched, split probe model selection from fixed final eval"
513,4ad240d9,2026-08-09,fujiaze,M,1,233,65,,feat(acr): scenario-joint route-regret adaptive refinement
514,6d810a37,2026-08-09,fujiaze,M,15,858,114,,fix(snr)+feat(healpix): 共享 HEALPix core + SNR 稳定 ID 闭环 (V4)
515,942aa0f8,2026-08-09,fujiaze,S,5,90,2,,fix(acr): standard-only authoritative profile publication with calibration metadata
516,4f8bc732,2026-08-09,fujiaze,M,6,746,3,,feat(browser): HiPS->AIO Reader 后端 + headless 硬门 (V4 G3)
517,af82e0f7,2026-08-09,fujiaze,M,9,620,58,,feat(acr): close benchmark-driven routing into dispatcher with legacy launcher
518,686f7959,2026-08-09,fujiaze,L,16,54668,8,P13-003,feat(trace)+fix(snr): V4 G4 actual-buffer trace 全链证据 (V4 G4)
519,f8e51c89,2026-08-09,fujiaze,L,32,604,19,,fix(hips): SNR Catalogue metadata.xml 标准 VOTable + 推荐元数据 + Oracle 路径解码修正 (V4 G5 Hipsgen)
520,560c417b,2026-08-09,fujiaze,S,1,13,6,,test(acr): stabilize bdr mixed dispatch test against cpu worker race
521,8653f9ee,2026-08-09,fujiaze,S,1,39,0,,docs(acr): record dispatcher finalization results and limits
522,bce606a4,2026-08-09,fujiaze,M,12,619,0,,feat(oracle): Astrometry.net 外部 Oracle 实际执行 synthetic+real 盲解全过 (V4 G5)
523,c0853fde,2026-08-09,fujiaze,L,13,113432,0,,test(g6): V4 sanitizer 全链 ASan/UBSan/LSan + 空间 fuzz + 损坏输入全过 (V4 G6) - 共享 HEALPix core 1M 全天 Oracle + order7 空
524,b686df73,2026-08-09,fujiaze,L,27,35981,0,,test(g7): T4 post-fix 双精度 crop + 唯一一次完整 FP32 全过 (V4 G7) - T1 全盘搜索确认无数据 -> BLOCKED_EXTERNAL_DATA (inventory 归档)
525,56ffccc4,2026-08-09,fujiaze,S,1,10,5,,docs(readme): orchestrator 生产链同步 HiPS 直写/HISS deprecated (V4 G8)
526,450f13c2,2026-08-09,fujiaze,S,1,1,1,,chore(wiki): Phase1 V4 状态页 + HISS deprecated 同步 (wiki 0c94b56)
527,a268aba2,2026-08-09,fujiaze,M,15,958,273,,"feat(acr): route-centric qualification, real gpu direct, residency generation closure, real bytes"
528,bf93e71a,2026-08-09,fujiaze,S,4,50,11,,"fix(acr): robust p95 score guard, real cold mixed uploads, boundary probes, gpu settle"
529,21a5dc5d,2026-08-09,fujiaze,M,13,291,41,IMG-001,"feat(core): 共享 HEALPix core 标准 tile 排列 (V5 HIPS-IMG-001) - 新增 nested_local_to_fits_index/xy 互转, 由 CDS Hipsgen "
530,b7c4d458,2026-08-09,fujiaze,M,9,312,128,CFG-001,feat(orchestrator): V5 CFG-001/002 生产链 output.hips 权威 + HISS legacy - schema/template/parser: pixfrac 省略默认 0.8
531,e2b41e55,2026-08-09,fujiaze,S,2,60,3,,perf(acr): skip pool coverage/state serialization on gpu direct fast path; docs(acr): record route/residency/g
532,bb467535,2026-08-09,fujiaze,M,2,482,0,,test(v5): MAPTILES 全像素外部 Oracle + SNR 精度 round-trip harness
533,5f35c928,2026-08-09,fujiaze,S,1,88,0,,test(v5): WSL ASan/UBSan/LSan sanitizer 扩展共享 tile 映射全量覆盖 (G7) - 1M 全天 Oracle mismatch=0 - HiPS writer/reader F
534,155642f7,2026-08-09,fujiaze,S,4,46,6,,"fix(orchestrator+drizzle): V5 G3/G4 回归 - json_config: output.hiss 可选时输出父目录检查先 contains 再访问, 避免缺键断言崩溃 - write_s"
535,105d68ab,2026-08-09,fujiaze,S,1,41,0,,docs(acr): record route/residency/generation closure final results
536,a18b5391,2026-08-09,fujiaze,S,2,78,3,,"docs(readme+memory): V5 状态同步 — 标准 HiPS tile 排列/SNR 精度/生产配置 0.8/唯一一次 T4 full FP32 全过, code freeze=PASS, dataset"
537,033d7c9c,2026-08-09,fujiaze,S,1,1,1,,chore(wiki): Phase1 V5 状态页 + Project_Status 同步 (wiki faa40fb)
538,0c9a363c,2026-08-09,fujiaze,S,1,2,1,,docs(memory): V5 审核包 SHA 记录 (38ea32dd)
539,22733380,2026-08-09,fujiaze,S,1,3,3,,docs(acr): fix final evidence head reference to 105d68a
540,725e4893,2026-08-09,fujiaze,S,1,20,17,,docs(acr): record qualified final benchmark with business adapter readiness
541,86142ec4,2026-08-09,fujiaze,S,6,15,10,CFG-001,docs(v6): 归档清理 - 旧 HISS/pixfrac 生产描述修正 (无逻辑变化) - README run/ 目录描述: Drizzle/HISS -> Drizzle/HiPS/legacy HISS va
542,f55e7846,2026-08-09,fujiaze,S,1,1,1,,"chore(wiki): V5/V6 状态同步 + PHASE1=FROZEN 字面量移除 (wiki a34a264) - Home/Project_Status/V5_Status 统一措辞: 不宣称完整冻结, T1"
543,e7c58363,2026-08-09,fujiaze,S,1,28,0,,docs(memory): V6 审核包 SHA 记录 (39bed5eb)
544,2a009a05,2026-08-09,fujiaze,S,1,1,1,,"docs(memory): V6 审核包 SHA 更新 (73cdd6be) - summary 补 V5_POSTFIX 计数键, 重打包"
545,7caa7289,2026-08-09,fujiaze,S,4,158,16,,"fix(acr): same-pointer generation invalidation, real resource snapshot, gpu direct fallback"
546,ea1d01c1,2026-08-09,fujiaze,S,3,165,57,,"fix(acr): vram incremental gate in estimator, real auto report fields, benchmark ready aggregation"
547,af7cbea7,2026-08-09,fujiaze,M,1,286,0,,"test(acr): same-pointer generation, vram gate and gpu fallback injection tests"
548,303c38e8,2026-08-09,fujiaze,S,1,15,1,,perf(acr): cache memory snapshot within 100ms window to avoid per-dispatch nvml cost
549,e949b306,2026-08-09,fujiaze,S,1,72,0,,"docs(acr): record base closure fixes for generation, resource snapshot and gpu fallback"
550,198d69e0,2026-08-10,fujiaze,L,352,60198,0,,merge(acr): add astrocompute-runtime as dormant acceleration base
551,e8624036,2026-08-10,fujiaze,S,1,15,1,,docs(memory): record ACR dormant merge into main as acceleration base
552,c3fe9c1d,2026-08-10,fujiaze,S,3,227,0,,docs(phase2): W0 inventory and dependency graph; W2 interface freeze contract
553,1a38f400,2026-08-10,fujiaze,M,5,262,1,,feat(phase2): W1 wiki sync + stage2 schema; W2 freeze UPM/rejection interfaces in lib/phase2
554,a2cd3f3f,2026-08-10,fujiaze,S,1,1,1,,chore(wiki): sync Phase2 wiki submodule pointer to 9017258
555,be3cd59a,2026-08-10,fujiaze,M,6,649,0,,"feat(phase2): W3 coverage skeleton, W4 UPM CPU reference, W7 sigma rejection; synthetic gate 5/5"
556,d6d4531e,2026-08-10,fujiaze,M,8,307,18,,"feat(phase2): W5 dense cache, W6 block planner, W8 weighted integration; synthetic gate 8/8"
557,9d87acbb,2026-08-10,fujiaze,S,5,247,3,,feat(phase2): W9 ACR synthetic mosaic_reject op with legacy launcher; reject averaged-sigma/ESD; gate 9/9
558,5e95a851,2026-08-10,fujiaze,S,1,41,0,,feat(phase2): W10 robustness - nan/min-samples/zero-memory/all-rejected handling; gate 12/12
559,63172ef8,2026-08-10,fujiaze,M,3,255,18,,feat(phase2): W3 coverage real AIO implementation - union MOC/target_order/compat
560,d86fa9b4,2026-08-10,fujiaze,M,7,659,16,,feat(phase2): W4 control sampler + UPM real hash/persistence/components
561,627f4cf0,2026-08-10,fujiaze,S,3,141,18,,feat(phase2): W5 dense cache with source-hash checksum and stale rejection
562,018fbe89,2026-08-10,fujiaze,S,2,173,1,,feat(phase2): W7 linear-fit and RCR rejection implementations
563,305dd1bd,2026-08-10,fujiaze,M,2,554,0,,feat(phase2): W8 stage2 executable - real block calibration/rejection/integration to AIO HiPS mosaic
564,0c249a96,2026-08-10,fujiaze,S,2,127,0,,docs(phase2): module memory and README for W3-W8/W11 real chain closure
565,4a405382,2026-08-10,fujiaze,S,1,40,0,,docs(phase2): execution log for W3-W8 real chain + W11 validation
566,03ef84b8,2026-08-10,fujiaze,S,1,22,0,,"docs(memory): Phase2 V1 progress - real chain closure, gates, review pack"
567,03a42254,2026-08-10,fujiaze,S,1,2,2,,docs(memory): update Phase2 review pack SHA after repack
568,7060ba63,2026-08-10,fujiaze,M,4,277,5,,fix(phase2): median even-n MAD bug + NIST t-distribution ESD critical values; G6 oracle compare (Astropy/NIST/
569,ef144a13,2026-08-10,fujiaze,S,5,148,5,,feat(phase2): G5 block-size invariance + content-stable frame_id (order-invariant gauge); gate 20/20
570,ea1751f1,2026-08-10,fujiaze,S,1,34,0,,feat(phase2): G9 stage profile timings + G11 rejection diagnostics JSON
571,dff4998a,2026-08-10,fujiaze,S,1,113,0,,feat(phase2): G10 WSL sanitizer driver (ASan+UBSan+LSan) - core modules 0 errors
572,fa773649,2026-08-10,fujiaze,S,1,74,0,,"feat(phase2): G10 fuzz pressure in sanitizer driver (random stacks/UPM, ASan+UBSan+LSan clean)"
573,3b1277dc,2026-08-10,fujiaze,S,2,24,8,,docs(phase2): gate supplement log G5/G6/G9/G10/G11 + review pack SHA update
574,f9a06ac6,2026-08-10,fujiaze,M,8,300,1,,feat(phase2): G9 real CUDA mosaic_reject kernel - CPU/GPU equivalence gate 21/21 (RTX 3060 Ti)
575,658c02b2,2026-08-10,fujiaze,S,1,156,0,,feat(phase2): G6 rejection synthetic matrix - 616 combos (11 depths x 8 contaminations x 7 methods)
576,822fdb3d,2026-08-10,fujiaze,S,2,14,8,,"docs(phase2): G6 full matrix + G9 CUDA kernel records, review pack SHA update"
577,f70080cd,2026-08-11,fujiaze,M,7,347,19,,"feat(phase2): G9 stage2 ACR routing - real mosaic via CUDA kernel, CPU/GPU 61.6M px max diff 7.5e-9; gate 22/2"
578,444feae5,2026-08-11,fujiaze,S,2,10,8,,docs(phase2): stage2 GPU routing record + review pack SHA update (2C761218)
579,fb52ba1d,2026-08-11,fujiaze,M,8,594,118,,"feat(phase2): AIO UPM model container API (aio_upm_*) - sparse/dense I/O via unique AIO, shared crypto sha256;"
580,ea44e749,2026-08-11,fujiaze,S,2,8,3,,"docs(phase2): AIO model APIs + regression records, review pack v5 SHA 6EC2A920"
581,32d84795,2026-08-11,fujiaze,M,7,772,332,,feat(phase2-v2): R1 spatial additive UPM (M_k + C_i(p) graph-Laplacian) + R2 spatial dense cache v2 (frame x t
582,769d4328,2026-08-11,fujiaze,M,1,257,0,,"feat(phase2-v2): G1 spatial UPM truth gate - 3 frames x 258 controls, 275k validation px, RMSE 1.07x noise, di"
583,5a4f6bfa,2026-08-11,fujiaze,S,1,240,0,,"feat(phase2-v2): G3/G4 persistence - >8MiB round-trip, 1-ULP hash sensitivity, 1M-sample sparse=dense spatial "
584,c7dd63a2,2026-08-11,fujiaze,M,2,289,177,P0-10,"feat(phase2-v2): R3 real memory/block execution - planner real N_B, stage2 micro-chunk, tiny-memory smoke iden"
585,71311fef,2026-08-11,fujiaze,S,3,118,0,,docs(phase2-v2): stage2 example configs (overlap/full/tiny-memory)
586,4b681950,2026-08-11,fujiaze,M,3,358,74,,"feat(phase2-v2): R4 rejection science fix - true winsorized (mean/std), two-phase NIST ESD (3 Rosner outliers)"
587,9392468a,2026-08-11,fujiaze,S,1,157,0,,"feat(phase2-v2): R4 oracle - independent winsorized reference, two-phase NIST ESD, sequential RCR oracle; ORAC"
588,13bb5a23,2026-08-11,fujiaze,S,1,73,0,,"feat(phase2-v2): R5 weight truth gate - 7 strategies compared, equal biased +0.75, support_x_snr2 bias 0.0002 "
589,1d34b0b3,2026-08-11,fujiaze,S,3,105,5,,"feat(phase2-v2): R6 ACR reconnection - compact frame [1,3] case, Winsorized explicit CPU_ROUTE (CUDA Sigma onl"
590,fd3cff39,2026-08-11,fujiaze,M,4,403,69,,"feat(phase2-v2): R7 production schema/template/parser - enums/ranges/types, auto handling, exception-safe pars"
591,0f0327d0,2026-08-11,fujiaze,S,2,8,3,,fix(phase2-v2): G10 WSL sanitizer - dense_end handle leak fixed (RAII); ASan+UBSan+LSan clean after spatial UP
592,7dc31326,2026-08-11,fujiaze,M,6,284,15,,feat(phase2-v3): R1 sampler even-median fix + stats API; R2 UPM production config wiring + quality read/fallba
593,eb9d606c,2026-08-11,fujiaze,S,1,137,46,,"feat(phase2-v3): R4 smooth spatial field - bilinear evaluate_C (cell-continuous), cross-tile adjacency, per-co"
594,db07f05e,2026-08-11,fujiaze,M,3,411,0,,"feat(phase2-v3): R5 G1 truth gate rebuilt - scalar baseline 13x failure, structure preservation, cell/tile bou"
595,131fc802,2026-08-11,fujiaze,M,2,177,75,,feat(phase2-v3): R6 complete Maples RCR (median/MAD/nCorrect/erfc Chauvenet) + official rcr 2.4.7 oracle (comm
596,594db03f,2026-08-11,fujiaze,S,2,163,52,,"feat(phase2-v3): R7 Linear Fit Siril-defined semantics (value-sort x, mean-abs-residual sigma) + Siril 1.4.3 r"
597,89ed5482,2026-08-11,fujiaze,S,3,146,10,,"feat(phase2-v3): R8 local SNR/fallback production semantics (cell-level local SNR, frame-median fallback count"
598,470b5c7c,2026-08-11,fujiaze,M,9,191,133,,"feat(phase2-v3): R9 evidence closure - CUDA micro-chunk begin_offset fix (tiny=large 0 diff), CPU Sigma vs CUD"
599,746f9981,2026-08-11,fujiaze,M,7,525,255,,feat(phase2-v4): R1 production wiring - stage2_common shared parse/build path + raw/normalized weight + geomet
600,cbf6918e,2026-08-11,fujiaze,M,5,236,53,,"feat(phase2-v4): R2 payload-sensitive frame identity - signal/support tile raw-bytes + SNR catalogue hash, DIS"
601,4d8a8666,2026-08-11,fujiaze,M,3,432,20,,"feat(phase2-v4): R3 complete spatial truth - cross-tile boundary node merge (real seam continuous topology, ev"
602,777b175d,2026-08-11,fujiaze,M,4,1030,90,,feat(phase2-v4): R4 complete sequential RCR - official rcr 2.4.7 performRejection chain (MEDIAN+DOUBLE_LINE ->
603,7a8a1378,2026-08-11,fujiaze,M,3,191,90,,feat(phase2-v4): R5 real Siril 1.4.3 LinearFit frozen reference - production now matches official weighted sir
604,1e9498ea,2026-08-11,fujiaze,S,4,163,4,,"feat(phase2-v4): R6 local SNR availability - explicit snr_available bit (no 1.0-as-unknown), sampler missing->"
605,71d41862,2026-08-11,fujiaze,S,1,6,1,,fix(phase2-v4): config_smoke subprocess PATH (astro_image_io.dll) so parse/schema smoke runs standalone; CONFI
606,5571e9bc,2026-08-11,fujiaze,S,6,43,30,,fix(codeql-v1): P1 closure - fix 26 GitHub Code Scanning alerts (1 format-args + 25 integer-overflow in produc
607,1d2d9295,2026-08-12,fujiaze,M,2,444,121,,feat(phase2-v6): V5 geometry closure - remove proximity-alias boundary node merge (distinct sky centers stay d
608,507dfaa9,2026-08-12,fujiaze,S,6,132,5,,feat(phase2-v6): production configs (real_overlap/real_3frame/overlap_cpu) + CodeQL sidecar fixes (sdet_backgr
609,f457ff7d,2026-08-12,fujiaze,M,2,315,19,,feat(phase2-v7): P7-1 UPM edge basis - tile outer half-cell linear extrapolation (first/last two centered node
610,377efdfd,2026-08-12,fujiaze,S,1,32,1,,feat(phase2-v7): P7-2 production overlap topology diagnostics - component_count/control-depth/pixel-depth/inte
611,db997b92,2026-08-12,fujiaze,M,6,671,0,,feat(phase2-v7): P7-3/P7-4 GC production closure evidence - frozen Phase1 GC panel Red configs (panel1/2/3) + 
612,9ad94dc1,2026-08-12,fujiaze,L,366,2335,1,,data: 合入 BASS DR3 备用测试数据集（索引/坐标/拉取工具）
613,ec509934,2026-08-12,fujiaze,M,3,728,0,,feat(phase2-v8): final evidence closure - G1V8ContinuousSkySeam (continuous RA/Dec tangent-plane truth across 
614,50c72de8,2026-08-12,fujiaze,M,4,493,2,,feat(aio): 支持 fpack .fits.fz 读取（CFITSIO 透明解压）
615,ba75d6b0,2026-08-12,fujiaze,M,4,408,10,,docs(bass): 清理冒烟样本与临时文件，星座边界表随工具入库
616,42c801de,2026-08-12,fujiaze,L,16,2106,8,,feat(phase2-v9): HiPS browser real-data readiness - HiPS 2D sky view (multi-order LOD + viewport tiles + bound
617,9ba7603d,2026-08-12,fujiaze,M,8,248,9,,"fix(phase2-v10): HiPS browser render correctness - parent fallback local index (use (leaf>>2*(order-o))&mask, "
618,a6dbda14,2026-08-12,fujiaze,S,1,37,8,,fix(phase2-v11): stage2 HiPS tile serialization - convert FITS row-major buffers to writer NESTED-local order 
619,cfb676ca,2026-08-12,fujiaze,M,12,507,32,,feat(phase2-v11): HiPS external-oracle diagnostics - --lod strict-leaf|hierarchy (no parent fallback for LOD i
620,b38b446e,2026-08-13,fujiaze,S,1,10,2,HOLE-001;SEAM-001;SEAM-002,fix(phase2-v12r2): mosaic seam (DEPTH_TRANSITION) + artificial black holes - (1) SEAM-002: fill single-frame-z
621,84164c31,2026-08-13,fujiaze,S,1,96,0,HOLE-001;SEAM-001;SEAM-002,fix(phase2-v12r2): UPM C-field closure + outlier cleaning (upm.cpp) - SEAM-002 single-frame-zone nearest-neigh
622,83471979,2026-08-13,fujiaze,M,8,509,191,HOLE-001;SEAM-002,feat(phase2-v13): background-clean UPM sampling + smooth global closure - (1) DBE-like sampler: configurable p
623,a713fa42,2026-08-13,fujiaze,S,1,63,3,,"fix(phase2-v14): UPM component semantics - separate data component count (frame-control graph, obs only) from "
624,5a9eadcf,2026-08-13,fujiaze,M,15,494,43,,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/PUBLIC_API/PIPELINE/CONFIG_SCHE
625,b2f25b5f,2026-08-13,fujiaze,M,7,81,7,,feat(phase2-v14): browser Auto STF finalization - robust Auto Global (median/MAD + bright-tail clip; pan/zoom 
626,1f94e9f9,2026-08-13,fujiaze,S,5,64,0,,docs(phase2-v14): final status + technical debt + performance reports; V14 audit summary (FROZEN_CANDIDATE; G7
627,7baeaa99,2026-08-13,fujiaze,S,6,114,16,,perf(phase2-v14): profile-driven hotspots - (1) UPM dense materialize: per-tile 8x8 node table + array bilinea
628,6b5366af,2026-08-13,fujiaze,S,1,2,2,,"docs(phase2-v14): final status G7 PASS (performance baseline + hotspot optimization, science bit-identical)"
629,3269f8ea,2026-08-13,fujiaze,M,8,34,0,,"feat(phase2-v14): browser Auto View mode - --stf-mode global|view (default global), pan/zoom viewport-adaptive"
