符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
closure_rel_tol,容差,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:606；lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:73-75；lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:131,0.0（本行，负例探针）；生产默认 1e-6,无量纲（相对闭合残差阈值）,逐输出像素几何闭合判据（|closure_rel|>tol 即具名失败）,缺（未见任何精度推导）,判据取绝对值，>0 才有意义,无（生产默认 1e-6 亦无档；本行 0.0 有行内注释说明是故意取零制造必败）,语义锚：lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:73-75（定义判据形式）；数值 1e-6 唯一源＝代码默认 lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:131，**docs 侧零登记**（closure_rel_tol 在 docs/** 命中 0）【缺输入：判读层与第②层均未给保守取值方向】,待确认,"drizzle 几何闭合门（通量守恒 Σ_p F_p = Σ_j x_j，docs/science/DRIZZLE.md:97 称之为""严格不变量""）",否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-N1｜AUD-402-判读-BD1 §1.4 N1）：科学文档称通量守恒为严格不变量，实现用 1e-6 相对容差放行；生产默认唯一源是代码结构体默认（phase1_product.h:131），docs 侧该键零命中 ⇒ 缺 FP64 累加误差包络推导,AUD-402-判读-BD1；G-P1,
control_ivar 零尺度保护量,容差,lib/algorithms/coverage/src/sampler.cpp:863；lib/algorithms/coverage/src/sampler.cpp:877；docs/science/PHASE2_UPM.md:85（补侧·本行出处所列，该侧带值）；docs/algorithms/PHASE2_SAMPLER.md（补侧·本行出处所列，该侧带值）；lib/algorithms/coverage/src/sky_plane.cpp（补侧·本行出处所列，该侧带值）,1e-12,σ 同标度（ADU）,s0<=0 时的数值替代：sigma = (s0 > 0.0) ? s0 : 1e-12,不适用（数值保护量，非测量值）,常数 patch（≥半数像素同值，median(|v−m0|)=0）走此路径；bfrac、n_retained 门都不拦（clip 阈 m0+3·0=m0）,无来源（数值保护量被平方后当成物理方差发布）,sampler.cpp:863-877；docs/science/PHASE2_UPM.md:85 §8「σ_bg_raw=0 ⇒ control_ivar 必须为 0 且标为无尺度信息（非有限）；禁止以数值保护量生成有限方差发布」；docs/algorithms/PHASE2_SAMPLER.md §11.2 DISP-P2SMP-007,待确认,Phase2 UPM 加性面求解的逐点权,是（第②层独立复核）,红：以 1e-12 生成伪有限方差 7.609e-27、伪 civar 1.314e26 进解，绕过下游 rc=2 的 fail-closed 门并独取该 cell 权重；同型第二处在 sky_plane.cpp,AUD-203-天光无缝核验 AUD203-03；复核-AUD203 V1；复核注记：是（复核-AUD203 V1 定 P1，修好判据＝常数 patch 上 control_ivar==0 且 control_variance 非有限）,
cosmetic.bad_column_neighbor_k,常数,eng/packaging/config/defaults.json:783；docs/contracts/DATA_SEMANTICS.md:315；lib/infrastructure/scheduler/src/module_adapters.cpp:2783,3,列数,每侧参与列统计量估计的列数,未标注,注册 >=1；无 schema 承载；解析层 p1_int 不做值域校验,文献值（合同只规定『由配置键给出』）→ 实为待确认（3 无推导）,docs/contracts/DATA_SEMANTICS.md:315（邻域宽度行：每侧参与统计的列数由配置键给出）⇒ 同样是指针不是出处；3 的取值全仓无任何论证【缺输入：判读层与第②层均未给保守取值方向】,待确认,Phase1 列状缺陷检测,否（判读层逐行已判，未过第②层复核）,红（判读层立案 逐侧并列见本行出处与备注引文）：另代码存在同节点未注册键 bad_column_max_seg_len（:2788 默认 1）⇒ 登记面缺口,AUD-402-判读-A1,预筛已回：全表命中键 bad_column_neighbor_k｜有值侧 2（S1 defaults、S5 代码兜底）
cosmetic.bad_column_sigma,常数,eng/packaging/config/defaults.json:769；docs/contracts/DATA_SEMANTICS.md:313；eng/packaging/config/defaults.json；docs/science/CALIBRATION.md；lib/infrastructure/scheduler/src/module_adapters.cpp:2782；lib/infrastructure/scheduler/src/module_adapters.cpp:2771-2772,5.0,MAD 倍数,列统计量跨列跳变与帧内稳健尺度比对的阈值,未标注（未给误判率/污染预算目标）,注册 >0；无 schema 承载；解析层 p1_num 不做值域校验,待确认（合同只把值委派给配置键，未给数值出处）,docs/contracts/DATA_SEMANTICS.md:313（§10.4 判据行原文：阈值取自列状缺陷的 sigma 配置键）⇒ **合同明文把数值来源指回 defaults.json**，而 defaults.json 又把出处指回合同 ⇒ 循环引用，两侧都不是来源；docs/science/CALIBRATION.md 侧只有缺陷形态可分性论证、无 5.0【缺输入：判读层与第②层均未给保守取值方向】,待确认,Phase1 列状缺陷检测,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-10）：同族未登记的点状阈值也在代码里：hot_sigma=5.0 与 cold_sigma=5.0（module_adapters.cpp:2771-2772）、max_structure_size=4（:2775）⇒ 同节点 11 个配置读取点只有 6 个进 defaults.json（未登记的 5 个,AUD-402-判读-A1；F-10,预筛已回：全表命中键 bad_column_sigma｜有值侧 2（S1 defaults、S5 代码兜底）
defaults.json 是否进运行路径,算法,eng/packaging/config/defaults.json:1,否——生产代码从不读该文件,—,七侧载体模型的第②侧,不适用,git grep defaults.json -- lib 只命中注释与测试；注册数值在生产上无任何读取点，真正生效的是代码兜底,不适用（结构性事实）,AUD-402-判读-A1 §1 表；后果句：「按文档改配置」与「按文档判读产品」都无效【缺输入：判读层与第②层均未给保守取值方向】,待确认,全部 59 条注册字段,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A1 §1）：defaults.json 是声明不是行为,AUD-402-判读-A1 §1,
detection.threshold_sigma,容差,eng/packaging/config/defaults.json:48；docs/science/STAR_DETECTION.md:65；lib/algorithms/star_detection/src/sdet_api.cpp:1779；lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:448；lib/algorithms/star_detection/src/sdet_api.cpp:472-473；lib/algorithms/star_detection/src/sdet_api.cpp:1771；docs/algorithms/STAR_DETECTION_ALGORITHMS.md:198；eng/packaging/config/defaults.json,5.0,sigma,threshold = median(img) + 5.0·bgnoise（全局检测阈值）,未标注（fp32/fp64 两路各自实现，未要求两路逐位一致）,注册 >0；**无 schema 承载、无 CLI 承载、无解析层读取**（键面在 lib 生产代码零命中）,文献值（本仓 SCI 冻结）但一手实为抄外部实现,docs/science/STAR_DETECTION.md:65（threshold = median(img) + 5.0·bgnoise，单位 ADU；**注册件所引 :21 讲的是 sigma_smooth=2.0 px，与本键无关**）【缺输入：判读层与第②层均未给保守取值方向】,待确认,star detection 全局阈值,否（判读层逐行已判，未过第②层复核）,红（判读层立案 X-8/O-6｜AUD-402-判读-A1 §2.3 O-6；X-8）：四处硬编码（sdet_api.cpp:1779/:1827、phase1_product.cpp:448、:472-473 背景 sigma-clip 同数不同义）而 leaf 名在 lib 配置读取面零命中；一手来源是无项目名无版本号的 star_finder.c（SEXtractor 族）⇒ 只到 C 级，与『SCI 冻结』说法并列时来源叙述不唯一,AUD-402-判读-A1,预筛已回：全表命中键 threshold_sigma｜有值侧 2（S1 defaults、S6 登记册）
doc_fact_authority.json 的 facts 覆盖面,算法,eng/tools/doccheck/doc_fact_authority.json（补侧·本行出处所列权威锚）,facts 仅 1 条（drizzle.pixfrac.default）,条,写法门 D4b 的事实唯一性判据输入,不适用,check_doc_hygiene.py:536-550 只在登记表内的键上查发散,不适用（治理面事实）,eng/tools/doccheck/doc_fact_authority.json；复核-结果层与收口层 R4 末【缺输入：判读层与第②层均未给保守取值方向】,待确认,跨件同名量发散检测,是（第②层独立复核）,红：D4b 对上述发散量零覆盖,复核-结果层与收口层 R4；复核注记：是,
drizzle 面积/闭合冻结门,容差,docs/algorithms/DRIZZLE_GEOMETRY.md:303；eng/ci/checks.json:4722；docs/science/DRIZZLE.md:152（补侧·本行出处所列，该侧带值）；lib/algorithms/drizzle/healpix_drizzle/tests/drizzle_freeze_test.cpp:12（补侧·本行出处所列，该侧带值）；lib/algorithms/drizzle/healpix_drizzle/tests/drizzle_acceptance_test.cpp:74（补侧·本行出处所列，该侧带值）,文档冻结 1e-6（FP64 通量闭合）；逐 leaf 门 FP32/FP64 < 1e-5；可执行门并存 1e-7 与 1e-6 两档,相对偏差,求和型闭合 vs 自洽型逐叶,不适用,1e-6 是求和型守恒门（对逐叶错分零判别力）；1e-5 比的是同一实现两种精度，不是几何真值,有文献（本仓门表）但门与度量类型错配,docs/algorithms/DRIZZLE_GEOMETRY.md §9:303-304/:312-313；docs/science/DRIZZLE.md:152；eng/ci/checks.json:4722（drizzle_freeze）、:4547（drizzle_acceptance）；drizzle_freeze_test.cpp:12/211/235/256/269/282/487/512；acceptance_drizzle.py:37 与 drizzle_acceptance_test.cpp:74 GATE_CLOSURE=1e-7、:250 仍写 1e-6【缺输入：判读层与第②层均未给保守取值方向】,待确认,创新点④ 验收门表,是（第②层独立复核）,红：文档冻结 1e-6 与可执行门 1e-7/1e-6 两档并存；现无任何逐叶几何门约束「面积落在哪一叶」,复核-AUD204 W2（冻结门登记核查）；复核注记：是（第②层只读核查，未跑）,
dt,常数,lib/infrastructure/cli/monitor.h:441；ASTROCS_DESIGN.md；lib/infrastructure/cli/memory_report.h:227；lib/infrastructure/cli/resource_recorder.h:265；lib/infrastructure/cli/memory_report.h,0.001,秒,"rss 斜率分母的下界（max(0.001, n×标称 interval)）",缺（1 ms 从何而来无任何说明）,仅在 n×interval_ < 1 ms 时生效（生产 0.5 s 采样不可能）,无,无——epsilon 未给物理/数值来源（标准 02 §3 要求）；无。反向依据：ASTROCS_DESIGN.md §3.3（:239）明确要求「epsilon 说明物理或数值来源」，本行是该要求的**直接未满足点**【保守方向·回填自判读件】生产不可达（0.5 s×样本数 ≫ 1 ms）⇒ 现时零危害；危害在**未来缩短采样间隔**时：interval 与 0.001 之比即斜率最大失真倍数，而 L-02 已证明 interval 是无登记的 6 处字面量，二者相乘的风险不可从任何文档预见。另注：本行分母是 n×标称（同 :430 口径问题），且结果截断为 int64（:442-444）——B/s 取整对 MiB/s 级斜率无碍，但 ,待确认,ProcessMonitor::summary().rss_slope_bytes_per_s（int64）→resource 工件；亦进 memory_report.h:616 同族比较,否（判读层逐行已判，未过第②层复核）,"红（判读层立案 L-04/L-08｜AUD-402-判读-A2 §3.2／§3.4）：dt = max(0.001, n×interval_) 仍以标称周期为分母；0.001 s 下界无任何说明（ASTROCS_DESIGN.md:239 §3.3 要求 epsilon 给物理或数值来源）",AUD-402-判读-A2；AUD-402-判读-A3；L-02；L-06；L-08,
fwhmClipSigma,算法,eng/tests/unit/ipv_platform_binding_test.cpp:70；lib/algorithms/star_detection/src/sdet_api.cpp:963-975；README.md:119-123；docs/contracts/PUBLIC_API.md:833；docs/algorithms/STAR_DETECTION_ALGORITHMS.md:252,3.0f,σ 倍数（无量纲）,逐星 FWHM 估计裁剪,缺,名义 >0；仅 debug 入口消费,C（默认 3.0 只有文档/代码镜像，无文献或实验锚）,lib/algorithms/star_detection/src/sdet_api.cpp:963-975（默认 3.0f）＋ README.md:119-123 ＋ docs/contracts/PUBLIC_API.md:833；消费面限定见 docs/algorithms/STAR_DETECTION_ALGORITHMS.md:252（fwhmClipSigma 仅 debug 入口消费，impl 阶段8 已移除全局）【缺输入：判读层与第②层均未给保守取值方向】,待确认,SDetParams.fwhmClipSigma,否（判读层逐行已判，未过第②层复核）,红（判读层立案 逐侧并列见本行出处与备注引文）：本行值与登记默认相等（3.0f），故**不立案多侧不一致**,AUD-402-判读-BD1,
interval_seconds,常数,lib/infrastructure/cli/monitor.h:336；docs/plugins/infrastructure/21_observability.md；lib/infrastructure/cli/commands.cpp；eng/contracts/resource_gate_v1.json；eng/packaging/config/defaults.json；eng/packaging/config/runtime_resources.json；lib/infrastructure/cli/resource_recorder.h:97；lib/infrastructure/cli/commands.cpp:720；eng/ci/resource_monitor.py:870；eng/tools/monitoring/run_monitored.py:917；21_observability/defaults.json（补侧·本行出处所列，该侧带值）,0.5 ｜ 0.25,秒,ProcessMonitor 构造参数默认值（采样周期）,缺（文档未给精度，工件按 %.3f 呈现）,仅当调用方不显式传参时生效,无（配置面未登记该默认）,docs/plugins/infrastructure/21_observability.md §5 配置项表:37 有一行 `sampling | —— | —— | 资源采样间隔`——**默认列与单位列都是「——」**（即未登记）；语义权威 §8 全节不复述采样间隔；无——既不在契约，也不在 21_observability/defaults.json；出厂模板与 CLI 骨架亦无该键【缺输入：判读层与第②层均未给保守取值方向】,待确认,生产实际值：commands.cpp:717 显式传 0.5 ⇒ 本默认值在生产路径**未被使用**（默认值只服务测试与未来调用方）；同时 0.5 以字面量再出现于 commands.cpp:720/744/769/782/979 共 6 处,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L7/L-02｜AUD-402-判读-A3 §2.1 L7；判读-A2 §3.1 L-02）：资源采样间隔四侧四值且相差 5×：头默认参数 0.25（生产零调用点）／C++ 生产实取 0.5（四处字面量）／外挂 judge 1.0／冻结门 poll 0.2；文档 §5 配置表有 sampling 行但默认列与单位列都填『——』；契约、defaults.json、CLI 骨架均无该键 ∥ 红（判读层立案 L7/L-02｜AUD-402-判读-A3 §2.1 L7；判读-A2 §3.1 L-02）：资源采样间隔四侧四值且相差 5×：头默认参数 0.25（生产零调用点）／C++ 生产实取 0.5（四处字面量）／外挂 judge 1.0／冻结门 poll 0.2；文档 §5 配置表有 sampling 行但默认列与单位列都填『——』；契约、defaults.json、CLI 骨架均无该键 ∥ 红（判读层立案 L7｜AUD-402-判读-A3 §2.1 L7／§5 第 4 条）：interval_seconds=0.25 一侧在生产零调用点 ⇒ 机械层把未使用的默认参数当成生产值；真缺陷是四侧无唯一源,AUD-402-判读-A2；AUD-402-判读-A3；L-02；L7,
io_wait_high_percent,常数,lib/infrastructure/cli/resource_gate.h:207；eng/tools/quality/resource_monitor.py:895；eng/contracts/resource_gate_v1.json（补侧·本行出处所列，该侧带值）,50.0,%（iowait 占区间）,系统级 iowait×100（含他进程，21_observability §8.7）,未规定,iowait>50 判 IoWaitHigh,无出处,无——契约无 iowait 键、21_observability §8.3 判据表七项亦无『异常 IO 等待』；lib 内注称『07 §3』文档不在跟踪集（详见 md §5）,待确认,CLI 生产面不可达（输入 :182 恒 0.0）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L3/L2｜AUD-402-判读-BD1 §1.1 L3；判读-A3 §2.1）：io_wait_high_percent=50.0 唯一源是代码字面量；契约 resource_gate_v1.json 内 iowait/io_wait/bandwidth 键零命中、生成头亦无 ⇒ 该 JSON :7 自述『本文件是唯一数值源，实现侧不得再出现字面量阈值』为假；外挂 judge CLI 另有一份 50.0（可配置）⇒ 同值不同源,AUD-402-判读-A3,
iterativeClipSigma,算法,eng/tests/unit/ipv_platform_binding_test.cpp:65；lib/algorithms/star_detection/src/sdet_api.cpp:996；lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1569；lib/algorithms/star_detection/README.md:119；docs/contracts/PUBLIC_API.md:833；lib/algorithms/star_detection/test/sdet_fp64_test.cpp:54；lib/algorithms/star_detection/test/sdet_saturation_cursor_test.cpp:114；lib/algorithms/star_detection/tests/p1star/p1star_tests_core.cpp:552；实验/absolute-snr/code/b7_recon_driver.cpp:191；lib/infrastructure/scheduler/src/module_adapters.cpp:3959；lib/algorithms/star_detection/tests/p1star/p1star_guided_test.cpp:72；artifacts/evidence/audit-2026-01/FIX_LEDGER.csv:209；artifacts/evidence/audit-2026-01/FIX_LEDGER.c（补侧·本行出处所列，该侧带值）,5.0f（本行）；登记默认 9.0f,σ 倍数（无量纲）,逐候选结构图/迭代裁剪,缺（无精度或收敛要求条目）,名义 >0；实际生产零读取,C（文档登记默认 9.0，无文献/实验锚）＋ 本行 5.0 无登记,值 9.0 唯一源＝代码 lib/algorithms/star_detection/src/sdet_api.cpp:996 与生产调用 lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1569；文档镜像 lib/algorithms/star_detection/README.md:119、docs/contracts/PUBLIC_API.md:833。值 5.0 无出处【缺输入：判读层与第②层均未给保守取值方向】,待确认,SDetParams 结构图迭代裁剪（当前实现不消费）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-L1｜AUD-402-判读-BD1 §1.1 L1）：三套取值并存：9.0f（默认＋orchestrator 生产入口＋测试＋实验）vs 5.0f（**同为生产入口**的 module_adapters.cpp:3959 与 :4846）⇒ 两个生产入口对同一参数取不同值，PUBLIC_API.md:833 只登记一侧；已由仓内台账记为 OPEN（FIX_LEDGER.csv:209 M3b-C-05）,AUD-402-判读-BD1,
kAllocGrowthWarnMbPerS,常数,lib/infrastructure/cli/memory_report.h:54；eng/contracts/resource_gate_v1.json；lib/infrastructure/cli/resource_gate.h:105；docs/plugins/infrastructure/21_observability.md:53-54；lib/infrastructure/cli/resource_gate.h；lib/infrastructure/cli/memory_report.h；lib/infrastructure/cli/resource_gate.h:23,2.0,名 mb_per_s、实 MiB/s（同 :228）,RSS Theil-Sen 稳健斜率，与失败线同一被测量,缺（预警灵敏度无任何标定或推导）,"斜率 ∈ (2, 32) MiB/s 时给 Growing；Growing 不阻塞",无（唯一数值源无此键、语义权威文档判据表无此条、生成头无此常量）,无。三件反证：① 本文件 :42/:47 自称「G-RES-01 阈值唯一数值源 = eng/contracts/resource_gate_v1.json（CMake 生成）」；② 同目录 resource_gate.h:105「本文件不再出现字面量阈值：改数值只改契约」且其 8 个阈值全部经 resource_gate_contract:: 取；③ docs/plugins/infrastructure/21_observability.md:53-54「实现侧（C++/Python 冻结门/外挂 judge）的阈值一律从该文件取」「改数值只改契约」,待确认,alloc_report.json 的 growth_verdict=Growing 与 thresholds.growth_warn_mb_per_s（**印进产品工件**）；外挂建议面,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocGrowthWarnMbPerS=2.0 契约无键、生成头不生成、文档 §8.3 判据表无预警档，却被 :260 印进产品工件 alloc_report.json 的 thresholds 块，与契约真阈值混在一处无 source 标注,AUD-402-判读-A2；G-RES；L-01,
kAllocMinCurveSamples,常数,lib/infrastructure/cli/memory_report.h:64；docs/plugins/infrastructure/21_observability.md,4,有效样本个数（无量纲计数）,RSS 曲线剔除哨兵后的样本数下限,缺,低于 4 则 growth_verdict=InsufficientSamples（不判）,无（契约与语义权威文档均无「最少样本数」键）,无。契约 applicability 只声明 min_active_window_seconds_exclusive=10 与 min_effective_cpus=2；21_observability.md §8.1 判定域表也只有这两条【缺输入：判读层与第②层均未给保守取值方向】,待确认,alloc_report.json growth_verdict；validate_alloc_report:611 同阈值复算,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocMinCurveSamples=4 使 growth 半边在 2 s run 上就出结论，与契约 10 s 域不符,AUD-402-判读-A2；L-01,
kAllocReclaimWindowSeconds,常数,lib/infrastructure/cli/memory_report.h:63,2.0,秒,「峰值落在结尾窗内 = 仍在活跃分配」的逃逸窗,缺,:509 与 :511 两个口径判定；命中则 verdict=PeakInWindow（不判负）,无（契约只有 allocation_reclaim_min_wall_seconds=10 这个**判定域**界，没有逃逸窗这个键）,无。与 :54 同属立案 L-01；本文件的「阈值常量(G-RES-01; 数值唯一源=…)」注释块（:47）把这一行也包在里面，但它并不取自契约【保守方向·回填自判读件】本队列里风险最高的一条：**这是一个能让硬失败变绿的窗**（判据 ③ 要求 growth_requires_unexplained_reclaim=true，PeakInWindow 即「可解释」），窗宽却只有代码字面量。第二层耦合：2 s = 4 个采样周期，实际分辨率由 monitor 的 0.5 s 间隔决定，而那个间隔本身是未登记的默认值（L-02）⇒ 未登记串未登记。:510-512 用,待确认,alloc_report.json reclaim_verdict=PeakInWindow；契约判据 ③ 的回落不可解释判定,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocReclaimWindowSeconds=2.0 是能让硬失败变绿的逃逸窗；契约 §8.1 判定域为严格大于 10 s，同工件 reclaim 半边用的正是契约 10 s ⇒ 两个半边两套域,AUD-402-判读-A2；G-RES；L-01；L-02；U-06,
kAllocSlopeMaxPoints,常数,lib/infrastructure/cli/memory_report.h:66,200,点数（无量纲）,Theil-Sen O(n²) 护栏的等距降采样目标点数,缺,样本 >200 时降采样后再算斜率,无（契约无该键）,无（:65 注释自述「O(n²) 内存护栏…（口径呈现）」，是唯一的自证）【保守方向·回填自判读件】这条与前两条的差别要写清：200 **改变了被比较的统计量本身**（降采样曲线的稳健斜率 ≠ 全曲线的稳健斜率），而契约 32 MiB/s 是针对「分配/RSS 稳健斜率」定义的。工件已回显 slope_points（:256）⇒ 消费者可辨「用了 200 点」，但不能复原全曲线口径。另：validate_alloc_report:612 用**同一**降采样复算 ⇒ 该维度自反不可证（能抓篡改/,待确认,alloc_report.json slope_points/rss_slope_bytes_per_s；外挂 judge 与 CI 复算共用的斜率,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocSlopeMaxPoints=200 改变被比较的统计量本身（降采样曲线的 Theil-Sen ≠ 全曲线），且 validate_alloc_report:612 用同一降采样复算 ⇒ 该维自反不可证,AUD-402-判读-A2；L-01,
kDiskEstimateMaxEntries,常数,lib/infrastructure/cli/disk_gate.h:87；lib/infrastructure/cli/disk_gate.h:15-17；eng/contracts/resource_gate_v1.json；lib/infrastructure/cli/disk_gate.h:256；lib/infrastructure/cli/subcommand.h:290-292；docs/contracts/LOG_AND_ERROR_CONTRACT.md:72,20000,目录条目计数（无量纲）,不适用（非科学量；仅目录型输入生效）,缺（无任何文档给出该界的要求或推导）,输入路径为目录时的递归扫描上限；超限置 truncated,"无（仅代码；本模块注释自称""不引入魔法字节数/经验系数""）",无（docs/ 与 eng/contracts/ 对 20000 零登记；反向证据见 disk_gate.h:15-17「阈值自由」纪律）【缺输入：判读层与第②层均未给保守取值方向】,待确认,磁盘门预检面（warn 不阻断；fail-closed 面 = 写盘失败）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 逐侧并列见本行出处与备注引文）：多侧并列：代码 20000 / 文档 未登记 / 契约 无该键（resource_gate_v1.json#disk_gate 只有 precheck/runtime 语义，并明写「阈值自由，不引入经验系数」）,AUD-402-判读-A2,
kRealSky,常数,eng/tests/unit/p1snr/p1snr_linux_test.cpp:144；run/RELEASE-02/conform-fix-a/harness/conf1_oracle.py；lib/algorithms/noise_snr/tests/p1noise/p1snr_science_test.cpp:165,260.8590110604006,ADU（天空背景标准差 σ_sky）,真实帧逐像素背景统计,缺（16 位有效数字的抄录值，未登记其精度域）,>0,B（本仓可复现，但结果件不入库）,注释 :145-147：锚值按修复后口径由独立 NumPy oracle 复算（run/RELEASE-02/conform-fix-a/harness/conf1_oracle.py，不调用被测 C++）；来源件 run/ 不入库 ⇒ 仓库内无可复核锚,待确认,真实源 SNR 锚表 kReal[5] 的天空输入,否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-1.3｜AUD-402-判读-BD1 §1.3）：同一实测锚 260.8590110604006 逐字重复于两处（p1snr_linux_test.cpp:144 与 p1snr_science_test.cpp:165）⇒ 无唯一数值源、双份复制，任一侧更新即静默分叉；来源 oracle 件在 run/ 不入库,AUD-402-判读-BD1,
kStallPatience / kObjImproveFloor,常数,lib/algorithms/coverage/src/upm.cpp:732；lib/algorithms/coverage/src/upm.cpp:1061；docs/science/PHASE2_UPM.md:105（补侧·本行出处所列，该侧带值）,5 ／ 1e-12,轮 ／ 相对改善,converged=2（stalled）的判据,不适用,函数体内 const（非配置面、非 P2UpmBuildConfig 字段）⇒ 无法用配置把算例逼进 2,无来源（未登记其物理或数值依据）,upm.cpp:732-733 定义、:1061 赋值；docs/science/PHASE2_UPM.md:105【缺输入：判读层与第②层均未给保守取值方向】,待确认,Phase2 UPM 四态收敛状态机,是（第②层独立复核）,"红：跟踪结果件里观测到的收敛态只有 {0,1}，2/3 从未作为实测量出现（22 处结果件、4 个「2」全为图例或叙述）；四态码 d77fd11f(09-22) 晚于归档数据 9a2b5d11(09-21) 一天",AUD-203-天光无缝核验 AUD203-09 需复测第 1 条；复核-AUD203 V5；复核注记：是（复核-AUD203 V5：证据缺口 P2，非代码缺陷）,
leaf 表示选支（弦四边形 vs 真曲线）,算法,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1372,nside>=256 → get_healpix_boundary4（nb=4）；else samples=(nside<=8)?16:1,档,生产 leaf 边界表示,不适用,"生产 nside 钳位 [16, 2^22] 内无任何路径用真曲线边界；9≤nside<256 亦只 4 角",无来源（调用点与同文件注释自述相反）,spherical_overlap.cpp:1372-1382、:506-541、:1283-1296、:543-617【缺输入：判读层与第②层均未给保守取值方向】,待确认,创新点④ 面积分配正确性,是（第②层独立复核）,红：逐叶面积误差 −9.97%…+0.54%（nside 32/64/128/256 全格点实测 −0.09952/−0.09964/−0.09967/−0.09968），不随 nside 收缩；Σ_p 弦面积=4π（0 残差）⇒ 纯「相邻叶错分」，求和型闭合门零判别力,AUD-204-面积交叠核验 AUD204-06；复核-AUD204 W1；复核注记：是（复核 W1 确认恒等式无证据资格）,
m_cut 极限星等初值式,公式,lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:335；lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:343；docs/plugins/algorithms_phase1/03_star_detection.md:25（补侧·本行出处所列，该侧带值）,m_cut = 6.0 + 1.5·log10(f_mm) + 2·log10(t_s),mag,割线迭代初值（estimate_mag_lim_iterative）,只需作种子，常数取歪只多花 Gaia 查询次数,PlateSolver 星表引导选星,无来源（三常数只在源码注释；正本零登记）,ipv_select.cpp:335（注释）/:343-345（代码）；docs/plugins/algorithms_phase1/03_star_detection.md:25 与 phase_config_normalize.schema.json:358 声明派生输入含「画幅」,待确认,星表引导检测的候选完备度,是（第②层独立复核）,红：文档声明输入集（焦距＋画幅＋曝光）与代码输入集（焦距＋曝光）不符；物理核对天光限域应为 1.25、读噪限域 2.5，代码 2.0 两域都不对应,AUD-201-测光核验 AUD201-012；复核注记：是（第②层未单列，成稿独立第一性推导）,
memory-report/v2 工件的 schema 登记,算法,eng/contracts/resource_gate_v1.json（补侧·本行出处所列权威锚）；lib/infrastructure/cli/memory_report.h（补侧·本行出处所列权威锚）,无对应 schema 件,—,eng/contracts/schemas/ 下 54 个跟踪 json（顶层 19＋unified/ 35）,不适用,该工件的字段值域、-1 哨兵、thresholds 块只由代码＋散文注释＋两个单测承载；module.yaml:23-25 的 data_contracts 只登记 jsonl/phase_config 两件,无来源（合同面缺件）,eng/contracts/resource_gate_v1.json readers 数组把 memory_report.h 列为读者而非被约束对象；docs/contracts/ 对 reclaim_frac 零命中,待确认,观测面「唯一数值源＋机读合同」纪律的缺口,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A2 L-14）：L-01 的未登记阈值与 L-03 的 mb 命名都落在这张无合同的工件上,AUD-402-判读-A2 §3.4 L-14；L-01；L-03；L-14,
min_stars_order1 / min_stars_order2,常数,lib/algorithms/photometry/cpp/src/spatial_gain.h:85；lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:76,50 / 200,星数,空间增益升阶的星数门,未标注,spatial_gain.h:85 默认、frame_photometry_fit.h:76/:377 透传,无来源（同为「最少星数」语义，50 无任何登记侧）,AUD-402-判读-A1 F-15；results 侧 N=100/200 聚集档 o2 形状误差 24.36%/21.38%【缺输入：判读层与第②层均未给保守取值方向】,待确认,Phase1 空间增益升阶阶梯,是（第②层独立复核）,红：与已登记的 photometry.min_reference_stars=3 同语义不同档、无横向说明,AUD-402-判读-A1 F-15；复核-测光默认阶数 §一·附；复核注记：是；F-15,
